#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
        4900.00          338.7474           59.5747           -2.6916            0.0000           56.8831
        4950.00          407.5433           71.6736           -3.5974            0.0000           68.0762
        5000.00          383.6009           67.4629           -1.8792            0.0000           65.5838
        5000.00          379.6930           66.7757           -1.5639            0.0000           65.2118
        5050.00          414.4650           72.8909            0.7925            0.0000           73.6834
        5100.00          465.8253           81.9236           -0.7995            0.0000           81.1240
        5150.00          439.1900           77.2393           -2.2996            0.0000           74.9396
        5200.00          363.8734           63.9935           -2.0820            0.0000           61.9116
        5250.00          347.9459           61.1924           -2.6757            0.0000           58.5167
        5300.00          452.5978           79.5973           -2.5618            0.0000           77.0355
        5350.00          411.8070           72.4235           -1.5215            0.0000           70.9020
        5400.00          446.6552           78.5522           -2.0470            0.0000           76.5052
        5450.00          444.6597           78.2012           -2.8324            0.0000           75.3688
        5500.00          517.7275           91.0515           -1.8276            0.0000           89.2239
        5550.00          373.7193           65.7251           -2.9607            0.0000           62.7644
        5600.00          440.2400           77.4239           -2.5295            0.0000           74.8945
        5650.00          414.4987           72.8969            0.2405            0.0000           73.1374
        5700.00          363.9685           64.0103           -2.3986            0.0000           61.6117
        5750.00          468.1264           82.3283           -3.0433            0.0000           79.2850
        5800.00          398.8711           70.1485           -2.9235            0.0000           67.2249
        5850.00          378.7626           66.6121           -2.0288            0.0000           64.5832
        5900.00          448.0381           78.7954           -3.7498            0.0000           75.0456
        5950.00          441.8520           77.7074           -2.7450            0.0000           74.9624
        6000.00          396.3258           69.7009           -3.1588            0.0000           66.5421
        6050.00          435.2998           76.5551           -2.0453            0.0000           74.5098
        6100.00          473.0030           83.1859           -1.9098            0.0000           81.2761
        6150.00          478.5679           84.1646           -1.7666            0.0000           82.3980
        6200.00          376.4878           66.2120           -3.1274            0.0000           63.0846
        6250.00          426.4073           74.9912           -2.5666            0.0000           72.4246
        6300.00          456.1815           80.2275           -2.7447            0.0000           77.4828
