# Probability
#   binNum               236.50 (K)               250.00 (K)               263.50 (K)               277.50 (K)               292.50 (K)               308.00 (K)               324.50 (K)               341.00 (K)               359.00 (K)               377.00 (K)               396.00 (K)               416.00 (K) 
    0.3000           0.0000e+00           0.0000e+00           0.0000e+00           1.3004e-04           6.8339e-04           2.9326e-03           9.5599e-03           1.7307e-02           1.6836e-02           1.1918e-02           7.7014e-03           4.9066e-03 
    0.3100           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           3.0332e-04           1.7069e-03           7.2170e-03           1.6525e-02           2.0265e-02           1.7689e-02           1.3969e-02           1.0775e-02 
    0.3200           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           2.0444e-04           1.3152e-03           6.3234e-03           1.6260e-02           2.2357e-02           2.1643e-02           1.8870e-02           1.5998e-02 
    0.3300           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.4927e-04           1.0378e-03           5.3754e-03           1.4784e-02           2.1723e-02           2.2328e-02           2.0618e-02           1.8465e-02 
    0.3400           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.4635e-04           1.1046e-03           6.1909e-03           1.8284e-02           2.8819e-02           3.1566e-02           3.0975e-02           2.9396e-02 
    0.3500           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.0861e-04           8.9691e-04           5.4799e-03           1.7496e-02           2.9781e-02           3.4968e-02           3.6674e-02           3.7085e-02 
    0.3600           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.5493e-04           1.2760e-03           7.7760e-03           2.4770e-02           4.2064e-02           4.9287e-02           5.1589e-02           5.2068e-02 
    0.3700           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.6854e-04           1.4337e-03           9.0118e-03           2.9521e-02           5.1536e-02           6.1912e-02           6.6370e-02           6.8530e-02 
    0.3800           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.8497e-04           1.5744e-03           9.9019e-03           3.2454e-02           5.6685e-02           6.8131e-02           7.3070e-02           7.5480e-02 
    0.3900           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.9505e-04           1.6722e-03           1.0590e-02           3.4927e-02           6.1380e-02           7.4184e-02           7.9987e-02           8.3046e-02 
    0.4000           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           2.2328e-04           1.9142e-03           1.2122e-02           3.9977e-02           7.0252e-02           8.4905e-02           9.1543e-02           9.5041e-02 
    0.4100           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           2.1956e-04           1.8823e-03           1.1921e-02           3.9316e-02           6.9096e-02           8.3511e-02           9.0044e-02           9.3489e-02 
    0.4200           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           2.1002e-04           1.8083e-03           1.1500e-02           3.8069e-02           6.7150e-02           8.1431e-02           8.8082e-02           9.1730e-02 
    0.4300           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.7502e-04           1.4968e-03           9.4569e-03           3.1123e-02           5.4581e-02           6.5842e-02           7.0863e-02           7.3445e-02 
    0.4400           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.6381e-04           1.4005e-03           8.8465e-03           2.9108e-02           5.1036e-02           6.1554e-02           6.6236e-02           6.8638e-02 
    0.4500           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.2810e-04           1.0948e-03           6.9122e-03           2.2735e-02           3.9848e-02           4.8045e-02           5.1683e-02           5.3541e-02 
    0.4600           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           7.3549e-04           4.6062e-03           1.5039e-02           2.6168e-02           3.1345e-02           3.3507e-02           3.4504e-02 
    0.4700           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           5.1514e-04           3.2240e-03           1.0520e-02           1.8293e-02           2.1900e-02           2.3398e-02           2.4083e-02 
    0.4800           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           4.3752e-04           2.7498e-03           9.0067e-03           1.5721e-02           1.8885e-02           2.0243e-02           2.0900e-02 
    0.4900           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           3.2142e-04           2.0272e-03           6.6613e-03           1.1664e-02           1.4051e-02           1.5102e-02           1.5632e-02 
    0.5000           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.8006e-04           1.1382e-03           3.7475e-03           6.5751e-03           7.9348e-03           8.5433e-03           8.8579e-03 
    0.5100           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.1805e-04           7.3124e-04           2.3639e-03           4.0733e-03           4.8360e-03           5.1260e-03           5.2361e-03 
    0.5200           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           3.4328e-04           1.1416e-03           2.0226e-03           2.4627e-03           2.6741e-03           2.7952e-03 
    0.5300           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           1.5970e-04           5.3594e-04           9.5813e-04           1.1761e-03           1.2870e-03           1.3553e-03 
