@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.0997          0.4674 
         100.00          0.1399          0.4602 
         150.00          0.1553          0.4261 
         200.00          0.2160          0.4376 
         250.00          0.2353          0.4126 
         300.00          0.2751          0.4202 
         350.00          0.2303          0.4014 
         400.00          0.2209          0.4122 
         450.00          0.1959          0.4012 
         500.00          0.1609          0.4050 
         550.00          0.1227          0.4180 
         600.00          0.0588          0.4423 
         650.00          0.0490          0.4526 
         700.00          0.0595          0.4515 
         750.00          0.0695          0.4425 
         800.00          0.0718          0.4339 
         850.00          0.0709          0.4475 
         900.00          0.0986          0.4402 
         950.00          0.0404          0.4422 
        1000.00          0.0660          0.4502 
        1050.00          0.0655          0.4395 
        1100.00          0.0834          0.4407 
        1150.00          0.0481          0.4403 
        1200.00          0.0660          0.4330 
        1250.00          0.0362          0.4483 
        1300.00          0.0601          0.4432 
        1350.00          0.0657          0.4382 
        1400.00          0.0853          0.4304 
        1450.00          0.1296          0.4229 
        1500.00          0.0523          0.4424 
        1550.00          0.0532          0.4396 
        1600.00          0.0569          0.4476 
        1650.00          0.0681          0.4574 
        1700.00          0.0817          0.4473 
        1750.00          0.0753          0.4363 
        1800.00          0.0866          0.4406 
        1850.00          0.0771          0.4448 
        1900.00          0.0654          0.4419 
        1950.00          0.0364          0.4419 
        2000.00          0.0727          0.4252 
        2050.00          0.1130          0.4354 
        2100.00          0.0696          0.4368 
        2150.00          0.0952          0.4538 
        2200.00          0.0699          0.4505 
        2250.00          0.0903          0.4285 
        2300.00          0.0560          0.4503 
        2350.00          0.0743          0.4536 
        2400.00          0.0844          0.4459 
        2450.00          0.0517          0.4393 
        2500.00          0.0702          0.4313 
        2550.00          0.0869          0.4386 
        2600.00          0.0912          0.4315 
        2650.00          0.0731          0.4245 
        2700.00          0.0749          0.4449 
        2750.00          0.0597          0.4401 
        2800.00          0.0844          0.4369 
        2850.00          0.0767          0.4397 
        2900.00          0.0692          0.4406 
        2950.00          0.0675          0.4534 
        3000.00          0.0431          0.4472 
        3050.00          0.0780          0.4475 
        3100.00          0.0397          0.4527 
        3150.00          0.0600          0.4509 
        3200.00          0.1111          0.4247 
        3250.00          0.0526          0.4329 
        3300.00          0.0531          0.4438 
        3350.00          0.0442          0.4436 
        3400.00          0.0449          0.4464 
        3450.00          0.0827          0.4350 
        3500.00          0.0594          0.4481 
        3550.00          0.0572          0.4509 
        3600.00          0.0883          0.4355 
        3650.00          0.0922          0.4386 
        3700.00          0.0498          0.4570 
        3750.00          0.0886          0.4381 
        3800.00          0.0719          0.4533 
        3850.00          0.0592          0.4360 
        3900.00          0.0853          0.4412 
        3950.00          0.0858          0.4361 
        4000.00          0.0687          0.4475 
        4050.00          0.0676          0.4289 
        4100.00          0.0497          0.4487 
        4150.00          0.0669          0.4361 
        4200.00          0.0764          0.4459 
        4250.00          0.0669          0.4435 
        4300.00          0.0566          0.4421 
        4350.00          0.0853          0.4457 
        4400.00          0.0579          0.4391 
        4450.00          0.0650          0.4477 
        4500.00          0.1083          0.4457 
        4550.00          0.1310          0.4307 
        4600.00          0.0688          0.4416 
        4650.00          0.0640          0.4558 
        4700.00          0.0325          0.4500 
        4750.00          0.0540          0.4478 
        4800.00          0.0657          0.4407 
        4850.00          0.0606          0.4435 
        4900.00          0.0626          0.4409 
        4950.00          0.0600          0.4386 
        5000.00          0.0789          0.4468 
        5050.00          0.0724          0.4410 
        5100.00          0.0920          0.4332 
        5150.00          0.0559          0.4398 
        5200.00          0.0889          0.4374 
        5250.00          0.0795          0.4476 
        5300.00          0.0693          0.4485 
        5350.00          0.0473          0.4394 
        5400.00          0.0769          0.4395 
        5450.00          0.0600          0.4391 
        5500.00          0.1131          0.4346 
        5550.00          0.1119          0.4313 
        5600.00          0.0667          0.4461 
        5650.00          0.0547          0.4549 
        5700.00          0.0876          0.4321 
        5750.00          0.0690          0.4401 
        5800.00          0.0869          0.4424 
        5850.00          0.0432          0.4452 
        5900.00          0.0588          0.4444 
        5950.00          0.0739          0.4353 
        6000.00          0.0644          0.4355 
        6050.00          0.0726          0.4449 
        6100.00          0.0714          0.4406 
        6150.00          0.0768          0.4370 
        6200.00          0.0608          0.4406 
        6250.00          0.0703          0.4332 
        6300.00          0.0552          0.4476 
        6350.00          0.0741          0.4540 
        6400.00          0.0754          0.4484 
        6450.00          0.0630          0.4496 
        6500.00          0.0526          0.4520 
        6550.00          0.0947          0.4418 
        6600.00          0.0608          0.4493 
        6650.00          0.0828          0.4392 
        6700.00          0.0798          0.4485 
        6750.00          0.0583          0.4590 
        6800.00          0.0750          0.4465 
        6850.00          0.0972          0.4393 
        6900.00          0.0893          0.4459 
        6950.00          0.0769          0.4329 
        7000.00          0.0836          0.4466 
        7050.00          0.0589          0.4565 
        7100.00          0.0688          0.4435 
        7150.00          0.1039          0.4462 
        7200.00          0.0877          0.4449 
        7250.00          0.1172          0.4295 
        7300.00          0.0947          0.4503 
        7350.00          0.0530          0.4561 
        7400.00          0.0804          0.4476 
        7450.00          0.0737          0.4482 
        7500.00          0.0694          0.4391 
        7550.00          0.0669          0.4376 
        7600.00          0.0669          0.4438 
        7650.00          0.0763          0.4415 
        7700.00          0.0968          0.4383 
        7750.00          0.1306          0.4202 
        7800.00          0.1013          0.4359 
        7850.00          0.1558          0.4121 
        7900.00          0.1426          0.4108 
        7950.00          0.1026          0.4218 
        8000.00          0.0593          0.4414 
        8050.00          0.0640          0.4539 
        8100.00          0.0824          0.4533 
        8150.00          0.1269          0.4287 
        8200.00          0.1345          0.4215 
        8250.00          0.0641          0.4337 
        8300.00          0.0759          0.4446 
        8350.00          0.0425          0.4548 
        8400.00          0.0334          0.4587 
        8450.00          0.0507          0.4461 
        8500.00          0.1022          0.4294 
        8550.00          0.0566          0.4427 
        8600.00          0.0551          0.4487 
        8650.00          0.0946          0.4456 
        8700.00          0.0619          0.4492 
        8750.00          0.0585          0.4399 
        8800.00          0.0658          0.4430 
        8850.00          0.1330          0.4269 
        8900.00          0.1419          0.4236 
        8950.00          0.1179          0.4373 
        9000.00          0.1345          0.4172 
        9050.00          0.0931          0.4565 
        9100.00          0.1041          0.4373 
        9150.00          0.1048          0.4321 
        9200.00          0.1070          0.4354 
        9250.00          0.0526          0.4470 
        9300.00          0.0583          0.4470 
        9350.00          0.1085          0.4403 
        9400.00          0.1253          0.4246 
        9450.00          0.1341          0.4206 
        9500.00          0.0925          0.4372 
        9550.00          0.0409          0.4456 
        9600.00          0.0298          0.4493 
        9650.00          0.0671          0.4414 
        9700.00          0.0620          0.4326 
        9750.00          0.0636          0.4405 
        9800.00          0.0559          0.4389 
        9850.00          0.0664          0.4300 
        9900.00          0.0714          0.4519 
        9950.00          0.0631          0.4491 
       10000.00          0.0545          0.4378 
       10050.00          0.0766          0.4414 
       10100.00          0.0700          0.4366 
       10150.00          0.0620          0.4432 
       10200.00          0.0487          0.4408 
       10250.00          0.0868          0.4349 
       10300.00          0.0397          0.4422 
       10350.00          0.0841          0.4438 
       10400.00          0.0277          0.4413 
       10450.00          0.0790          0.4408 
       10500.00          0.0571          0.4309 
       10550.00          0.0431          0.4507 
       10600.00          0.0422          0.4408 
       10650.00          0.0706          0.4425 
       10700.00          0.0894          0.4515 
       10750.00          0.0780          0.4485 
       10800.00          0.0601          0.4514 
       10850.00          0.0846          0.4416 
       10900.00          0.1252          0.4236 
       10950.00          0.0760          0.4559 
       11000.00          0.0623          0.4498 
       11050.00          0.0565          0.4406 
       11100.00          0.0777          0.4424 
       11150.00          0.1165          0.4272 
       11200.00          0.0756          0.4381 
       11250.00          0.1163          0.4370 
       11300.00          0.0619          0.4527 
       11350.00          0.0729          0.4498 
       11400.00          0.0426          0.4503 
       11450.00          0.0517          0.4407 
       11500.00          0.0584          0.4477 
       11550.00          0.0579          0.4469 
       11600.00          0.0384          0.4550 
       11650.00          0.0792          0.4412 
       11700.00          0.0591          0.4554 
       11750.00          0.0949          0.4502 
       11800.00          0.0796          0.4494 
       11850.00          0.0996          0.4488 
       11900.00          0.0625          0.4583 
       11950.00          0.0593          0.4437 
       12000.00          0.0602          0.4318 
       12050.00          0.0609          0.4539 
       12100.00          0.0786          0.4595 
       12150.00          0.1027          0.4546 
       12200.00          0.1339          0.4288 
       12250.00          0.1606          0.4115 
       12300.00          0.1772          0.4000 
       12350.00          0.1559          0.4068 
       12400.00          0.1606          0.4264 
       12450.00          0.1492          0.4284 
       12500.00          0.1577          0.4117 
       12550.00          0.1379          0.4273 
       12600.00          0.1348          0.4219 
       12650.00          0.0984          0.4276 
       12700.00          0.0774          0.4423 
       12750.00          0.0914          0.4320 
       12800.00          0.0359          0.4436 
       12850.00          0.0474          0.4489 
       12900.00          0.0416          0.4460 
       12950.00          0.0662          0.4475 
       13000.00          0.0752          0.4424 
       13050.00          0.1261          0.4406 
       13100.00          0.1196          0.4239 
       13150.00          0.0832          0.4396 
       13200.00          0.0638          0.4557 
       13250.00          0.0634          0.4561 
       13300.00          0.0601          0.4477 
       13350.00          0.1104          0.4276 
       13400.00          0.1276          0.4207 
       13450.00          0.0747          0.4425 
       13500.00          0.0654          0.4424 
       13550.00          0.1285          0.4238 
       13600.00          0.1197          0.4302 
       13650.00          0.0467          0.4426 
       13700.00          0.1200          0.4326 
       13750.00          0.0451          0.4543 
       13800.00          0.1002          0.4341 
       13850.00          0.0780          0.4447 
       13900.00          0.0376          0.4555 
       13950.00          0.0341          0.4477 
       14000.00          0.0953          0.4377 
       14050.00          0.0423          0.4499 
       14100.00          0.0430          0.4410 
       14150.00          0.0976          0.4329 
       14200.00          0.0658          0.4360 
       14250.00          0.0869          0.4398 
       14300.00          0.0655          0.4308 
       14350.00          0.1005          0.4397 
       14400.00          0.0801          0.4494 
       14450.00          0.1165          0.4136 
       14500.00          0.0788          0.4289 
       14550.00          0.1190          0.4543 
       14600.00          0.1604          0.4373 
       14650.00          0.1729          0.4332 
       14700.00          0.2009          0.4165 
       14750.00          0.1872          0.4216 
       14800.00          0.1757          0.4178 
       14850.00          0.1813          0.4055 
       14900.00          0.1966          0.4195 
       14950.00          0.2004          0.4276 
       15000.00          0.1667          0.4275 
       15050.00          0.1883          0.4199 
       15100.00          0.1958          0.4264 
       15150.00          0.1791          0.4277 
       15200.00          0.1791          0.4235 
       15250.00          0.1834          0.4290 
       15300.00          0.1982          0.4334 
       15350.00          0.1986          0.4102 
       15400.00          0.2002          0.4271 
       15450.00          0.1768          0.4302 
       15500.00          0.2100          0.4173 
       15550.00          0.1970          0.4132 
       15600.00          0.1612          0.4092 
       15650.00          0.1513          0.4215 
       15700.00          0.1838          0.4320 
       15750.00          0.1896          0.4244 
       15800.00          0.1875          0.4157 
       15850.00          0.2285          0.4183 
       15900.00          0.1841          0.4307 
       15950.00          0.1830          0.4169 
       16000.00          0.2238          0.4009 
       16050.00          0.2429          0.4085 
       16100.00          0.2041          0.4029 
       16150.00          0.1810          0.4319 
       16200.00          0.2021          0.4154 
       16250.00          0.2035          0.4017 
       16300.00          0.2017          0.4133 
       16350.00          0.2086          0.4217 
       16400.00          0.1786          0.4296 
       16450.00          0.1950          0.4129 
       16500.00          0.2176          0.4135 
       16550.00          0.1897          0.4259 
       16600.00          0.2335          0.3906 
       16650.00          0.1826          0.4216 
       16700.00          0.1703          0.4299 
       16750.00          0.1584          0.4356 
       16800.00          0.2064          0.4198 
       16850.00          0.1864          0.4239 
       16900.00          0.1715          0.4239 
       16950.00          0.1835          0.4255 
       17000.00          0.1669          0.4282 
       17050.00          0.1807          0.4294 
       17100.00          0.1818          0.4222 
       17150.00          0.1817          0.4250 
       17200.00          0.1812          0.4163 
       17250.00          0.2117          0.4126 
       17300.00          0.2164          0.3979 
       17350.00          0.1732          0.4223 
       17400.00          0.1609          0.4361 
       17450.00          0.2198          0.4021 
       17500.00          0.2145          0.4137 
       17550.00          0.2410          0.3941 
       17600.00          0.2068          0.4058 
       17650.00          0.1992          0.4218 
       17700.00          0.1907          0.4174 
       17750.00          0.2152          0.4215 
       17800.00          0.1876          0.4223 
       17850.00          0.1587          0.4351 
       17900.00          0.0782          0.4408 
       17950.00          0.0553          0.4363 
       18000.00          0.0996          0.4510 
       18050.00          0.0537          0.4447 
       18100.00          0.1418          0.4259 
       18150.00          0.0363          0.4446 
       18200.00          0.0622          0.4567 
       18250.00          0.0799          0.4377 
       18300.00          0.0588          0.4512 
       18350.00          0.0588          0.4504 
       18400.00          0.0399          0.4481 
       18450.00          0.0653          0.4415 
       18500.00          0.0601          0.4438 
       18550.00          0.0767          0.4204 
       18600.00          0.1299          0.4325 
       18650.00          0.1177          0.4188 
       18700.00          0.0541          0.4421 
       18750.00          0.0799          0.4458 
       18800.00          0.0578          0.4523 
       18850.00          0.0277          0.4455 
       18900.00          0.0956          0.4352 
       18950.00          0.0723          0.4355 
       19000.00          0.0684          0.4351 
       19050.00          0.0745          0.4337 
       19100.00          0.0907          0.4454 
       19150.00          0.0643          0.4385 
       19200.00          0.0602          0.4407 
       19250.00          0.0722          0.4524 
       19300.00          0.0755          0.4289 
       19350.00          0.0985          0.4380 
       19400.00          0.0801          0.4328 
       19450.00          0.0938          0.4437 
