# Free Energy
#   binNum               236.50 (K)               250.00 (K)               263.50 (K)               277.50 (K)               292.50 (K)               308.00 (K)               324.50 (K)               341.00 (K)               359.00 (K)               377.00 (K)               396.00 (K)               416.00 (K) 
      0.27          -8.9166e+00          -8.5196e+00          -8.1227e+00          -7.7110e+00          -7.2700e+00          -6.8142e+00          -6.3291e+00          -5.8439e+00          -5.3147e+00          -4.7854e+00          -4.2268e+00          -3.6387e+00 
      0.28          -8.4869e+00          -8.1287e+00          -7.7705e+00          -7.3991e+00          -7.0011e+00          -6.5899e+00          -6.1522e+00          -5.7144e+00          -5.2368e+00          -4.7593e+00          -4.2552e+00          -3.7246e+00 
      0.29          -7.8060e+00          -7.5458e+00          -7.2856e+00          -7.0157e+00          -6.7266e+00          -6.4279e+00          -6.1099e+00          -5.7919e+00          -5.4449e+00          -5.0980e+00          -4.7318e+00          -4.3463e+00 
      0.30          -7.2427e+00          -7.0433e+00          -6.8440e+00          -6.6372e+00          -6.4156e+00          -6.1867e+00          -5.9430e+00          -5.6993e+00          -5.4334e+00          -5.1676e+00          -4.8870e+00          -4.5916e+00 
      0.31          -6.2616e+00          -6.1849e+00          -6.1082e+00          -6.0287e+00          -5.9435e+00          -5.8554e+00          -5.7617e+00          -5.6680e+00          -5.5657e+00          -5.4635e+00          -5.3555e+00          -5.2419e+00 
      0.32          -5.7802e+00          -5.7643e+00          -5.7484e+00          -5.7319e+00          -5.7142e+00          -5.6959e+00          -5.6765e+00          -5.6570e+00          -5.6358e+00          -5.6146e+00          -5.5922e+00          -5.5686e+00 
      0.33          -5.4607e+00          -5.4777e+00          -5.4948e+00          -5.5124e+00          -5.5314e+00          -5.5509e+00          -5.5717e+00          -5.5925e+00          -5.6153e+00          -5.6380e+00          -5.6619e+00          -5.6872e+00 
      0.34          -5.2697e+00          -5.3300e+00          -5.3903e+00          -5.4529e+00          -5.5199e+00          -5.5891e+00          -5.6628e+00          -5.7365e+00          -5.8169e+00          -5.8973e+00          -5.9822e+00          -6.0716e+00 
      0.35          -4.9306e+00          -5.0309e+00          -5.1312e+00          -5.2351e+00          -5.3465e+00          -5.4616e+00          -5.5841e+00          -5.7067e+00          -5.8403e+00          -5.9740e+00          -6.1151e+00          -6.2636e+00 
      0.36          -5.1036e+00          -5.2119e+00          -5.3203e+00          -5.4326e+00          -5.5530e+00          -5.6774e+00          -5.8098e+00          -5.9422e+00          -6.0867e+00          -6.2312e+00          -6.3836e+00          -6.5442e+00 
      0.37          -5.0717e+00          -5.1996e+00          -5.3274e+00          -5.4599e+00          -5.6019e+00          -5.7487e+00          -5.9049e+00          -6.0612e+00          -6.2316e+00          -6.4020e+00          -6.5819e+00          -6.7713e+00 
      0.38          -5.1141e+00          -5.2447e+00          -5.3754e+00          -5.5108e+00          -5.6560e+00          -5.8060e+00          -5.9657e+00          -6.1253e+00          -6.2995e+00          -6.4737e+00          -6.6576e+00          -6.8511e+00 
      0.39          -5.1231e+00          -5.2590e+00          -5.3949e+00          -5.5359e+00          -5.6869e+00          -5.8429e+00          -6.0090e+00          -6.1751e+00          -6.3563e+00          -6.5375e+00          -6.7288e+00          -6.9301e+00 
      0.40          -5.1867e+00          -5.3262e+00          -5.4658e+00          -5.6104e+00          -5.7654e+00          -5.9256e+00          -6.0961e+00          -6.2666e+00          -6.4526e+00          -6.6386e+00          -6.8350e+00          -7.0416e+00 
      0.41          -5.1787e+00          -5.3178e+00          -5.4569e+00          -5.6011e+00          -5.7556e+00          -5.9153e+00          -6.0853e+00          -6.2553e+00          -6.4408e+00          -6.6262e+00          -6.8220e+00          -7.0280e+00 
      0.42          -5.1483e+00          -5.2885e+00          -5.4287e+00          -5.5741e+00          -5.7298e+00          -5.8908e+00          -6.0621e+00          -6.2335e+00          -6.4204e+00          -6.6073e+00          -6.8046e+00          -7.0123e+00 
      0.43          -5.0776e+00          -5.2093e+00          -5.3410e+00          -5.4776e+00          -5.6239e+00          -5.7751e+00          -5.9360e+00          -6.0970e+00          -6.2725e+00          -6.4481e+00          -6.6334e+00          -6.8285e+00 
      0.44          -5.0470e+00          -5.1768e+00          -5.3066e+00          -5.4412e+00          -5.5854e+00          -5.7344e+00          -5.8930e+00          -6.0516e+00          -6.2246e+00          -6.3977e+00          -6.5803e+00          -6.7726e+00 
      0.45          -4.9324e+00          -5.0554e+00          -5.1783e+00          -5.3058e+00          -5.4424e+00          -5.5836e+00          -5.7339e+00          -5.8842e+00          -6.0481e+00          -6.2120e+00          -6.3851e+00          -6.5672e+00 
      0.46          -4.7683e+00          -4.8763e+00          -4.9842e+00          -5.0962e+00          -5.2162e+00          -5.3402e+00          -5.4721e+00          -5.6041e+00          -5.7481e+00          -5.8921e+00          -6.0440e+00          -6.2040e+00 
      0.47          -4.6028e+00          -4.7009e+00          -4.7990e+00          -4.9007e+00          -5.0096e+00          -5.1222e+00          -5.2421e+00          -5.3619e+00          -5.4927e+00          -5.6234e+00          -5.7615e+00          -5.9067e+00 
      0.48          -4.5143e+00          -4.6102e+00          -4.7061e+00          -4.8056e+00          -4.9121e+00          -5.0222e+00          -5.1395e+00          -5.2567e+00          -5.3846e+00          -5.5125e+00          -5.6475e+00          -5.7896e+00 
      0.49          -4.3595e+00          -4.4490e+00          -4.5385e+00          -4.6313e+00          -4.7308e+00          -4.8335e+00          -4.9429e+00          -5.0523e+00          -5.1716e+00          -5.2909e+00          -5.4169e+00          -5.5495e+00 
      0.50          -4.0809e+00          -4.1561e+00          -4.2312e+00          -4.3091e+00          -4.3926e+00          -4.4788e+00          -4.5707e+00          -4.6625e+00          -4.7627e+00          -4.8629e+00          -4.9686e+00          -5.0799e+00 
      0.51          -3.9392e+00          -3.9923e+00          -4.0454e+00          -4.1005e+00          -4.1595e+00          -4.2205e+00          -4.2854e+00          -4.3503e+00          -4.4211e+00          -4.4919e+00          -4.5666e+00          -4.6453e+00 
      0.52          -3.4816e+00          -3.5301e+00          -3.5786e+00          -3.6289e+00          -3.6828e+00          -3.7384e+00          -3.7977e+00          -3.8570e+00          -3.9217e+00          -3.9863e+00          -4.0546e+00          -4.1264e+00 
      0.53          -3.0891e+00          -3.1221e+00          -3.1551e+00          -3.1893e+00          -3.2260e+00          -3.2639e+00          -3.3043e+00          -3.3446e+00          -3.3886e+00          -3.4326e+00          -3.4791e+00          -3.5280e+00 
      0.54          -2.5903e+00          -2.6270e+00          -2.6637e+00          -2.7017e+00          -2.7425e+00          -2.7846e+00          -2.8295e+00          -2.8743e+00          -2.9232e+00          -2.9721e+00          -3.0238e+00          -3.0781e+00 
      0.55          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00          -2.1517e+00 
      0.56          -2.1359e+00          -2.1373e+00          -2.1388e+00          -2.1403e+00          -2.1420e+00          -2.1436e+00          -2.1454e+00          -2.1472e+00          -2.1492e+00          -2.1512e+00          -2.1532e+00          -2.1554e+00 
      0.57           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.58           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.59           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.60           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.61           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.62           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.63           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.64           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.65           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.66           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.67           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.68           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.69           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.70           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.71           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.72           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.73           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.74           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.75           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
      0.76           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00           0.0000e+00 
