@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.0979          0.4421 
         100.00          0.1868          0.4245 
         150.00          0.2259          0.3772 
         200.00          0.1319          0.4279 
         250.00          0.1740          0.4372 
         300.00          0.2191          0.4137 
         350.00          0.2382          0.4123 
         400.00          0.2135          0.4143 
         450.00          0.1730          0.4439 
         500.00          0.1964          0.4073 
         550.00          0.1824          0.4137 
         600.00          0.1968          0.4041 
         650.00          0.1820          0.4260 
         700.00          0.1857          0.4295 
         750.00          0.2026          0.4093 
         800.00          0.1591          0.4317 
         850.00          0.1580          0.4415 
         900.00          0.1633          0.4429 
         950.00          0.1844          0.4222 
        1000.00          0.1637          0.4338 
        1050.00          0.1959          0.4209 
        1100.00          0.1878          0.4225 
        1150.00          0.2293          0.3893 
        1200.00          0.1957          0.4247 
        1250.00          0.1964          0.4178 
        1300.00          0.1761          0.4377 
        1350.00          0.1499          0.4478 
        1400.00          0.1723          0.4285 
        1450.00          0.1690          0.4290 
        1500.00          0.1541          0.4362 
        1550.00          0.1311          0.4487 
        1600.00          0.0887          0.4620 
        1650.00          0.1676          0.4347 
        1700.00          0.1331          0.4499 
        1750.00          0.1427          0.4471 
        1800.00          0.1167          0.4639 
        1850.00          0.1067          0.4609 
        1900.00          0.1474          0.4406 
        1950.00          0.1400          0.4459 
        2000.00          0.1234          0.4632 
        2050.00          0.1998          0.4068 
        2100.00          0.2097          0.4139 
        2150.00          0.1479          0.4314 
        2200.00          0.1663          0.4398 
        2250.00          0.1076          0.4569 
        2300.00          0.0507          0.4551 
        2350.00          0.0985          0.4605 
        2400.00          0.0729          0.4628 
        2450.00          0.0623          0.4507 
        2500.00          0.0856          0.4499 
        2550.00          0.0564          0.4492 
        2600.00          0.0618          0.4403 
        2650.00          0.1063          0.4370 
        2700.00          0.0596          0.4459 
        2750.00          0.0662          0.4437 
        2800.00          0.0561          0.4436 
        2850.00          0.0557          0.4417 
        2900.00          0.0446          0.4558 
        2950.00          0.0501          0.4470 
        3000.00          0.0680          0.4394 
        3050.00          0.0489          0.4331 
        3100.00          0.0692          0.4554 
        3150.00          0.0453          0.4476 
        3200.00          0.0558          0.4533 
        3250.00          0.0628          0.4455 
        3300.00          0.0716          0.4463 
        3350.00          0.0858          0.4385 
        3400.00          0.0713          0.4484 
        3450.00          0.0616          0.4281 
        3500.00          0.0552          0.4499 
        3550.00          0.1106          0.4362 
        3600.00          0.0715          0.4389 
        3650.00          0.0677          0.4383 
        3700.00          0.0563          0.4455 
        3750.00          0.0994          0.4278 
        3800.00          0.1214          0.4357 
        3850.00          0.1171          0.4226 
        3900.00          0.0524          0.4347 
        3950.00          0.0463          0.4473 
        4000.00          0.0623          0.4491 
        4050.00          0.1045          0.4354 
        4100.00          0.1050          0.4415 
        4150.00          0.0706          0.4561 
        4200.00          0.0351          0.4397 
        4250.00          0.0450          0.4504 
        4300.00          0.1272          0.4309 
        4350.00          0.1516          0.4098 
        4400.00          0.1255          0.4245 
        4450.00          0.0872          0.4370 
        4500.00          0.0429          0.4514 
        4550.00          0.0310          0.4465 
        4600.00          0.0480          0.4465 
        4650.00          0.0462          0.4427 
        4700.00          0.0601          0.4394 
        4750.00          0.0510          0.4430 
        4800.00          0.0982          0.4234 
        4850.00          0.0740          0.4462 
        4900.00          0.0754          0.4446 
        4950.00          0.0824          0.4485 
        5000.00          0.0673          0.4481 
        5050.00          0.0632          0.4508 
        5100.00          0.0646          0.4406 
        5150.00          0.0941          0.4390 
        5200.00          0.0541          0.4484 
        5250.00          0.0563          0.4431 
        5300.00          0.1261          0.4280 
        5350.00          0.0826          0.4437 
        5400.00          0.1198          0.4267 
        5450.00          0.1015          0.4372 
        5500.00          0.0725          0.4418 
        5550.00          0.1061          0.4410 
        5600.00          0.0633          0.4460 
        5650.00          0.0822          0.4371 
        5700.00          0.0601          0.4325 
        5750.00          0.0546          0.4345 
        5800.00          0.0703          0.4606 
        5850.00          0.1155          0.4592 
        5900.00          0.1467          0.4403 
        5950.00          0.2417          0.3964 
        6000.00          0.2014          0.4128 
        6050.00          0.2763          0.3853 
        6100.00          0.2239          0.4291 
        6150.00          0.1829          0.4487 
        6200.00          0.2424          0.4087 
        6250.00          0.2251          0.4433 
        6300.00          0.1968          0.4493 
        6350.00          0.1942          0.4708 
        6400.00          0.2259          0.4360 
        6450.00          0.2407          0.3964 
        6500.00          0.2710          0.3870 
        6550.00          0.2509          0.4032 
        6600.00          0.2783          0.3770 
        6650.00          0.2452          0.3955 
        6700.00          0.2190          0.4119 
        6750.00          0.1767          0.4291 
        6800.00          0.2508          0.4116 
        6850.00          0.2311          0.4424 
        6900.00          0.1640          0.4674 
        6950.00          0.1303          0.4807 
        7000.00          0.2008          0.4296 
        7050.00          0.2355          0.3943 
        7100.00          0.2318          0.4002 
        7150.00          0.2396          0.3993 
        7200.00          0.2185          0.4189 
        7250.00          0.2174          0.4280 
        7300.00          0.1800          0.4265 
        7350.00          0.1696          0.4353 
        7400.00          0.2482          0.3956 
        7450.00          0.2612          0.3738 
        7500.00          0.2689          0.3608 
        7550.00          0.2421          0.4095 
        7600.00          0.3111          0.3676 
        7650.00          0.2395          0.4096 
        7700.00          0.2054          0.4253 
        7750.00          0.2093          0.4211 
        7800.00          0.2678          0.4172 
        7850.00          0.2085          0.4162 
        7900.00          0.1983          0.4234 
        7950.00          0.2045          0.4193 
        8000.00          0.1977          0.4180 
        8050.00          0.1820          0.4270 
        8100.00          0.1706          0.4313 
        8150.00          0.2037          0.4192 
        8200.00          0.1789          0.4266 
        8250.00          0.1965          0.4260 
        8300.00          0.1942          0.4252 
        8350.00          0.2044          0.4141 
        8400.00          0.2559          0.3760 
        8450.00          0.1958          0.4196 
        8500.00          0.1985          0.4062 
        8550.00          0.1846          0.4228 
        8600.00          0.1981          0.4118 
        8650.00          0.1492          0.4495 
        8700.00          0.1977          0.4121 
        8750.00          0.2069          0.4159 
        8800.00          0.2003          0.4273 
        8850.00          0.2136          0.4092 
        8900.00          0.1890          0.4136 
        8950.00          0.2127          0.4134 
        9000.00          0.1925          0.4159 
        9050.00          0.1715          0.4433 
        9100.00          0.1682          0.4262 
        9150.00          0.1951          0.4161 
        9200.00          0.2045          0.4208 
        9250.00          0.1711          0.4339 
        9300.00          0.2013          0.4081 
        9350.00          0.1619          0.4331 
        9400.00          0.1688          0.4220 
        9450.00          0.2105          0.3896 
        9500.00          0.2184          0.4099 
        9550.00          0.1973          0.4203 
        9600.00          0.1811          0.4300 
        9650.00          0.2024          0.4115 
        9700.00          0.1692          0.4335 
        9750.00          0.1175          0.4573 
        9800.00          0.1856          0.4309 
        9850.00          0.1750          0.4269 
        9900.00          0.2056          0.3998 
        9950.00          0.1470          0.4374 
       10000.00          0.1534          0.4359 
       10050.00          0.1113          0.4559 
       10100.00          0.0533          0.4521 
       10150.00          0.1022          0.4429 
       10200.00          0.0536          0.4481 
       10250.00          0.0551          0.4493 
       10300.00          0.1789          0.4264 
       10350.00          0.1563          0.4434 
       10400.00          0.1180          0.4501 
       10450.00          0.0796          0.4716 
       10500.00          0.0925          0.4437 
       10550.00          0.0957          0.4590 
       10600.00          0.0991          0.4377 
       10650.00          0.1372          0.4474 
       10700.00          0.1098          0.4694 
       10750.00          0.1057          0.4543 
       10800.00          0.0477          0.4650 
       10850.00          0.0686          0.4515 
       10900.00          0.0892          0.4474 
       10950.00          0.1024          0.4706 
       11000.00          0.1525          0.4401 
       11050.00          0.1919          0.4350 
       11100.00          0.2245          0.4015 
       11150.00          0.1818          0.4248 
       11200.00          0.1874          0.4241 
       11250.00          0.1963          0.4249 
       11300.00          0.2013          0.4296 
       11350.00          0.2326          0.4171 
       11400.00          0.2224          0.4054 
       11450.00          0.2115          0.4378 
       11500.00          0.2066          0.4205 
       11550.00          0.2324          0.4115 
       11600.00          0.2643          0.3954 
       11650.00          0.2135          0.4418 
       11700.00          0.2110          0.4415 
       11750.00          0.1816          0.4564 
       11800.00          0.1826          0.4482 
       11850.00          0.2215          0.4045 
       11900.00          0.2326          0.4053 
       11950.00          0.1942          0.4256 
       12000.00          0.2476          0.3845 
       12050.00          0.2301          0.3882 
       12100.00          0.1969          0.4170 
       12150.00          0.1863          0.4229 
       12200.00          0.1880          0.4203 
       12250.00          0.1810          0.4336 
       12300.00          0.1985          0.4272 
       12350.00          0.1827          0.4342 
       12400.00          0.1840          0.4289 
       12450.00          0.1715          0.4298 
       12500.00          0.2096          0.4086 
       12550.00          0.2227          0.3890 
       12600.00          0.2266          0.4045 
       12650.00          0.1688          0.4283 
       12700.00          0.2035          0.4163 
       12750.00          0.1567          0.4291 
       12800.00          0.2077          0.4097 
       12850.00          0.1686          0.4280 
       12900.00          0.2133          0.4103 
       12950.00          0.1901          0.4265 
       13000.00          0.2135          0.4052 
       13050.00          0.1852          0.4308 
       13100.00          0.1912          0.4222 
       13150.00          0.1987          0.4305 
       13200.00          0.1728          0.4381 
       13250.00          0.2001          0.4266 
       13300.00          0.1836          0.4276 
       13350.00          0.1820          0.4310 
       13400.00          0.1640          0.4266 
       13450.00          0.1658          0.4350 
       13500.00          0.1786          0.4388 
       13550.00          0.1705          0.4392 
       13600.00          0.1774          0.4201 
       13650.00          0.1711          0.4340 
       13700.00          0.1977          0.4151 
       13750.00          0.1963          0.4208 
       13800.00          0.1758          0.4257 
       13850.00          0.1709          0.4292 
       13900.00          0.1792          0.4304 
       13950.00          0.1284          0.4539 
       14000.00          0.1633          0.4334 
       14050.00          0.2085          0.4179 
       14100.00          0.2422          0.3851 
       14150.00          0.2100          0.4163 
       14200.00          0.2121          0.4096 
       14250.00          0.1931          0.4210 
       14300.00          0.1871          0.4164 
       14350.00          0.1577          0.4564 
       14400.00          0.1349          0.4610 
       14450.00          0.1876          0.4258 
       14500.00          0.1777          0.4257 
       14550.00          0.2233          0.4008 
       14600.00          0.1953          0.4142 
       14650.00          0.1751          0.4185 
       14700.00          0.1753          0.4288 
       14750.00          0.1841          0.4381 
       14800.00          0.1938          0.4204 
       14850.00          0.2545          0.3894 
       14900.00          0.2217          0.4100 
       14950.00          0.1885          0.4193 
       15000.00          0.1764          0.4349 
       15050.00          0.1891          0.4201 
       15100.00          0.1685          0.4282 
       15150.00          0.2028          0.4214 
       15200.00          0.1818          0.4259 
       15250.00          0.2003          0.4335 
       15300.00          0.1825          0.4228 
       15350.00          0.1607          0.4388 
       15400.00          0.1588          0.4434 
       15450.00          0.1776          0.4194 
       15500.00          0.1597          0.4308 
       15550.00          0.0825          0.4522 
       15600.00          0.0974          0.4348 
       15650.00          0.1037          0.4357 
       15700.00          0.1264          0.4280 
       15750.00          0.0860          0.4414 
       15800.00          0.1301          0.4328 
       15850.00          0.1344          0.4477 
       15900.00          0.1445          0.4442 
       15950.00          0.1759          0.4328 
       16000.00          0.1859          0.4205 
       16050.00          0.1520          0.4378 
       16100.00          0.1702          0.4317 
       16150.00          0.1598          0.4431 
       16200.00          0.2182          0.4186 
       16250.00          0.1737          0.4221 
       16300.00          0.2080          0.4008 
       16350.00          0.1982          0.4146 
       16400.00          0.2327          0.4034 
       16450.00          0.2284          0.4097 
       16500.00          0.2158          0.3950 
       16550.00          0.1742          0.4315 
       16600.00          0.1889          0.4262 
       16650.00          0.2044          0.4047 
       16700.00          0.2360          0.3790 
       16750.00          0.1939          0.4301 
       16800.00          0.2360          0.4075 
       16850.00          0.1984          0.4186 
       16900.00          0.1977          0.4109 
       16950.00          0.1937          0.4219 
       17000.00          0.1899          0.4272 
       17050.00          0.1944          0.4283 
       17100.00          0.2220          0.4021 
       17150.00          0.2268          0.3949 
       17200.00          0.2339          0.3812 
       17250.00          0.2057          0.4204 
       17300.00          0.1933          0.4295 
       17350.00          0.1933          0.4202 
       17400.00          0.1986          0.4075 
       17450.00          0.1970          0.4150 
       17500.00          0.1405          0.4513 
       17550.00          0.1189          0.4534 
       17600.00          0.1979          0.4280 
       17650.00          0.1829          0.4330 
       17700.00          0.1500          0.4462 
       17750.00          0.1905          0.4295 
       17800.00          0.2151          0.4110 
       17850.00          0.2025          0.4161 
       17900.00          0.1779          0.4267 
       17950.00          0.2059          0.4045 
       18000.00          0.1953          0.4220 
       18050.00          0.1904          0.4274 
       18100.00          0.2068          0.4049 
       18150.00          0.1713          0.4354 
       18200.00          0.2169          0.4046 
       18250.00          0.2118          0.4039 
       18300.00          0.1571          0.4377 
       18350.00          0.1915          0.4198 
       18400.00          0.1519          0.4350 
       18450.00          0.1763          0.4317 
       18500.00          0.1962          0.4233 
       18550.00          0.1408          0.4434 
       18600.00          0.1348          0.4173 
       18650.00          0.1540          0.4394 
       18700.00          0.1396          0.4547 
       18750.00          0.2147          0.4091 
       18800.00          0.2153          0.4014 
       18850.00          0.1873          0.4218 
       18900.00          0.2504          0.4084 
       18950.00          0.2425          0.3891 
       19000.00          0.2012          0.4120 
       19050.00          0.1972          0.4153 
       19100.00          0.1816          0.4276 
       19150.00          0.2128          0.4126 
       19200.00          0.1870          0.4287 
       19250.00          0.1419          0.4467 
       19300.00          0.1298          0.4584 
       19350.00          0.1569          0.4442 
       19400.00          0.1397          0.4550 
       19450.00          0.1964          0.4189 
