#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            5.8701            1.0324           -6.5300            0.0000           -5.4976
          50.00          319.4416           56.1794           -9.1298            0.0000           47.0496
         100.00          416.0592           73.1713           -8.1951            0.0000           64.9762
         150.00          399.0871           70.1865           -7.1066            0.0000           63.0799
         200.00          441.3042           77.6111          -11.2025            0.0000           66.4086
         250.00          346.3272           60.9077          -10.6125            0.0000           50.2953
         300.00          363.8228           63.9846           -9.9381            0.0000           54.0465
         350.00          364.9100           64.1758          -10.7457            0.0000           53.4301
         400.00          401.9148           70.6838          -10.7314            0.0000           59.9524
         450.00          332.7458           58.5192           -9.8462            0.0000           48.6730
         500.00          418.6050           73.6190          -12.6027            0.0000           61.0164
         550.00          281.0943           49.4354          -13.6280            0.0000           35.8073
         600.00          319.0823           56.1162           -9.7105            0.0000           46.4058
         650.00          294.1648           51.7341          -12.1220            0.0000           39.6120
         700.00          321.7393           56.5835          -12.0452            0.0000           44.5384
         750.00          341.5908           60.0747          -14.4777            0.0000           45.5971
         800.00          428.2859           75.3216          -17.6137            0.0000           57.7079
         850.00          431.7119           75.9241          -21.2063            0.0000           54.7178
         900.00          284.3955           50.0159          -21.7071            0.0000           28.3089
         950.00          364.7277           64.1438          -20.0193            0.0000           44.1244
        1000.00          251.6291           44.2534          -21.5295            0.0000           22.7239
        1050.00          242.9562           42.7281          -20.8551            0.0000           21.8731
        1100.00          269.8067           47.4502          -27.0436            0.0000           20.4067
        1150.00          265.0488           46.6135          -27.6279            0.0000           18.9856
        1200.00          370.1910           65.1046          -26.1120            0.0000           38.9926
        1250.00          285.4824           50.2071          -28.3710            0.0000           21.8361
        1300.00          219.2242           38.5544          -25.8572            0.0000           12.6972
        1350.00          247.2646           43.4858          -26.3396            0.0000           17.1462
        1400.00          283.6083           49.8775          -23.8953            0.0000           25.9822
        1450.00          262.9761           46.2490          -24.5943            0.0000           21.6547
        1500.00          249.2584           43.8365          -26.3485            0.0000           17.4879
        1550.00          254.3430           44.7307          -26.7319            0.0000           17.9988
        1600.00          256.4054           45.0934          -22.5104            0.0000           22.5830
        1650.00          302.4528           53.1916          -27.1538            0.0000           26.0379
        1700.00          231.9640           40.7950          -24.5109            0.0000           16.2841
        1750.00          347.9466           61.1925          -26.6343            0.0000           34.5582
        1800.00          334.6313           58.8508          -19.6934            0.0000           39.1574
