#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 3                 0                 0                 0                 0                 0                 3
         100.00                 4                 0                 0                 0                 0                 0                 4
         150.00                 4                 0                 0                 0                 0                 1                 5
         200.00                 4                 0                 0                 1                 0                 0                 5
         250.00                 4                 0                 0                 1                 0                 0                 5
         300.00                 4                 0                 0                 1                 0                 0                 5
         350.00                 4                 0                 0                 0                 0                 1                 5
         400.00                 4                 0                 0                 1                 0                 0                 5
         450.00                 4                 0                 0                 1                 0                 0                 5
         500.00                 4                 0                 0                 1                 0                 0                 5
         550.00                 4                 0                 0                 1                 0                 0                 5
         600.00                 4                 0                 0                 1                 0                 0                 5
         650.00                 4                 0                 0                 0                 0                 1                 5
         700.00                 4                 0                 0                 1                 0                 0                 5
         750.00                 4                 0                 0                 0                 0                 1                 5
         800.00                 4                 0                 0                 1                 0                 0                 5
         850.00                 4                 0                 0                 0                 0                 1                 5
         900.00                 4                 0                 0                 0                 0                 1                 5
         950.00                 4                 0                 0                 0                 0                 1                 5
        1000.00                 4                 0                 0                 0                 0                 1                 5
        1050.00                 4                 0                 0                 1                 0                 0                 5
        1100.00                 4                 0                 0                 0                 0                 1                 5
        1150.00                 4                 0                 0                 1                 0                 0                 5
        1200.00                 4                 0                 0                 0                 0                 1                 5
        1250.00                 4                 0                 0                 0                 0                 1                 5
        1300.00                 5                 0                 0                 0                 0                 0                 5
        1350.00                 5                 0                 0                 0                 0                 0                 5
        1400.00                 5                 0                 0                 0                 0                 0                 5
        1450.00                 5                 0                 0                 0                 0                 0                 5
        1500.00                 5                 0                 0                 0                 0                 0                 5
        1550.00                 5                 0                 0                 0                 0                 0                 5
        1600.00                 5                 0                 0                 0                 0                 0                 5
        1650.00                 5                 0                 0                 1                 0                 0                 6
        1700.00                 4                 0                 0                 0                 0                 2                 6
        1750.00                 5                 0                 0                 1                 0                 0                 6
        1800.00                 6                 0                 0                 0                 0                 0                 6
        1850.00                 4                 0                 0                 0                 0                 1                 5
        1900.00                 5                 0                 0                 1                 0                 0                 6
        1950.00                 5                 0                 0                 1                 0                 0                 6
        2000.00                 6                 0                 0                 0                 0                 0                 6
        2050.00                 5                 0                 0                 0                 0                 1                 6
        2100.00                 6                 0                 0                 0                 0                 0                 6
        2150.00                 4                 0                 0                 1                 0                 0                 5
        2200.00                 4                 0                 0                 0                 0                 1                 5
        2250.00                 5                 0                 0                 0                 0                 0                 5
        2300.00                 4                 0                 0                 1                 0                 0                 5
        2350.00                 5                 0                 0                 1                 0                 0                 6
        2400.00                 5                 0                 0                 0                 0                 1                 6
        2450.00                 5                 0                 0                 0                 0                 1                 6
        2500.00                 5                 0                 0                 1                 0                 0                 6
        2550.00                 5                 0                 0                 0                 0                 1                 6
        2600.00                 5                 0                 0                 1                 0                 0                 6
        2650.00                 5                 0                 0                 1                 0                 0                 6
        2700.00                 5                 0                 0                 0                 0                 1                 6
        2750.00                 6                 0                 0                 0                 0                 0                 6
        2800.00                 5                 0                 0                 0                 0                 1                 6
        2850.00                 5                 0                 0                 1                 0                 0                 6
        2900.00                 5                 0                 0                 1                 0                 0                 6
        2950.00                 5                 0                 0                 0                 0                 1                 6
        3000.00                 5                 0                 0                 1                 0                 0                 6
        3050.00                 6                 0                 0                 0                 0                 0                 6
        3100.00                 4                 0                 0                 0                 0                 2                 6
        3150.00                 5                 0                 0                 1                 0                 0                 6
        3200.00                 6                 0                 0                 0                 0                 0                 6
        3250.00                 5                 0                 0                 0                 0                 1                 6
        3300.00                 5                 0                 0                 0                 0                 1                 6
        3350.00                 5                 0                 0                 0                 0                 1                 6
        3400.00                 5                 0                 0                 0                 0                 1                 6
        3450.00                 5                 0                 0                 0                 0                 1                 6
        3500.00                 6                 0                 0                 0                 0                 0                 6
        3550.00                 4                 0                 0                 0                 0                 1                 5
        3600.00                 5                 0                 0                 1                 0                 0                 6
        3650.00                 5                 0                 0                 0                 0                 1                 6
        3700.00                 5                 0                 0                 0                 0                 1                 6
        3750.00                 5                 0                 0                 1                 0                 0                 6
        3800.00                 6                 0                 0                 0                 0                 0                 6
        3850.00                 5                 0                 0                 0                 0                 1                 6
        3900.00                 6                 0                 0                 0                 0                 0                 6
        3950.00                 5                 0                 0                 0                 0                 1                 6
        4000.00                 4                 0                 0                 1                 0                 0                 5
        4050.00                 5                 0                 0                 1                 0                 0                 6
        4100.00                 6                 0                 0                 0                 0                 0                 6
        4150.00                 5                 0                 0                 1                 0                 0                 6
        4200.00                 5                 0                 0                 0                 0                 1                 6
        4250.00                 5                 0                 0                 1                 0                 0                 6
        4300.00                 5                 0                 0                 0                 0                 1                 6
        4350.00                 5                 0                 0                 1                 0                 0                 6
        4400.00                 5                 0                 0                 0                 0                 1                 6
        4450.00                 5                 0                 0                 0                 0                 1                 6
        4500.00                 5                 0                 0                 0                 0                 1                 6
        4550.00                 5                 0                 0                 1                 0                 0                 6
        4600.00                 6                 0                 0                 0                 0                 0                 6
        4650.00                 6                 0                 0                 0                 0                 0                 6
        4700.00                 6                 0                 0                 0                 0                 0                 6
        4750.00                 6                 0                 0                 0                 0                 0                 6
        4800.00                 5                 0                 0                 1                 0                 0                 6
        4850.00                 5                 0                 0                 1                 0                 0                 6
        4900.00                 6                 0                 0                 0                 0                 0                 6
        4950.00                 6                 0                 0                 0                 0                 0                 6
        5000.00                 5                 0                 0                 0                 0                 1                 6
        5050.00                 5                 0                 0                 0                 0                 1                 6
        5100.00                 4                 0                 0                 1                 0                 0                 5
        5150.00                 4                 0                 0                 0                 0                 1                 5
        5200.00                 5                 0                 0                 1                 0                 0                 6
        5250.00                 5                 0                 0                 0                 0                 1                 6
        5300.00                 6                 0                 0                 0                 0                 0                 6
        5350.00                 6                 0                 0                 0                 0                 0                 6
        5400.00                 5                 0                 0                 0                 0                 1                 6
        5450.00                 6                 0                 0                 0                 0                 0                 6
        5500.00                 5                 0                 0                 0                 0                 1                 6
        5550.00                 5                 0                 0                 1                 0                 0                 6
        5600.00                 5                 0                 0                 1                 0                 0                 6
        5650.00                 5                 0                 0                 0                 0                 1                 6
        5700.00                 5                 0                 0                 1                 0                 0                 6
        5750.00                 4                 0                 0                 1                 0                 0                 5
        5800.00                 4                 0                 0                 1                 0                 0                 5
        5850.00                 4                 0                 0                 0                 0                 1                 5
        5900.00                 5                 0                 0                 1                 0                 0                 6
        5950.00                 5                 0                 0                 1                 0                 0                 6
        6000.00                 6                 0                 0                 0                 0                 0                 6
        6050.00                 6                 0                 0                 0                 0                 0                 6
        6100.00                 5                 0                 0                 1                 0                 0                 6
        6150.00                 5                 0                 0                 1                 0                 0                 6
        6200.00                 5                 0                 0                 1                 0                 0                 6
        6250.00                 5                 0                 0                 1                 0                 0                 6
        6300.00                 5                 0                 0                 1                 0                 0                 6
        6350.00                 5                 0                 0                 1                 0                 0                 6
        6400.00                 6                 0                 0                 0                 0                 0                 6
        6450.00                 5                 0                 0                 0                 0                 1                 6
        6500.00                 5                 0                 0                 0                 0                 1                 6
        6550.00                 5                 0                 0                 1                 0                 0                 6
        6600.00                 6                 0                 0                 0                 0                 0                 6
        6650.00                 5                 0                 0                 0                 0                 1                 6
        6700.00                 6                 0                 0                 0                 0                 0                 6
        6750.00                 5                 0                 0                 1                 0                 0                 6
        6800.00                 5                 0                 0                 0                 0                 1                 6
        6850.00                 5                 0                 0                 1                 0                 0                 6
        6900.00                 5                 0                 0                 0                 0                 1                 6
        6950.00                 6                 0                 0                 0                 0                 0                 6
        7000.00                 5                 0                 0                 0                 0                 1                 6
        7050.00                 5                 0                 0                 0                 0                 1                 6
        7100.00                 6                 0                 0                 0                 0                 0                 6
        7150.00                 6                 0                 0                 0                 0                 0                 6
        7200.00                 5                 0                 0                 1                 0                 0                 6
        7250.00                 5                 0                 0                 0                 0                 1                 6
        7300.00                 6                 0                 0                 0                 0                 0                 6
        7350.00                 6                 0                 0                 0                 0                 0                 6
        7400.00                 5                 0                 0                 0                 0                 1                 6
        7450.00                 5                 0                 0                 1                 0                 0                 6
        7500.00                 6                 0                 0                 0                 0                 0                 6
        7550.00                 5                 0                 0                 1                 0                 0                 6
        7600.00                 5                 0                 0                 1                 0                 0                 6
        7650.00                 5                 0                 0                 1                 0                 0                 6
        7700.00                 5                 0                 0                 1                 0                 0                 6
        7750.00                 5                 0                 0                 0                 0                 1                 6
        7800.00                 5                 0                 0                 0                 0                 1                 6
        7850.00                 5                 0                 0                 0                 0                 1                 6
        7900.00                 6                 0                 0                 0                 0                 0                 6
        7950.00                 6                 0                 0                 0                 0                 0                 6
        8000.00                 5                 0                 0                 0                 0                 1                 6
        8050.00                 5                 0                 0                 1                 0                 0                 6
        8100.00                 5                 0                 0                 1                 0                 0                 6
        8150.00                 6                 0                 0                 0                 0                 0                 6
        8200.00                 6                 0                 0                 0                 0                 0                 6
        8250.00                 6                 0                 0                 0                 0                 0                 6
        8300.00                 5                 0                 0                 1                 0                 0                 6
        8350.00                 5                 0                 0                 0                 0                 1                 6
        8400.00                 5                 0                 0                 1                 0                 0                 6
        8450.00                 5                 0                 0                 0                 0                 1                 6
        8500.00                 5                 0                 0                 1                 0                 0                 6
        8550.00                 5                 0                 0                 1                 0                 0                 6
        8600.00                 5                 0                 0                 0                 0                 1                 6
        8650.00                 4                 0                 0                 1                 0                 0                 5
        8700.00                 4                 0                 0                 0                 0                 1                 5
        8750.00                 5                 0                 0                 1                 0                 0                 6
        8800.00                 5                 0                 0                 1                 0                 0                 6
        8850.00                 5                 0                 0                 0                 0                 1                 6
        8900.00                 5                 0                 0                 0                 0                 1                 6
        8950.00                 5                 0                 0                 0                 0                 1                 6
        9000.00                 5                 0                 0                 0                 0                 1                 6
        9050.00                 5                 0                 0                 0                 0                 1                 6
        9100.00                 5                 0                 0                 0                 0                 1                 6
        9150.00                 5                 0                 0                 0                 0                 1                 6
        9200.00                 5                 0                 0                 1                 0                 0                 6
        9250.00                 6                 0                 0                 0                 0                 0                 6
        9300.00                 6                 0                 0                 0                 0                 0                 6
        9350.00                 5                 0                 0                 1                 0                 0                 6
        9400.00                 5                 0                 0                 1                 0                 0                 6
        9450.00                 5                 0                 0                 1                 0                 0                 6
        9500.00                 5                 0                 0                 0                 0                 1                 6
        9550.00                 5                 0                 0                 1                 0                 0                 6
        9600.00                 6                 0                 0                 0                 0                 0                 6
        9650.00                 5                 0                 0                 1                 0                 0                 6
        9700.00                 6                 0                 0                 0                 0                 0                 6
        9750.00                 5                 0                 0                 0                 0                 1                 6
        9800.00                 6                 0                 0                 0                 0                 0                 6
        9850.00                 6                 0                 0                 0                 0                 0                 6
        9900.00                 5                 0                 0                 1                 0                 0                 6
        9950.00                 4                 0                 0                 0                 0                 1                 5
       10000.00                 5                 0                 0                 1                 0                 0                 6
       10050.00                 6                 0                 0                 0                 0                 0                 6
       10100.00                 5                 0                 0                 1                 0                 0                 6
       10150.00                 5                 0                 0                 0                 0                 1                 6
       10200.00                 5                 0                 0                 0                 0                 1                 6
       10250.00                 6                 0                 0                 0                 0                 0                 6
       10300.00                 5                 0                 0                 0                 0                 1                 6
       10350.00                 5                 0                 0                 1                 0                 0                 6
       10400.00                 5                 0                 0                 1                 0                 0                 6
       10450.00                 6                 0                 0                 0                 0                 0                 6
       10500.00                 5                 0                 0                 0                 0                 1                 6
       10550.00                 5                 0                 0                 0                 0                 1                 6
       10600.00                 5                 0                 0                 1                 0                 0                 6
       10650.00                 5                 0                 0                 0                 0                 0                 5
       10700.00                 4                 0                 0                 0                 0                 1                 5
       10750.00                 4                 0                 0                 1                 0                 0                 5
       10800.00                 5                 0                 0                 0                 0                 0                 5
       10850.00                 5                 0                 0                 1                 0                 0                 6
       10900.00                 6                 0                 0                 0                 0                 0                 6
       10950.00                 5                 0                 0                 0                 0                 1                 6
       11000.00                 5                 0                 0                 0                 0                 1                 6
       11050.00                 5                 0                 0                 0                 0                 1                 6
       11100.00                 6                 0                 0                 0                 0                 0                 6
       11150.00                 5                 0                 0                 1                 0                 0                 6
       11200.00                 5                 0                 0                 1                 0                 0                 6
       11250.00                 5                 0                 0                 1                 0                 0                 6
       11300.00                 5                 0                 0                 0                 0                 1                 6
       11350.00                 5                 0                 0                 0                 0                 1                 6
       11400.00                 6                 0                 0                 0                 0                 0                 6
       11450.00                 5                 0                 0                 1                 0                 0                 6
       11500.00                 5                 0                 0                 0                 0                 1                 6
       11550.00                 4                 0                 0                 1                 0                 1                 6
       11600.00                 5                 0                 0                 1                 0                 0                 6
       11650.00                 5                 0                 0                 0                 0                 1                 6
       11700.00                 5                 0                 0                 1                 0                 0                 6
       11750.00                 5                 0                 0                 1                 0                 0                 6
       11800.00                 5                 0                 0                 0                 0                 1                 6
       11850.00                 6                 0                 0                 0                 0                 0                 6
       11900.00                 6                 0                 0                 0                 0                 0                 6
       11950.00                 5                 0                 0                 1                 0                 0                 6
       12000.00                 5                 0                 0                 1                 0                 0                 6
       12050.00                 5                 0                 0                 0                 0                 1                 6
       12100.00                 6                 0                 0                 0                 0                 0                 6
       12150.00                 6                 0                 0                 0                 0                 0                 6
       12200.00                 5                 0                 0                 1                 0                 0                 6
       12250.00                 5                 0                 0                 0                 0                 1                 6
       12300.00                 6                 0                 0                 0                 0                 0                 6
       12350.00                 6                 0                 0                 0                 0                 0                 6
