@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0002          0.4517 
          50.00          0.2057          0.4174 
         100.00          0.2333          0.4620 
         150.00          0.2259          0.4969 
         200.00          0.1543          0.5108 
         250.00          0.2549          0.5230 
         300.00          0.2914          0.4583 
         350.00          0.3044          0.5265 
         400.00          0.4085          0.6022 
         450.00          0.3443          0.5983 
         500.00          0.3882          0.6623 
         550.00          0.4485          0.6737 
         600.00          0.4826          0.6964 
         650.00          0.4130          0.6448 
         700.00          0.4223          0.5896 
         750.00          0.4248          0.5974 
         800.00          0.4536          0.6793 
         850.00          0.4547          0.7032 
         900.00          0.4692          0.6812 
         950.00          0.4186          0.6279 
        1000.00          0.4393          0.6354 
        1050.00          0.4631          0.6695 
        1100.00          0.4509          0.6707 
        1150.00          0.4242          0.6223 
        1200.00          0.3988          0.5849 
        1250.00          0.3715          0.5706 
        1300.00          0.4055          0.5738 
        1350.00          0.3783          0.5174 
        1400.00          0.3747          0.6023 
        1450.00          0.3493          0.6145 
        1500.00          0.4237          0.6466 
        1550.00          0.4255          0.6647 
        1600.00          0.4532          0.6407 
        1650.00          0.4086          0.5312 
        1700.00          0.3676          0.4706 
        1750.00          0.3858          0.4010 
        1800.00          0.3448          0.4236 
        1850.00          0.3447          0.4558 
        1900.00          0.2946          0.4734 
        1950.00          0.2761          0.5299 
        2000.00          0.2764          0.5007 
        2050.00          0.3158          0.4502 
        2100.00          0.3743          0.4173 
        2150.00          0.3764          0.4096 
        2200.00          0.3891          0.3836 
        2250.00          0.3908          0.3164 
        2300.00          0.4340          0.2530 
        2350.00          0.4078          0.3138 
        2400.00          0.4243          0.2166 
        2450.00          0.4530          0.1426 
        2500.00          0.4372          0.1783 
        2550.00          0.4499          0.1938 
        2600.00          0.4575          0.2457 
        2650.00          0.3966          0.3025 
        2700.00          0.4139          0.2955 
        2750.00          0.4413          0.3587 
        2800.00          0.4412          0.4625 
        2850.00          0.4180          0.4331 
        2900.00          0.4784          0.5213 
        2950.00          0.3689          0.4562 
        3000.00          0.3766          0.3716 
        3050.00          0.3898          0.3916 
        3100.00          0.4592          0.2619 
        3150.00          0.4621          0.2296 
        3200.00          0.4774          0.2001 
        3250.00          0.4731          0.1843 
        3300.00          0.4908          0.2400 
        3350.00          0.4787          0.2978 
        3400.00          0.4786          0.2856 
        3450.00          0.5085          0.3720 
        3500.00          0.3932          0.4098 
        3550.00          0.3891          0.3565 
        3600.00          0.4035          0.3476 
        3650.00          0.4529          0.3305 
        3700.00          0.4517          0.3329 
        3750.00          0.4430          0.2920 
        3800.00          0.4453          0.2681 
        3850.00          0.4511          0.3040 
        3900.00          0.4357          0.3473 
        3950.00          0.4194          0.3583 
        4000.00          0.4102          0.3184 
        4050.00          0.3736          0.3321 
        4100.00          0.3850          0.3120 
        4150.00          0.4132          0.3361 
        4200.00          0.4218          0.4224 
        4250.00          0.4585          0.4814 
        4300.00          0.4048          0.4494 
        4350.00          0.4061          0.4032 
        4400.00          0.3839          0.4302 
        4450.00          0.3921          0.4901 
        4500.00          0.3981          0.5319 
        4550.00          0.4065          0.4719 
        4600.00          0.4143          0.3993 
        4650.00          0.4141          0.3989 
        4700.00          0.3579          0.3890 
        4750.00          0.4003          0.4254 
        4800.00          0.3655          0.4452 
        4850.00          0.3630          0.4512 
        4900.00          0.3784          0.4953 
        4950.00          0.3886          0.4887 
        5000.00          0.3358          0.4685 
        5050.00          0.4254          0.4518 
        5100.00          0.3916          0.5603 
        5150.00          0.3932          0.5868 
        5200.00          0.3983          0.5670 
        5250.00          0.4078          0.5649 
        5300.00          0.4206          0.5081 
        5350.00          0.4280          0.5495 
        5400.00          0.4910          0.6277 
        5450.00          0.4626          0.6314 
        5500.00          0.3996          0.4836 
        5550.00          0.3940          0.4644 
        5600.00          0.4177          0.4552 
        5650.00          0.4468          0.3205 
        5700.00          0.4434          0.3243 
        5750.00          0.4218          0.3464 
        5800.00          0.4109          0.3555 
        5850.00          0.4024          0.4462 
        5900.00          0.3984          0.4448 
        5950.00          0.4278          0.4356 
        6000.00          0.4185          0.4799 
        6050.00          0.4079          0.4643 
        6100.00          0.4056          0.4184 
        6150.00          0.3852          0.4322 
        6200.00          0.4222          0.4544 
        6250.00          0.3935          0.3910 
        6300.00          0.3566          0.4299 
        6350.00          0.4034          0.5600 
        6400.00          0.4142          0.5390 
        6450.00          0.3843          0.4771 
        6500.00          0.4405          0.5162 
        6550.00          0.3712          0.5007 
        6600.00          0.3877          0.5151 
        6650.00          0.3858          0.4786 
        6700.00          0.3683          0.4922 
        6750.00          0.3622          0.4451 
        6800.00          0.3664          0.5059 
        6850.00          0.4142          0.5152 
        6900.00          0.4130          0.5730 
        6950.00          0.3852          0.5434 
        7000.00          0.4198          0.5331 
        7050.00          0.4010          0.5893 
        7100.00          0.4087          0.5454 
        7150.00          0.3623          0.5323 
        7200.00          0.3980          0.6068 
        7250.00          0.4143          0.6208 
        7300.00          0.4014          0.5979 
        7350.00          0.3736          0.4698 
        7400.00          0.4500          0.5880 
        7450.00          0.4332          0.5895 
        7500.00          0.3965          0.4914 
