@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0003          0.4517 
          50.00          0.2055          0.4056 
         100.00          0.1554          0.3944 
         150.00          0.2130          0.3792 
         200.00          0.1415          0.4213 
         250.00          0.2251          0.4048 
         300.00          0.2448          0.4390 
         350.00          0.2772          0.4413 
         400.00          0.2462          0.4576 
         450.00          0.2465          0.4467 
         500.00          0.2421          0.4518 
         550.00          0.2745          0.4157 
         600.00          0.2632          0.4269 
         650.00          0.2833          0.3940 
         700.00          0.2665          0.4111 
         750.00          0.2594          0.4384 
         800.00          0.2646          0.4554 
         850.00          0.2680          0.4303 
         900.00          0.2325          0.4581 
         950.00          0.2655          0.4249 
        1000.00          0.3269          0.3884 
        1050.00          0.3229          0.3879 
        1100.00          0.2595          0.4351 
        1150.00          0.2679          0.4063 
        1200.00          0.2767          0.4231 
        1250.00          0.3030          0.3707 
        1300.00          0.2818          0.3980 
        1350.00          0.2716          0.3943 
        1400.00          0.2825          0.3759 
        1450.00          0.2586          0.4340 
        1500.00          0.2661          0.4173 
        1550.00          0.2812          0.4083 
        1600.00          0.2397          0.4556 
        1650.00          0.2588          0.4347 
        1700.00          0.2420          0.4636 
        1750.00          0.2686          0.3947 
        1800.00          0.3097          0.3880 
        1850.00          0.2954          0.4092 
        1900.00          0.3023          0.3881 
        1950.00          0.3014          0.3810 
        2000.00          0.3326          0.3610 
        2050.00          0.3173          0.3580 
        2100.00          0.2933          0.3442 
        2150.00          0.3210          0.3630 
        2200.00          0.2992          0.3395 
        2250.00          0.3188          0.3350 
        2300.00          0.3322          0.3312 
        2350.00          0.3833          0.3167 
        2400.00          0.3851          0.3474 
        2450.00          0.3386          0.3505 
        2500.00          0.3191          0.3651 
        2550.00          0.3095          0.3606 
        2600.00          0.2556          0.3601 
        2650.00          0.2733          0.3779 
        2700.00          0.2714          0.3913 
        2750.00          0.3138          0.4016 
        2800.00          0.3467          0.3659 
        2850.00          0.3284          0.3584 
        2900.00          0.2917          0.3629 
        2950.00          0.3344          0.3776 
        3000.00          0.3376          0.3586 
        3050.00          0.3584          0.3380 
        3100.00          0.3189          0.3415 
        3150.00          0.3166          0.3570 
        3200.00          0.3262          0.3325 
        3250.00          0.3483          0.3238 
        3300.00          0.3313          0.3485 
        3350.00          0.2926          0.3730 
        3400.00          0.3218          0.3581 
        3450.00          0.3473          0.3451 
        3500.00          0.3232          0.3653 
        3550.00          0.3041          0.3855 
        3600.00          0.3179          0.3391 
        3650.00          0.3030          0.3488 
        3700.00          0.3221          0.3415 
        3750.00          0.2855          0.3367 
        3800.00          0.3144          0.3497 
        3850.00          0.3300          0.3483 
        3900.00          0.3182          0.3369 
        3950.00          0.3575          0.3433 
        4000.00          0.3158          0.3956 
        4050.00          0.3364          0.3304 
        4100.00          0.3173          0.3608 
        4150.00          0.3065          0.3679 
        4200.00          0.3380          0.3403 
        4250.00          0.2761          0.3790 
        4300.00          0.3275          0.3541 
        4350.00          0.2909          0.3567 
        4400.00          0.3251          0.3633 
        4450.00          0.3126          0.3682 
        4500.00          0.2874          0.3972 
        4550.00          0.3027          0.3839 
        4600.00          0.3384          0.3328 
        4650.00          0.3266          0.3357 
        4700.00          0.3404          0.3325 
        4750.00          0.2854          0.3428 
        4800.00          0.2774          0.3628 
        4850.00          0.2880          0.3361 
        4900.00          0.2930          0.3451 
