#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            1.9029            0.3347           -6.5911            0.0000           -6.2565
          50.00          341.2877           60.0214           -7.8899            0.0000           52.1316
         100.00          359.8038           63.2778           -9.2127            0.0000           54.0651
         150.00          352.7520           62.0376          -15.8325            0.0000           46.2051
         200.00          220.8679           38.8435          -18.7123            0.0000           20.1312
         250.00          236.6965           41.6272          -18.2832            0.0000           23.3440
         300.00          247.6050           43.5457          -21.4593            0.0000           22.0864
         350.00          207.5070           36.4937          -20.6894            0.0000           15.8043
         400.00          241.4368           42.4609          -22.7776            0.0000           19.6833
         450.00          246.2964           43.3156          -25.7757            0.0000           17.5399
         500.00          249.8327           43.9375          -28.0316            0.0000           15.9059
         550.00          273.1746           48.0425          -25.5970            0.0000           22.4455
         600.00          264.2592           46.4746          -30.3627            0.0000           16.1119
         650.00          291.8542           51.3277          -31.1893            0.0000           20.1384
         700.00          251.2202           44.1815          -33.3144            0.0000           10.8671
         750.00          194.3766           34.1845          -32.2395            0.0000            1.9451
         800.00          231.9589           40.7940          -30.9127            0.0000            9.8813
         850.00          239.3697           42.0974          -32.2671            0.0000            9.8303
         900.00          225.1597           39.5983          -30.5657            0.0000            9.0326
         950.00          264.7708           46.5646          -32.8545            0.0000           13.7101
        1000.00          268.3863           47.2005          -31.7085            0.0000           15.4919
        1050.00          219.8595           38.6662          -31.4500            0.0000            7.2162
        1100.00          239.4445           42.1105          -31.9026            0.0000           10.2079
        1150.00          273.5800           48.1139          -32.1693            0.0000           15.9445
        1200.00          282.2174           49.6329          -30.9812            0.0000           18.6517
        1250.00          240.6557           42.3235          -30.3376            0.0000           11.9860
        1300.00          323.6013           56.9110          -30.1159            0.0000           26.7951
        1350.00          303.5220           53.3797          -31.0206            0.0000           22.3590
        1400.00          286.2219           50.3371          -32.8093            0.0000           17.5278
        1450.00          242.6029           42.6660          -30.4318            0.0000           12.2342
        1500.00          237.1752           41.7114          -30.2943            0.0000           11.4171
        1550.00          221.7396           38.9968          -32.2475            0.0000            6.7492
        1600.00          162.4434           28.5685          -29.7348            0.0000           -1.1662
        1650.00          267.6535           47.0716          -31.3726            0.0000           15.6990
        1700.00          268.9834           47.3055          -29.9844            0.0000           17.3211
        1750.00          271.3790           47.7268          -32.0842            0.0000           15.6426
        1800.00          264.2306           46.4696          -32.1752            0.0000           14.2944
        1850.00          214.2352           37.6770          -28.9063            0.0000            8.7707
        1900.00          281.0540           49.4283          -32.2508            0.0000           17.1775
        1950.00          258.6891           45.4950          -30.5634            0.0000           14.9316
        2000.00          263.3728           46.3187          -31.1144            0.0000           15.2043
        2050.00          337.0180           59.2705          -30.9198            0.0000           28.3508
        2100.00          240.0923           42.2244          -33.1022            0.0000            9.1223
