#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            2.5393            0.4466           -6.5911            0.0000           -6.1445
          50.00          324.7301           57.1095           -2.8974            0.0000           54.2121
         100.00          445.8394           78.4087           -2.4021            0.0000           76.0065
         150.00          351.6628           61.8461           -3.1391            0.0000           58.7070
         200.00          399.6923           70.2929           -1.9626            0.0000           68.3303
         250.00          399.4172           70.2445           -2.4086            0.0000           67.8359
         300.00          240.7580           42.3415           -2.8055            0.0000           39.5361
         350.00          415.6119           73.0927           -3.4834            0.0000           69.6092
         400.00          271.9922           47.8346           -2.5675            0.0000           45.2671
         450.00          368.3320           64.7777           -3.1667            0.0000           61.6109
         500.00          384.0460           67.5412           -4.4387            0.0000           63.1026
         550.00          451.0422           79.3237           -3.8997            0.0000           75.4240
         600.00          409.3350           71.9887           -2.5303            0.0000           69.4584
         650.00          432.3710           76.0400           -3.3871            0.0000           72.6530
         700.00          420.1482           73.8904           -2.2244            0.0000           71.6660
         750.00          451.3930           79.3854           -2.1600            0.0000           77.2254
         800.00          414.9864           72.9826           -3.5429            0.0000           69.4398
         850.00          421.9427           74.2060           -3.3906            0.0000           70.8155
         900.00          447.1260           78.6350           -2.8009            0.0000           75.8340
         950.00          339.5477           59.7154           -3.3501            0.0000           56.3653
        1000.00          412.0686           72.4695           -3.4088            0.0000           69.0607
        1050.00          346.3299           60.9082           -3.3855            0.0000           57.5227
        1100.00          340.0714           59.8075           -2.6577            0.0000           57.1498
        1150.00          387.2668           68.1077           -2.8541            0.0000           65.2536
        1200.00          419.6250           73.7984           -3.0891            0.0000           70.7093
        1250.00          406.8535           71.5523           -2.1145            0.0000           69.4379
        1300.00          404.9089           71.2103           -2.8467            0.0000           68.3636
        1350.00          476.7162           83.8389           -3.3470            0.0000           80.4919
        1400.00          394.7604           69.4256           -3.8224            0.0000           65.6032
        1450.00          434.4036           76.3975           -2.1892            0.0000           74.2083
        1500.00          368.7135           64.8448           -1.7663            0.0000           63.0785
        1550.00          368.4313           64.7951           -1.6594            0.0000           63.1358
        1600.00          440.1245           77.4036           -2.7452            0.0000           74.6584
        1650.00          296.5302           52.1500           -3.0921            0.0000           49.0579
        1700.00          351.1421           61.7545           -3.1313            0.0000           58.6232
        1750.00          371.2177           65.2852           -3.2266            0.0000           62.0585
        1800.00          360.0924           63.3286           -2.8847            0.0000           60.4439
        1850.00          380.6414           66.9425           -2.8655            0.0000           64.0770
        1900.00          430.8322           75.7694           -3.5172            0.0000           72.2522
        1950.00          417.0847           73.3517           -3.0174            0.0000           70.3343
