@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0002          0.4517 
          50.00          0.1751          0.4297 
         100.00          0.2187          0.4014 
         150.00          0.2824          0.3380 
         200.00          0.2864          0.3855 
         250.00          0.2195          0.4487 
         300.00          0.2587          0.4417 
         350.00          0.2956          0.4503 
         400.00          0.3106          0.4021 
         450.00          0.3308          0.3692 
         500.00          0.3005          0.4179 
         550.00          0.2572          0.4142 
         600.00          0.1920          0.4541 
         650.00          0.1242          0.4684 
         700.00          0.1824          0.4367 
         750.00          0.2080          0.4347 
         800.00          0.1120          0.4346 
         850.00          0.1793          0.4475 
         900.00          0.1873          0.4388 
         950.00          0.2073          0.4240 
        1000.00          0.1714          0.4382 
        1050.00          0.1654          0.4625 
        1100.00          0.1929          0.4153 
        1150.00          0.2052          0.4129 
        1200.00          0.1747          0.4304 
        1250.00          0.1976          0.4193 
        1300.00          0.1582          0.4313 
        1350.00          0.1774          0.4294 
        1400.00          0.1930          0.4246 
        1450.00          0.1746          0.4332 
        1500.00          0.2332          0.3865 
        1550.00          0.2529          0.3899 
        1600.00          0.2247          0.4062 
        1650.00          0.1725          0.4247 
        1700.00          0.1836          0.4289 
        1750.00          0.1959          0.4211 
        1800.00          0.1396          0.4540 
        1850.00          0.1353          0.4564 
        1900.00          0.1919          0.4162 
        1950.00          0.1581          0.4478 
        2000.00          0.1913          0.4187 
        2050.00          0.1843          0.4354 
        2100.00          0.1794          0.4280 
        2150.00          0.2262          0.4077 
        2200.00          0.2425          0.3889 
        2250.00          0.2278          0.3963 
        2300.00          0.2192          0.3898 
        2350.00          0.1998          0.4168 
        2400.00          0.1797          0.4191 
        2450.00          0.1857          0.4230 
        2500.00          0.2019          0.4177 
        2550.00          0.1825          0.4308 
        2600.00          0.2118          0.4042 
        2650.00          0.1946          0.4176 
        2700.00          0.1821          0.4329 
        2750.00          0.1603          0.4367 
        2800.00          0.2078          0.4281 
        2850.00          0.1910          0.4215 
        2900.00          0.1543          0.4443 
        2950.00          0.1747          0.4341 
        3000.00          0.2205          0.4112 
        3050.00          0.1641          0.4304 
        3100.00          0.1608          0.4454 
        3150.00          0.0856          0.4689 
        3200.00          0.0769          0.4453 
        3250.00          0.0608          0.4709 
        3300.00          0.1738          0.4416 
        3350.00          0.1958          0.4197 
        3400.00          0.2253          0.4084 
        3450.00          0.2450          0.4030 
        3500.00          0.2129          0.4057 
        3550.00          0.1955          0.4181 
        3600.00          0.2032          0.4215 
        3650.00          0.2289          0.4050 
        3700.00          0.2038          0.4214 
        3750.00          0.1643          0.4290 
        3800.00          0.2285          0.4038 
        3850.00          0.2019          0.4202 
        3900.00          0.1461          0.4601 
        3950.00          0.1716          0.4382 
        4000.00          0.1908          0.4212 
        4050.00          0.1696          0.4288 
        4100.00          0.1654          0.4404 
        4150.00          0.1908          0.4177 
        4200.00          0.1806          0.4294 
        4250.00          0.1805          0.4214 
        4300.00          0.1793          0.4198 
        4350.00          0.2058          0.4255 
        4400.00          0.1690          0.4320 
        4450.00          0.1870          0.4244 
        4500.00          0.1958          0.4285 
        4550.00          0.1819          0.4343 
        4600.00          0.2549          0.3815 
        4650.00          0.2368          0.3867 
        4700.00          0.2112          0.4068 
        4750.00          0.1523          0.4348 
        4800.00          0.1751          0.4305 
        4850.00          0.1924          0.4189 
        4900.00          0.2024          0.4171 
        4950.00          0.1977          0.4171 
        5000.00          0.1989          0.4228 
        5050.00          0.1973          0.4269 
        5100.00          0.2202          0.4134 
        5150.00          0.2150          0.4185 
        5200.00          0.2128          0.4121 
        5250.00          0.1950          0.4193 
        5300.00          0.2309          0.4150 
        5350.00          0.1927          0.4242 
        5400.00          0.2379          0.3906 
        5450.00          0.1870          0.4288 
        5500.00          0.1568          0.4344 
        5550.00          0.1886          0.4253 
        5600.00          0.1190          0.4621 
        5650.00          0.1473          0.4380 
        5700.00          0.1766          0.4270 
        5750.00          0.1771          0.4220 
        5800.00          0.1968          0.4151 
        5850.00          0.2002          0.4183 
        5900.00          0.2019          0.4145 
        5950.00          0.1597          0.4434 
        6000.00          0.2149          0.4131 
        6050.00          0.1616          0.4319 
        6100.00          0.1718          0.4326 
        6150.00          0.1911          0.4238 
        6200.00          0.1691          0.4273 
        6250.00          0.1783          0.4233 
        6300.00          0.1852          0.4149 
        6350.00          0.2152          0.4045 
        6400.00          0.1948          0.4182 
        6450.00          0.2037          0.4150 
        6500.00          0.1840          0.4287 
        6550.00          0.2132          0.4076 
        6600.00          0.2017          0.4174 
        6650.00          0.2149          0.4202 
        6700.00          0.2011          0.4177 
        6750.00          0.2124          0.4199 
        6800.00          0.1813          0.4303 
        6850.00          0.2025          0.4244 
        6900.00          0.1802          0.4296 
        6950.00          0.2135          0.4034 
        7000.00          0.1913          0.4231 
        7050.00          0.1960          0.4174 
        7100.00          0.1570          0.4359 
        7150.00          0.1449          0.4555 
        7200.00          0.1543          0.4374 
        7250.00          0.1185          0.4632 
        7300.00          0.0786          0.4460 
        7350.00          0.0795          0.4273 
        7400.00          0.0899          0.4538 
        7450.00          0.0684          0.4378 
        7500.00          0.0660          0.4480 
