#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            2.5427            0.4472           -6.5300            0.0000           -6.0828
          50.00          304.4119           53.5362          -12.0470            0.0000           41.4892
         100.00          379.8165           66.7974           -2.3145            0.0000           64.4830
         150.00          416.1536           73.1879           -1.9465            0.0000           71.2414
         200.00          422.2865           74.2665           -3.0894            0.0000           71.1771
         250.00          413.6408           72.7460           -1.7937            0.0000           70.9523
         300.00          392.7657           69.0748           -2.7956            0.0000           66.2791
         350.00          418.9547           73.6805           -2.6688            0.0000           71.0117
         400.00          387.0948           68.0774           -2.2308            0.0000           65.8466
         450.00          461.1437           81.1002           -3.5739            0.0000           77.5264
         500.00          324.1273           57.0035           -2.9983            0.0000           54.0052
         550.00          437.0573           76.8642           -4.2954            0.0000           72.5688
         600.00          295.0884           51.8965           -3.9155            0.0000           47.9810
         650.00          393.6263           69.2261           -2.5822            0.0000           66.6439
         700.00          342.8904           60.3033           -1.7865            0.0000           58.5168
         750.00          433.9755           76.3222           -2.5582            0.0000           73.7640
         800.00          411.3586           72.3446           -2.7030            0.0000           69.6417
         850.00          363.7693           63.9752           -2.6270            0.0000           61.3482
         900.00          394.0360           69.2981           -2.4627            0.0000           66.8355
         950.00          399.2010           70.2065           -3.1540            0.0000           67.0525
        1000.00          392.2883           68.9908           -4.1259            0.0000           64.8649
        1050.00          401.0421           70.5303           -3.8833            0.0000           66.6470
        1100.00          351.6509           61.8440           -2.7219            0.0000           59.1221
        1150.00          428.3239           75.3283           -1.9082            0.0000           73.4201
        1200.00          300.0922           52.7765           -3.3581            0.0000           49.4184
        1250.00          425.0325           74.7494           -2.8237            0.0000           71.9258
        1300.00          391.0808           68.7784           -2.9888            0.0000           65.7897
        1350.00          488.9880           85.9971           -2.0416            0.0000           83.9555
        1400.00          410.3786           72.1723           -0.6724            0.0000           71.4999
        1450.00          477.7968           84.0290           -3.0693            0.0000           80.9596
        1500.00          381.1014           67.0234           -4.3300            0.0000           62.6934
        1550.00          422.1248           74.2381           -2.5406            0.0000           71.6974
        1600.00          485.0655           85.3073           -2.2208            0.0000           83.0864
        1650.00          476.4816           83.7977           -4.4441            0.0000           79.3535
        1700.00          359.3360           63.1955           -3.8159            0.0000           59.3797
        1750.00          358.1382           62.9849           -2.2284            0.0000           60.7564
        1800.00          406.4003           71.4726           -3.0083            0.0000           68.4643
        1850.00          355.5255           62.5254           -3.3008            0.0000           59.2246
        1900.00          446.5489           78.5335           -3.4005            0.0000           75.1330
        1950.00          322.4348           56.7058           -3.6820            0.0000           53.0238
        2000.00          370.7028           65.1946           -3.9988            0.0000           61.1958
        2050.00          428.5906           75.3752           -1.8656            0.0000           73.5096
        2100.00          402.0780           70.7125           -1.8239            0.0000           68.8885
        2150.00          411.1050           72.3000           -3.0958            0.0000           69.2042
        2200.00          370.9985           65.2466           -1.4165            0.0000           63.8301
        2250.00          435.3806           76.5693           -3.9414            0.0000           72.6279
        2300.00          402.6182           70.8075           -1.3751            0.0000           69.4324
        2350.00          385.3217           67.7656           -4.0960            0.0000           63.6696
        2400.00          333.2676           58.6110           -2.4355            0.0000           56.1755
        2450.00          345.9224           60.8365           -1.6194            0.0000           59.2172
        2500.00          339.8443           59.7676           -1.8455            0.0000           57.9221
        2550.00          400.9961           70.5222           -3.1946            0.0000           67.3276
        2600.00          397.7783           69.9563           -2.3402            0.0000           67.6161
        2650.00          358.1951           62.9949           -0.9993            0.0000           61.9956
        2700.00          424.4168           74.6411           -2.5906            0.0000           72.0505
        2750.00          334.3111           58.7945           -2.5012            0.0000           56.2933
        2800.00          380.8181           66.9736           -2.6128            0.0000           64.3607
        2850.00          420.5701           73.9646           -1.7229            0.0000           72.2417
        2900.00          330.2795           58.0854           -2.1679            0.0000           55.9175
        2950.00          450.6830           79.2605           -3.6525            0.0000           75.6080
        3000.00          367.1459           64.5691           -4.2008            0.0000           60.3683
        3050.00          323.1072           56.8241           -2.9784            0.0000           53.8456
        3100.00          357.3381           62.8442           -1.8972            0.0000           60.9469
        3150.00          429.5421           75.5425           -3.4477            0.0000           72.0948
        3200.00          266.3031           46.8341           -3.1798            0.0000           43.6543
        3250.00          307.0721           54.0040           -3.0212            0.0000           50.9829
        3300.00          340.1563           59.8225           -3.3850            0.0000           56.4375
        3350.00          344.0654           60.5099           -3.2358            0.0000           57.2742
        3400.00          386.2905           67.9360           -3.6599            0.0000           64.2761
        3450.00          387.0848           68.0757           -2.8336            0.0000           65.2420
        3500.00          348.5946           61.3065           -2.0737            0.0000           59.2328
        3550.00          378.6667           66.5952           -3.0645            0.0000           63.5307
