#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            2.1015            0.3696           -6.5300            0.0000           -6.1604
          50.00          298.9808           52.5810          -11.1817            0.0000           41.3993
         100.00          230.1792           40.4810          -11.5091            0.0000           28.9720
         150.00          328.2225           57.7237          -11.8458            0.0000           45.8779
         200.00          300.6752           52.8790          -12.9501            0.0000           39.9289
         250.00          267.2461           46.9999          -13.4773            0.0000           33.5226
         300.00          308.6602           54.2833          -15.8322            0.0000           38.4511
         350.00          278.2939           48.9429          -13.7561            0.0000           35.1868
         400.00          394.7808           69.4291          -11.0198            0.0000           58.4094
         450.00          283.8943           49.9278          -13.3900            0.0000           36.5378
         500.00          312.6693           54.9884          -10.8330            0.0000           44.1554
         550.00          296.9219           52.2189          -12.1526            0.0000           40.0663
         600.00          391.1646           68.7932          -12.2519            0.0000           56.5412
         650.00          304.1854           53.4963          -12.9623            0.0000           40.5340
         700.00          333.3961           58.6336          -13.2790            0.0000           45.3545
         750.00          277.5037           48.8039          -12.2532            0.0000           36.5507
         800.00          380.7163           66.9556           -6.9160            0.0000           60.0396
         850.00          349.0715           61.3904           -8.4745            0.0000           52.9159
         900.00          515.0046           90.5726          -13.6572            0.0000           76.9154
         950.00          284.5836           50.0490          -12.2900            0.0000           37.7591
        1000.00          302.9170           53.2733          -12.4750            0.0000           40.7982
        1050.00          313.5109           55.1364          -13.6357            0.0000           41.5007
        1100.00          296.5992           52.1622          -16.0201            0.0000           36.1421
        1150.00          289.8313           50.9719          -16.5486            0.0000           34.4233
        1200.00          308.2336           54.2083          -15.9973            0.0000           38.2110
        1250.00          348.8771           61.3562          -16.4182            0.0000           44.9380
        1300.00          376.0831           66.1408          -15.1474            0.0000           50.9934
        1350.00          316.3777           55.6406          -16.8050            0.0000           38.8355
        1400.00          281.1147           49.4389          -14.4526            0.0000           34.9863
        1450.00          281.1777           49.4500          -17.1401            0.0000           32.3100
        1500.00          379.1039           66.6721          -17.1763            0.0000           49.4958
        1550.00          329.5542           57.9579          -16.7350            0.0000           41.2229
        1600.00          301.2665           52.9830          -16.6233            0.0000           36.3597
        1650.00          337.3330           59.3259          -17.9627            0.0000           41.3632
        1700.00          308.6393           54.2796          -16.9621            0.0000           37.3175
        1750.00          318.1756           55.9568          -17.3760            0.0000           38.5807
        1800.00          213.7753           37.5961          -17.1337            0.0000           20.4625
        1850.00          323.7094           56.9300          -14.9621            0.0000           41.9678
        1900.00          354.0598           62.2676          -10.2882            0.0000           51.9794
        1950.00          447.5418           78.7081           -8.7295            0.0000           69.9785
        2000.00          342.8423           60.2948          -17.1621            0.0000           43.1327
        2050.00          332.8395           58.5357          -16.8001            0.0000           41.7356
        2100.00          352.3286           61.9632          -18.6845            0.0000           43.2787
        2150.00          413.9311           72.7970          -14.2556            0.0000           58.5414
        2200.00          368.0177           64.7224          -15.2793            0.0000           49.4431
        2250.00          311.2319           54.7356          -16.8798            0.0000           37.8558
        2300.00          356.7200           62.7355          -18.8317            0.0000           43.9038
        2350.00          345.5006           60.7624          -16.7509            0.0000           44.0114
        2400.00          338.3380           59.5027          -17.1559            0.0000           42.3468
        2450.00          293.0854           51.5442          -16.7516            0.0000           34.7926
        2500.00          356.5075           62.6981          -14.2834            0.0000           48.4147
        2550.00          359.2735           63.1846          -17.7854            0.0000           45.3991
        2600.00          376.9627           66.2955          -17.3147            0.0000           48.9808
        2650.00          316.8913           55.7309          -15.9352            0.0000           39.7957
        2700.00          372.4598           65.5036          -13.3564            0.0000           52.1472
        2750.00          386.6904           68.0063          -16.9738            0.0000           51.0325
        2800.00          317.6577           55.8657          -17.8524            0.0000           38.0133
        2850.00          370.7319           65.1997          -16.8957            0.0000           48.3040
        2900.00          327.2241           57.5481          -15.2192            0.0000           42.3289
        2950.00          404.6096           71.1577          -22.1310            0.0000           49.0267
        3000.00          365.3507           64.2533          -20.0040            0.0000           44.2493
        3050.00          361.6671           63.6055          -19.5637            0.0000           44.0419
        3100.00          335.0788           58.9295          -23.4575            0.0000           35.4720
        3150.00          373.6455           65.7121          -19.7552            0.0000           45.9569
        3200.00          336.0501           59.1003          -21.2638            0.0000           37.8365
        3250.00          318.3672           55.9905          -21.8614            0.0000           34.1290
        3300.00          318.4506           56.0051          -21.0941            0.0000           34.9111
