#          Step             alpha              3_10                pi              beta                SS             other             total
        4200.00                 3                 0                 0                 0                 0                 1                 4
        4250.00                 1                 0                 0                 1                 0                 0                 2
        4300.00                 1                 0                 0                 1                 0                 0                 2
        4350.00                 3                 0                 0                 0                 0                 1                 4
        4400.00                 3                 0                 0                 0                 0                 1                 4
        4450.00                 4                 0                 0                 0                 0                 0                 4
        4500.00                 3                 0                 0                 0                 0                 1                 4
        4550.00                 4                 0                 0                 0                 0                 0                 4
        4600.00                 3                 0                 0                 0                 0                 1                 4
        4650.00                 3                 0                 0                 0                 0                 1                 4
        4700.00                 3                 0                 0                 0                 0                 1                 4
        4750.00                 3                 0                 0                 0                 0                 1                 4
        4800.00                 3                 0                 0                 1                 0                 0                 4
        4850.00                 3                 0                 0                 0                 0                 1                 4
        4900.00                 3                 0                 0                 0                 0                 1                 4
        4950.00                 3                 0                 0                 1                 0                 0                 4
        5000.00                 3                 0                 0                 0                 0                 1                 4
        5050.00                 3                 0                 0                 1                 0                 0                 4
        5100.00                 3                 0                 0                 0                 0                 1                 4
        5150.00                 3                 0                 0                 0                 0                 1                 4
        5200.00                 3                 0                 0                 0                 0                 1                 4
        5250.00                 4                 0                 0                 0                 0                 0                 4
        5300.00                 3                 0                 0                 0                 0                 1                 4
        5350.00                 3                 0                 0                 1                 0                 0                 4
        5400.00                 3                 0                 0                 0                 0                 1                 4
        5450.00                 3                 0                 0                 1                 0                 0                 4
        5500.00                 4                 0                 0                 0                 0                 0                 4
        5550.00                 3                 0                 0                 0                 0                 1                 4
        5600.00                 4                 0                 0                 0                 0                 0                 4
        5650.00                 3                 0                 0                 1                 0                 0                 4
        5700.00                 4                 0                 0                 0                 0                 0                 4
        5750.00                 4                 0                 0                 0                 0                 1                 5
        5800.00                 4                 0                 0                 0                 0                 1                 5
        5850.00                 4                 0                 0                 0                 0                 1                 5
        5900.00                 5                 0                 0                 0                 0                 0                 5
        5950.00                 4                 0                 0                 0                 0                 1                 5
        6000.00                 4                 0                 0                 1                 0                 0                 5
        6050.00                 5                 0                 0                 0                 0                 0                 5
        6100.00                 4                 0                 0                 1                 0                 0                 5
        6150.00                 4                 0                 0                 1                 0                 0                 5
        6200.00                 4                 0                 0                 0                 0                 0                 4
        6250.00                 3                 0                 0                 1                 0                 0                 4
        6300.00                 3                 0                 0                 1                 0                 0                 4
        6350.00                 3                 0                 0                 1                 0                 0                 4
        6400.00                 3                 0                 0                 1                 0                 0                 4
        6450.00                 3                 0                 0                 1                 0                 0                 4
        6500.00                 3                 0                 0                 1                 0                 0                 4
        6550.00                 3                 0                 0                 1                 0                 0                 4
        6600.00                 3                 0                 0                 0                 0                 1                 4
        6650.00                 3                 0                 0                 1                 0                 0                 4
