#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            0.4452            0.0783           -6.5300            0.0000           -6.4517
          50.00          256.0889           45.0377          -12.3444            0.0000           32.6933
         100.00          321.8040           56.5949          -15.5637            0.0000           41.0312
         150.00          278.3472           48.9522          -17.8300            0.0000           31.1222
         200.00          287.4309           50.5498          -14.8396            0.0000           35.7102
         250.00          321.9032           56.6123          -17.1118            0.0000           39.5005
         300.00          261.9411           46.0669          -21.5007            0.0000           24.5662
         350.00          269.5453           47.4043          -19.2479            0.0000           28.1564
         400.00          242.0636           42.5711          -23.0948            0.0000           19.4763
         450.00          272.5553           47.9336          -20.2271            0.0000           27.7066
         500.00          375.7292           66.0786          -19.8401            0.0000           46.2385
         550.00          269.8069           47.4503          -21.7203            0.0000           25.7300
         600.00          266.5686           46.8808          -23.5684            0.0000           23.3124
         650.00          290.4150           51.0746          -21.2297            0.0000           29.8449
         700.00          316.4018           55.6448          -16.2106            0.0000           39.4342
         750.00          264.7446           46.5600          -22.6297            0.0000           23.9303
         800.00          306.8845           53.9710          -23.9876            0.0000           29.9834
         850.00          270.2214           47.5232          -21.9490            0.0000           25.5742
         900.00          283.6601           49.8866          -20.3603            0.0000           29.5263
         950.00          278.6991           49.0141          -21.0164            0.0000           27.9977
        1000.00          288.2934           50.7015          -20.4600            0.0000           30.2414
        1050.00          282.0334           49.6005          -17.4639            0.0000           32.1366
        1100.00          333.5095           58.6535          -26.6414            0.0000           32.0121
        1150.00          241.0943           42.4007          -25.1769            0.0000           17.2238
        1200.00          343.2005           60.3578          -23.2187            0.0000           37.1391
        1250.00          258.0623           45.3848          -29.8189            0.0000           15.5659
        1300.00          359.2263           63.1763          -24.5791            0.0000           38.5972
        1350.00          251.2794           44.1919          -28.2065            0.0000           15.9854
        1400.00          287.8848           50.6296          -30.4359            0.0000           20.1937
        1450.00          280.3523           49.3049          -29.6446            0.0000           19.6603
        1500.00          240.4155           42.2813          -29.8145            0.0000           12.4668
        1550.00          254.0308           44.6758          -32.4908            0.0000           12.1849
        1600.00          196.0507           34.4790          -31.1996            0.0000            3.2793
        1650.00          213.9959           37.6349          -30.4467            0.0000            7.1882
        1700.00          197.1641           34.6748          -29.0212            0.0000            5.6536
        1750.00          250.7489           44.0986          -27.4265            0.0000           16.6721
        1800.00          266.3461           46.8416          -31.6625            0.0000           15.1791
        1850.00          247.4568           43.5196          -29.6021            0.0000           13.9175
        1900.00          228.0433           40.1054          -29.9392            0.0000           10.1662
        1950.00          247.6633           43.5559          -30.1192            0.0000           13.4367
        2000.00          182.2176           32.0462          -29.4911            0.0000            2.5551
        2050.00          279.8592           49.2182          -29.6371            0.0000           19.5811
        2100.00          295.5491           51.9775          -31.1862            0.0000           20.7913
        2150.00          202.9881           35.6990          -31.8522            0.0000            3.8468
        2200.00          318.9690           56.0963          -33.7000            0.0000           22.3963
        2250.00          209.4553           36.8364          -30.3889            0.0000            6.4475
        2300.00          241.6201           42.4931          -33.7944            0.0000            8.6987
        2350.00          301.5563           53.0340          -31.3360            0.0000           21.6980
        2400.00          307.6015           54.0971          -30.9694            0.0000           23.1277
        2450.00          255.6073           44.9530          -30.6939            0.0000           14.2591
        2500.00          293.2367           51.5708          -28.1608            0.0000           23.4100
        2550.00          238.5435           41.9521          -29.7365            0.0000           12.2155
        2600.00          263.4746           46.3366          -32.2496            0.0000           14.0870
        2650.00          249.0659           43.8026          -30.6066            0.0000           13.1960
        2700.00          282.4367           49.6714          -32.0405            0.0000           17.6309
        2750.00          221.8403           39.0145          -31.5325            0.0000            7.4820
        2800.00          241.6739           42.5026          -31.5219            0.0000           10.9807
        2850.00          248.9688           43.7855          -33.3709            0.0000           10.4147
        2900.00          221.3887           38.9351          -32.8035            0.0000            6.1316
        2950.00          330.3660           58.1007          -32.3768            0.0000           25.7239
        3000.00          289.4052           50.8970          -32.8843            0.0000           18.0127
        3050.00          238.7720           41.9923          -31.6680            0.0000           10.3242
        3100.00          276.0436           48.5471          -30.4287            0.0000           18.1184
        3150.00          278.7275           49.0191          -28.3839            0.0000           20.6353
        3200.00          267.7816           47.0941          -31.2948            0.0000           15.7993
        3250.00          241.0421           42.3915          -30.0779            0.0000           12.3136
        3300.00          312.7574           55.0039          -29.9975            0.0000           25.0063
        3350.00          308.8859           54.3230          -29.8462            0.0000           24.4768
        3400.00          284.8820           50.1015          -31.8562            0.0000           18.2453
        3450.00          233.6436           41.0903          -29.5530            0.0000           11.5373
        3500.00          266.6717           46.8989          -31.2170            0.0000           15.6819
        3550.00          314.0676           55.2343          -33.0452            0.0000           22.1891
        3600.00          279.6069           49.1738          -32.7315            0.0000           16.4423
        3650.00          234.2185           41.1914          -32.2271            0.0000            8.9644
        3700.00          249.3517           43.8529          -31.2139            0.0000           12.6389
        3750.00          276.7235           48.6667          -29.2020            0.0000           19.4647
        3800.00          291.2527           51.2219          -27.1560            0.0000           24.0659
        3850.00          278.3547           48.9536          -30.9363            0.0000           18.0173
        3900.00          267.8094           47.0990          -28.6976            0.0000           18.4014
        3950.00          339.2347           59.6604          -32.4190            0.0000           27.2414
        4000.00          288.9000           50.8081          -32.4661            0.0000           18.3420
