#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 1                 0                 0                 0                 0                 1                 2
         100.00                 2                 0                 0                 0                 0                 0                 2
         150.00                 2                 0                 0                 0                 0                 1                 3
         200.00                 2                 0                 0                 0                 0                 1                 3
         250.00                 3                 0                 0                 0                 0                 1                 4
         300.00                 3                 0                 0                 1                 0                 0                 4
         350.00                 4                 0                 0                 0                 0                 0                 4
         400.00                 3                 0                 0                 0                 0                 0                 3
         450.00                 4                 0                 0                 0                 0                 0                 4
         500.00                 4                 0                 0                 1                 0                 0                 5
         550.00                 5                 0                 0                 0                 0                 0                 5
         600.00                 4                 0                 0                 1                 0                 0                 5
         650.00                 4                 0                 0                 0                 0                 1                 5
         700.00                 4                 0                 0                 0                 0                 1                 5
         750.00                 5                 0                 0                 0                 0                 0                 5
         800.00                 5                 0                 0                 0                 0                 0                 5
         850.00                 4                 0                 0                 0                 0                 1                 5
         900.00                 4                 0                 0                 0                 0                 1                 5
         950.00                 5                 0                 0                 0                 0                 0                 5
        1000.00                 4                 0                 0                 1                 0                 0                 5
        1050.00                 4                 0                 0                 0                 0                 1                 5
        1100.00                 4                 0                 0                 0                 0                 1                 5
        1150.00                 4                 0                 0                 0                 0                 1                 5
        1200.00                 4                 0                 0                 0                 0                 1                 5
        1250.00                 4                 0                 0                 0                 0                 1                 5
        1300.00                 4                 0                 0                 0                 0                 1                 5
        1350.00                 5                 0                 0                 0                 0                 0                 5
        1400.00                 5                 0                 0                 0                 0                 0                 5
        1450.00                 4                 0                 0                 1                 0                 0                 5
        1500.00                 4                 0                 0                 1                 0                 0                 5
        1550.00                 4                 0                 0                 0                 0                 1                 5
        1600.00                 4                 0                 0                 1                 0                 0                 5
        1650.00                 4                 0                 0                 0                 0                 1                 5
        1700.00                 4                 0                 0                 1                 0                 0                 5
        1750.00                 4                 0                 0                 1                 0                 0                 5
        1800.00                 4                 0                 0                 0                 0                 1                 5
        1850.00                 4                 0                 0                 1                 0                 0                 5
        1900.00                 4                 0                 0                 1                 0                 0                 5
        1950.00                 4                 0                 0                 1                 0                 0                 5
        2000.00                 4                 0                 0                 1                 0                 0                 5
        2050.00                 4                 0                 0                 0                 0                 1                 5
        2100.00                 5                 0                 0                 0                 0                 0                 5
        2150.00                 4                 0                 0                 0                 0                 1                 5
        2200.00                 4                 0                 0                 1                 0                 0                 5
        2250.00                 4                 0                 0                 1                 0                 0                 5
        2300.00                 5                 0                 0                 0                 0                 0                 5
        2350.00                 4                 0                 0                 1                 0                 0                 5
        2400.00                 5                 0                 0                 0                 0                 0                 5
        2450.00                 5                 0                 0                 0                 0                 1                 6
        2500.00                 5                 0                 0                 0                 0                 1                 6
        2550.00                 5                 0                 0                 0                 0                 1                 6
        2600.00                 5                 0                 0                 0                 0                 1                 6
        2650.00                 5                 0                 0                 1                 0                 0                 6
        2700.00                 5                 0                 0                 0                 0                 1                 6
        2750.00                 5                 0                 0                 0                 0                 1                 6
        2800.00                 5                 0                 0                 1                 0                 0                 6
        2850.00                 5                 0                 0                 0                 0                 1                 6
        2900.00                 6                 0                 0                 0                 0                 0                 6
        2950.00                 6                 0                 0                 0                 0                 0                 6
        3000.00                 5                 0                 0                 0                 0                 1                 6
        3050.00                 5                 0                 0                 0                 0                 1                 6
        3100.00                 5                 0                 0                 0                 0                 1                 6
        3150.00                 6                 0                 0                 0                 0                 0                 6
        3200.00                 5                 0                 0                 0                 0                 1                 6
        3250.00                 5                 0                 0                 1                 0                 0                 6
        3300.00                 5                 0                 0                 0                 0                 1                 6
        3350.00                 6                 0                 0                 0                 0                 0                 6
        3400.00                 5                 0                 0                 0                 0                 1                 6
        3450.00                 5                 0                 0                 0                 0                 1                 6
        3500.00                 6                 0                 0                 0                 0                 0                 6
        3550.00                 5                 0                 0                 0                 0                 1                 6
        3600.00                 5                 0                 0                 0                 0                 1                 6
        3650.00                 5                 0                 0                 1                 0                 0                 6
        3700.00                 6                 0                 0                 0                 0                 0                 6
        3750.00                 5                 0                 0                 0                 0                 1                 6
        3800.00                 6                 0                 0                 0                 0                 0                 6
        3850.00                 5                 0                 0                 0                 0                 1                 6
        3900.00                 5                 0                 0                 0                 0                 1                 6
        3950.00                 5                 0                 0                 0                 0                 1                 6
        4000.00                 6                 0                 0                 0                 0                 0                 6
        4050.00                 5                 0                 0                 1                 0                 0                 6
        4100.00                 5                 0                 0                 1                 0                 0                 6
        4150.00                 6                 0                 0                 0                 0                 0                 6
