@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0003          0.4517 
          50.00          0.0965          0.4678 
         100.00          0.1110          0.4673 
         150.00          0.1029          0.4740 
         200.00          0.0904          0.4500 
         250.00          0.1309          0.4649 
         300.00          0.1386          0.4396 
         350.00          0.0767          0.4497 
         400.00          0.1221          0.4567 
         450.00          0.1644          0.4197 
         500.00          0.1576          0.4267 
         550.00          0.1443          0.4487 
         600.00          0.1373          0.4498 
         650.00          0.1537          0.4466 
         700.00          0.1376          0.4580 
         750.00          0.1005          0.4609 
         800.00          0.1346          0.4412 
         850.00          0.1375          0.4516 
         900.00          0.1293          0.4704 
         950.00          0.0852          0.4601 
        1000.00          0.1117          0.4377 
        1050.00          0.1697          0.4214 
        1100.00          0.1781          0.4144 
        1150.00          0.2017          0.3929 
        1200.00          0.1948          0.4017 
        1250.00          0.1652          0.4181 
        1300.00          0.1396          0.4199 
        1350.00          0.1442          0.4148 
        1400.00          0.1289          0.4246 
        1450.00          0.1289          0.4247 
        1500.00          0.1452          0.4240 
        1550.00          0.1370          0.4178 
        1600.00          0.0905          0.4480 
        1650.00          0.0415          0.4375 
        1700.00          0.1354          0.4366 
        1750.00          0.0591          0.4387 
        1800.00          0.1062          0.4377 
        1850.00          0.0858          0.4218 
        1900.00          0.0496          0.4431 
        1950.00          0.1177          0.4299 
        2000.00          0.1136          0.4304 
        2050.00          0.1379          0.4172 
        2100.00          0.1200          0.4216 
        2150.00          0.0551          0.4344 
        2200.00          0.0884          0.4485 
        2250.00          0.0989          0.4329 
        2300.00          0.0926          0.4360 
        2350.00          0.0793          0.4515 
        2400.00          0.1192          0.4201 
        2450.00          0.0454          0.4496 
        2500.00          0.0579          0.4442 
        2550.00          0.0466          0.4371 
        2600.00          0.0779          0.4403 
        2650.00          0.0516          0.4533 
        2700.00          0.0570          0.4471 
        2750.00          0.0999          0.4488 
        2800.00          0.1491          0.4198 
        2850.00          0.1220          0.4286 
        2900.00          0.0755          0.4453 
        2950.00          0.0527          0.4549 
        3000.00          0.0971          0.4222 
        3050.00          0.0970          0.4374 
        3100.00          0.1118          0.4376 
        3150.00          0.0584          0.4444 
        3200.00          0.0603          0.4507 
        3250.00          0.0891          0.4392 
        3300.00          0.0649          0.4528 
        3350.00          0.0718          0.4531 
        3400.00          0.0618          0.4354 
        3450.00          0.0892          0.4429 
        3500.00          0.0691          0.4419 
        3550.00          0.0698          0.4368 
        3600.00          0.0909          0.4439 
        3650.00          0.0829          0.4378 
        3700.00          0.0473          0.4467 
        3750.00          0.0341          0.4493 
        3800.00          0.0842          0.4450 
        3850.00          0.0601          0.4335 
        3900.00          0.0818          0.4392 
        3950.00          0.0855          0.4420 
        4000.00          0.0652          0.4441 
        4050.00          0.1031          0.4294 
        4100.00          0.1217          0.4336 
        4150.00          0.1118          0.4228 
        4200.00          0.1114          0.4285 
        4250.00          0.0691          0.4279 
        4300.00          0.0696          0.4231 
        4350.00          0.0453          0.4426 
        4400.00          0.0757          0.4357 
        4450.00          0.0722          0.4502 
        4500.00          0.0511          0.4493 
        4550.00          0.0550          0.4447 
        4600.00          0.0376          0.4460 
        4650.00          0.0615          0.4372 
        4700.00          0.0734          0.4332 
        4750.00          0.0554          0.4375 
        4800.00          0.0902          0.4323 
        4850.00          0.0610          0.4465 
        4900.00          0.0695          0.4429 
