@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.1803          0.4960 
         100.00          0.2716          0.4515 
         150.00          0.4141          0.3451 
         200.00          0.3706          0.4090 
         250.00          0.4301          0.3466 
         300.00          0.4752          0.3221 
         350.00          0.3631          0.3921 
         400.00          0.4095          0.3670 
         450.00          0.4325          0.4297 
         500.00          0.4205          0.3492 
         550.00          0.4069          0.3750 
         600.00          0.4160          0.4174 
         650.00          0.4101          0.5050 
         700.00          0.3929          0.6042 
         750.00          0.3848          0.5937 
         800.00          0.3746          0.6192 
         850.00          0.3310          0.5823 
         900.00          0.3501          0.5191 
         950.00          0.3547          0.5033 
        1000.00          0.3520          0.5306 
        1050.00          0.3369          0.5500 
        1100.00          0.3522          0.5607 
        1150.00          0.3730          0.5493 
        1200.00          0.4008          0.6100 
        1250.00          0.4574          0.6846 
        1300.00          0.3892          0.5793 
        1350.00          0.3540          0.5218 
        1400.00          0.3851          0.5305 
        1450.00          0.3926          0.5860 
        1500.00          0.3631          0.5387 
        1550.00          0.3664          0.5965 
        1600.00          0.4033          0.6026 
        1650.00          0.3664          0.5252 
        1700.00          0.4047          0.5583 
        1750.00          0.3853          0.6111 
        1800.00          0.4143          0.6347 
        1850.00          0.4165          0.5933 
        1900.00          0.4210          0.6330 
        1950.00          0.3407          0.6012 
        2000.00          0.3066          0.5099 
        2050.00          0.3579          0.4547 
        2100.00          0.3602          0.4649 
        2150.00          0.4074          0.4004 
        2200.00          0.3511          0.4104 
        2250.00          0.3747          0.4452 
        2300.00          0.3763          0.4945 
        2350.00          0.3434          0.5097 
        2400.00          0.4073          0.5461 
        2450.00          0.3725          0.5188 
        2500.00          0.3387          0.5841 
        2550.00          0.3467          0.5570 
        2600.00          0.4149          0.5931 
        2650.00          0.4109          0.5076 
        2700.00          0.3725          0.5165 
        2750.00          0.3648          0.5159 
        2800.00          0.3280          0.4707 
        2850.00          0.3546          0.5045 
        2900.00          0.3114          0.4630 
        2950.00          0.3449          0.5200 
        3000.00          0.3906          0.4898 
        3050.00          0.4226          0.4831 
        3100.00          0.3928          0.4364 
        3150.00          0.3575          0.4475 
        3200.00          0.3854          0.4765 
        3250.00          0.3815          0.4858 
        3300.00          0.4038          0.4869 
        3350.00          0.4528          0.3888 
        3400.00          0.4345          0.3941 
        3450.00          0.4438          0.2458 
        3500.00          0.4282          0.2840 
        3550.00          0.4072          0.3021 
        3600.00          0.4553          0.4571 
        3650.00          0.4159          0.4325 
        3700.00          0.4269          0.4349 
        3750.00          0.4162          0.4146 
        3800.00          0.3394          0.3977 
        3850.00          0.3576          0.3493 
        3900.00          0.3043          0.3947 
        3950.00          0.2255          0.4226 
        4000.00          0.3305          0.3611 
        4050.00          0.3082          0.3853 
        4100.00          0.3121          0.4032 
        4150.00          0.2802          0.4085 
        4200.00          0.2750          0.4398 
        4250.00          0.3222          0.3701 
        4300.00          0.3105          0.3419 
        4350.00          0.3047          0.3451 
        4400.00          0.3094          0.3986 
        4450.00          0.3224          0.3471 
        4500.00          0.3306          0.3580 
        4550.00          0.2880          0.4039 
        4600.00          0.3147          0.4608 
        4650.00          0.2702          0.5422 
        4700.00          0.4118          0.6615 
        4750.00          0.3542          0.6051 
        4800.00          0.3533          0.5528 
        4850.00          0.4258          0.6343 
        4900.00          0.4359          0.6213 
        4950.00          0.3976          0.6383 
        5000.00          0.4564          0.6542 
        5050.00          0.4298          0.6018 
        5100.00          0.3925          0.5416 
        5150.00          0.4277          0.5695 
        5200.00          0.3967          0.5106 
        5250.00          0.4105          0.5790 
        5300.00          0.4268          0.5330 
        5350.00          0.4658          0.6763 
        5400.00          0.4468          0.6634 
        5450.00          0.4379          0.6467 
        5500.00          0.4668          0.6229 
        5550.00          0.4542          0.6411 
        5600.00          0.4925          0.6356 
        5650.00          0.4744          0.6880 
        5700.00          0.4203          0.6048 
        5750.00          0.3939          0.5351 
        5800.00          0.4098          0.5515 
        5850.00          0.3882          0.5173 
        5900.00          0.4046          0.6147 
        5950.00          0.3830          0.5797 
        6000.00          0.3942          0.6329 
        6050.00          0.4362          0.6435 
        6100.00          0.4420          0.6303 
        6150.00          0.3979          0.6378 
        6200.00          0.3724          0.5940 
        6250.00          0.3971          0.6199 
        6300.00          0.3858          0.6118 
        6350.00          0.4666          0.7149 
        6400.00          0.4658          0.6628 
        6450.00          0.4497          0.6362 
        6500.00          0.3820          0.4774 
        6550.00          0.3397          0.4414 
        6600.00          0.3909          0.3353 
        6650.00          0.3596          0.3974 
        6700.00          0.3731          0.4304 
        6750.00          0.4001          0.4807 
        6800.00          0.4124          0.4349 
        6850.00          0.4722          0.5161 
        6900.00          0.3764          0.4923 
        6950.00          0.3594          0.4312 
        7000.00          0.3640          0.5308 
        7050.00          0.3305          0.5433 
        7100.00          0.3573          0.5746 
        7150.00          0.4199          0.5843 
        7200.00          0.3765          0.5186 
        7250.00          0.3862          0.5544 
        7300.00          0.4172          0.5915 
        7350.00          0.3694          0.5113 
        7400.00          0.3398          0.4679 
        7450.00          0.3861          0.4814 
        7500.00          0.3496          0.4909 
        7550.00          0.3662          0.4619 
        7600.00          0.3747          0.4554 
        7650.00          0.3965          0.5616 
        7700.00          0.4613          0.5598 
        7750.00          0.4600          0.5982 
        7800.00          0.4313          0.5346 
        7850.00          0.4338          0.5930 
        7900.00          0.4584          0.6075 
        7950.00          0.4926          0.6405 
        8000.00          0.4285          0.5285 
        8050.00          0.4434          0.4871 
        8100.00          0.4502          0.5099 
        8150.00          0.4681          0.5213 
        8200.00          0.4190          0.5898 
        8250.00          0.4133          0.5550 
        8300.00          0.4774          0.5932 
        8350.00          0.4485          0.5920 
        8400.00          0.5609          0.7626 
        8450.00          0.5419          0.7530 
        8500.00          0.4986          0.6593 
        8550.00          0.5165          0.7201 
        8600.00          0.4750          0.6992 
        8650.00          0.4995          0.7084 
        8700.00          0.4395          0.6270 
        8750.00          0.5455          0.7551 
        8800.00          0.4643          0.6795 
        8850.00          0.4318          0.6520 
        8900.00          0.5002          0.6834 
        8950.00          0.4736          0.7118 
        9000.00          0.4422          0.6655 
        9050.00          0.4207          0.6251 
        9100.00          0.4426          0.6316 
        9150.00          0.4494          0.5744 
        9200.00          0.4117          0.4898 
        9250.00          0.3428          0.5078 
        9300.00          0.3198          0.4884 
        9350.00          0.3730          0.6078 
        9400.00          0.3627          0.5766 
        9450.00          0.4122          0.6187 
        9500.00          0.4140          0.5694 
        9550.00          0.4143          0.5928 
        9600.00          0.4217          0.6382 
        9650.00          0.4698          0.6920 
        9700.00          0.4454          0.6646 
        9750.00          0.4375          0.6426 
        9800.00          0.4047          0.5934 
        9850.00          0.4079          0.5915 
        9900.00          0.4124          0.6323 
        9950.00          0.4026          0.6036 
       10000.00          0.4185          0.6089 
       10050.00          0.3750          0.5142 
       10100.00          0.3744          0.5902 
       10150.00          0.4433          0.6527 
       10200.00          0.4200          0.5487 
       10250.00          0.4367          0.6057 
       10300.00          0.4748          0.6627 
       10350.00          0.4526          0.6502 
       10400.00          0.4183          0.6063 
       10450.00          0.4511          0.6287 
       10500.00          0.4324          0.6064 
       10550.00          0.4813          0.7214 
       10600.00          0.4825          0.6915 
       10650.00          0.5133          0.7463 
       10700.00          0.4505          0.6796 
       10750.00          0.4493          0.6817 
       10800.00          0.4432          0.6580 
       10850.00          0.4531          0.6727 
       10900.00          0.3763          0.6158 
       10950.00          0.4414          0.6794 
       11000.00          0.4528          0.6795 
       11050.00          0.4975          0.6918 
       11100.00          0.4884          0.6687 
       11150.00          0.4058          0.6216 
       11200.00          0.4303          0.5982 
       11250.00          0.5040          0.6841 
       11300.00          0.4861          0.6833 
       11350.00          0.4509          0.6401 
       11400.00          0.4684          0.5570 
       11450.00          0.4634          0.6374 
       11500.00          0.4618          0.6955 
       11550.00          0.5074          0.7390 
       11600.00          0.5013          0.7214 
       11650.00          0.5094          0.7176 
       11700.00          0.4961          0.6976 
       11750.00          0.4464          0.6434 
       11800.00          0.4418          0.5858 
       11850.00          0.3731          0.4700 
       11900.00          0.4224          0.5328 
       11950.00          0.3707          0.5057 
       12000.00          0.3494          0.5446 
       12050.00          0.3482          0.5377 
       12100.00          0.3373          0.5517 
       12150.00          0.3915          0.5825 
       12200.00          0.3513          0.5736 
       12250.00          0.3876          0.5390 
       12300.00          0.4619          0.5593 
       12350.00          0.4080          0.4407 
       12400.00          0.4181          0.4199 
       12450.00          0.3738          0.5142 
       12500.00          0.4070          0.6082 
       12550.00          0.3908          0.5624 
       12600.00          0.4352          0.5598 
       12650.00          0.4544          0.5893 
       12700.00          0.4328          0.5567 
       12750.00          0.4822          0.6144 
       12800.00          0.4927          0.5652 
       12850.00          0.3955          0.4787 
       12900.00          0.4369          0.4754 
       12950.00          0.4066          0.3894 
       13000.00          0.4066          0.3821 
       13050.00          0.3833          0.3663 
       13100.00          0.4127          0.2935 
       13150.00          0.4248          0.3242 
       13200.00          0.4350          0.2971 
       13250.00          0.3919          0.3128 
       13300.00          0.4283          0.3059 
       13350.00          0.4171          0.3118 
       13400.00          0.4546          0.3944 
       13450.00          0.4146          0.3815 
       13500.00          0.4206          0.3846 
       13550.00          0.4056          0.4364 
       13600.00          0.4463          0.4882 
       13650.00          0.4072          0.4535 
       13700.00          0.4215          0.3821 
       13750.00          0.4248          0.4510 
       13800.00          0.4265          0.4171 
       13850.00          0.4031          0.4895 
       13900.00          0.3790          0.4711 
       13950.00          0.3512          0.4956 
       14000.00          0.4161          0.4317 
       14050.00          0.4271          0.4666 
       14100.00          0.4105          0.3885 
       14150.00          0.4433          0.4368 
       14200.00          0.4105          0.4333 
       14250.00          0.4048          0.4815 
       14300.00          0.4280          0.5183 
       14350.00          0.4389          0.5414 
       14400.00          0.4571          0.5532 
       14450.00          0.4549          0.5255 
       14500.00          0.4583          0.5505 
       14550.00          0.4399          0.4802 
       14600.00          0.4571          0.4298 
       14650.00          0.4309          0.3849 
       14700.00          0.4137          0.3576 
       14750.00          0.3805          0.4066 
       14800.00          0.4078          0.3903 
       14850.00          0.4390          0.3449 
       14900.00          0.4096          0.3815 
       14950.00          0.3682          0.3461 
       15000.00          0.3623          0.3436 
       15050.00          0.4074          0.3332 
       15100.00          0.3985          0.2982 
       15150.00          0.3672          0.3285 
       15200.00          0.3608          0.2962 
       15250.00          0.3681          0.3264 
       15300.00          0.3747          0.3069 
       15350.00          0.3555          0.2832 
       15400.00          0.4080          0.3709 
       15450.00          0.4129          0.4564 
       15500.00          0.4195          0.4462 
       15550.00          0.4346          0.4786 
       15600.00          0.4255          0.5830 
       15650.00          0.4588          0.5876 
       15700.00          0.3919          0.5604 
       15750.00          0.4524          0.6121 
       15800.00          0.4358          0.5890 
       15850.00          0.4042          0.5557 
       15900.00          0.4183          0.5196 
       15950.00          0.4308          0.5790 
       16000.00          0.4277          0.6244 
       16050.00          0.4967          0.7083 
       16100.00          0.4705          0.6412 
       16150.00          0.5081          0.6603 
       16200.00          0.4898          0.6851 
       16250.00          0.4905          0.6957 
       16300.00          0.4945          0.7048 
       16350.00          0.4662          0.6927 
       16400.00          0.4597          0.6831 
       16450.00          0.4388          0.6405 
       16500.00          0.4314          0.6600 
       16550.00          0.4440          0.6751 
       16600.00          0.4043          0.6436 
       16650.00          0.3933          0.6040 
       16700.00          0.4522          0.6610 
       16750.00          0.4440          0.7007 
       16800.00          0.4933          0.6648 
       16850.00          0.4362          0.5957 
       16900.00          0.4168          0.5476 
       16950.00          0.3858          0.5821 
       17000.00          0.3765          0.5367 
       17050.00          0.3954          0.4394 
       17100.00          0.3847          0.3711 
       17150.00          0.3519          0.3302 
       17200.00          0.3728          0.4148 
       17250.00          0.4110          0.3887 
       17300.00          0.4031          0.4145 
       17350.00          0.4004          0.4244 
       17400.00          0.4388          0.4682 
       17450.00          0.4018          0.4304 
       17500.00          0.3606          0.4007 
       17550.00          0.3187          0.4270 
       17600.00          0.3894          0.4620 
       17650.00          0.4322          0.4879 
       17700.00          0.4537          0.5024 
       17750.00          0.4314          0.5600 
       17800.00          0.4728          0.6358 
       17850.00          0.4414          0.5153 
       17900.00          0.4311          0.4380 
       17950.00          0.4399          0.4389 
       18000.00          0.4480          0.3589 
       18050.00          0.4158          0.3550 
       18100.00          0.4419          0.3058 
       18150.00          0.4020          0.3102 
       18200.00          0.4251          0.3698 
       18250.00          0.4314          0.3566 
       18300.00          0.4114          0.4229 
       18350.00          0.3889          0.4379 
       18400.00          0.3408          0.4019 
       18450.00          0.4177          0.4870 
       18500.00          0.4360          0.4208 
       18550.00          0.4594          0.4073 
       18600.00          0.4239          0.4157 
       18650.00          0.4137          0.4986 
       18700.00          0.4471          0.5300 
       18750.00          0.4130          0.4943 
       18800.00          0.4282          0.5774 
       18850.00          0.4255          0.5794 
       18900.00          0.3758          0.5557 
       18950.00          0.3695          0.5609 
       19000.00          0.4013          0.6085 
       19050.00          0.4349          0.5453 
       19100.00          0.4639          0.6152 
       19150.00          0.4600          0.6121 
       19200.00          0.4342          0.5877 
       19250.00          0.4618          0.6630 
       19300.00          0.4213          0.6351 
       19350.00          0.4169          0.6049 
       19400.00          0.4561          0.6247 
       19450.00          0.3920          0.5834 
