#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            3.3124            0.5825           -6.5300            0.0000           -5.9474
          50.00          230.2783           40.4985           -7.9889            0.0000           32.5096
         100.00          374.9571           65.9428          -14.0077            0.0000           51.9351
         150.00          236.0232           41.5088          -16.3083            0.0000           25.2005
         200.00          301.9804           53.1086          -15.3273            0.0000           37.7812
         250.00          376.2089           66.1629          -15.8893            0.0000           50.2737
         300.00          325.8639           57.3089          -15.8805            0.0000           41.4284
         350.00          305.9318           53.8035          -18.3184            0.0000           35.4851
         400.00          250.7620           44.1009          -16.1952            0.0000           27.9057
         450.00          312.6231           54.9803          -13.2914            0.0000           41.6888
         500.00          281.8498           49.5682          -17.9657            0.0000           31.6025
         550.00          328.3005           57.7374          -17.7054            0.0000           40.0320
         600.00          309.4536           54.4229          -16.8353            0.0000           37.5876
         650.00          274.9210           48.3497          -16.3060            0.0000           32.0437
         700.00          267.3620           47.0203          -17.7769            0.0000           29.2435
         750.00          355.3461           62.4938          -16.4045            0.0000           46.0894
         800.00          257.6555           45.3132          -15.9648            0.0000           29.3484
         850.00          294.4166           51.7783          -17.4535            0.0000           34.3249
         900.00          308.2272           54.2072          -17.4796            0.0000           36.7276
         950.00          283.3345           49.8293          -17.8602            0.0000           31.9691
        1000.00          261.2717           45.9492          -15.2134            0.0000           30.7359
        1050.00          297.1763           52.2637          -14.9191            0.0000           37.3446
        1100.00          403.8873           71.0307          -17.3948            0.0000           53.6358
        1150.00          324.5244           57.0733          -15.3048            0.0000           41.7686
        1200.00          345.8115           60.8170          -18.2615            0.0000           42.5555
        1250.00          368.0752           64.7325          -17.9120            0.0000           46.8205
        1300.00          280.6720           49.3611          -17.5263            0.0000           31.8348
        1350.00          374.3481           65.8357          -19.2696            0.0000           46.5661
        1400.00          249.5402           43.8860          -18.4281            0.0000           25.4580
        1450.00          337.3373           59.3267          -16.8915            0.0000           42.4352
        1500.00          275.4907           48.4499          -17.0924            0.0000           31.3575
        1550.00          410.8353           72.2526          -12.8980            0.0000           59.3546
        1600.00          348.9534           61.3696          -10.5558            0.0000           50.8138
        1650.00          400.6732           70.4654          -13.4936            0.0000           56.9718
        1700.00          325.9938           57.3317          -17.2508            0.0000           40.0810
        1750.00          417.3259           73.3941          -15.0289            0.0000           58.3652
        1800.00          300.5321           52.8538          -15.0823            0.0000           37.7716
        1850.00          248.8275           43.7607          -14.8325            0.0000           28.9282
        1900.00          261.7100           46.0263          -17.2701            0.0000           28.7562
        1950.00          341.8243           60.1158          -14.4706            0.0000           45.6452
        2000.00          339.2243           59.6585          -17.5981            0.0000           42.0604
        2050.00          336.6156           59.1998          -15.9137            0.0000           43.2861
        2100.00          329.7507           57.9924          -16.9929            0.0000           40.9996
        2150.00          419.1221           73.7100          -18.1603            0.0000           55.5497
        2200.00          372.4955           65.5099          -17.3201            0.0000           48.1898
        2250.00          360.8947           63.4697          -17.0948            0.0000           46.3748
        2300.00          271.0917           47.6762          -15.1290            0.0000           32.5473
        2350.00          357.0029           62.7852          -16.4096            0.0000           46.3757
        2400.00          356.5885           62.7124          -17.1737            0.0000           45.5387
        2450.00          365.6911           64.3132          -16.4767            0.0000           47.8365
        2500.00          386.2134           67.9224          -16.1648            0.0000           51.7576
        2550.00          286.0380           50.3048          -12.8859            0.0000           37.4189
        2600.00          381.1259           67.0277          -10.6170            0.0000           56.4106
        2650.00          462.2128           81.2882          -17.6256            0.0000           63.6627
        2700.00          394.9767           69.4636          -16.8326            0.0000           52.6310
        2750.00          404.2301           71.0910          -13.3806            0.0000           57.7104
        2800.00          362.7091           63.7888          -16.1592            0.0000           47.6295
        2850.00          229.7792           40.4107          -17.4427            0.0000           22.9680
        2900.00          422.7222           74.3431          -18.2792            0.0000           56.0639
        2950.00          333.2483           58.6076          -13.8527            0.0000           44.7549
        3000.00          396.7206           69.7703          -17.2810            0.0000           52.4893
        3050.00          275.1561           48.3910          -17.2977            0.0000           31.0933
        3100.00          324.4461           57.0595          -17.7998            0.0000           39.2597
        3150.00          370.6103           65.1783          -17.7882            0.0000           47.3901
        3200.00          292.1483           51.3794          -18.1668            0.0000           33.2126
        3250.00          254.2686           44.7176          -16.1185            0.0000           28.5991
        3300.00          359.3994           63.2067          -15.8052            0.0000           47.4015
        3350.00          349.3782           61.4443          -14.7553            0.0000           46.6890
        3400.00          408.2010           71.7893          -16.3439            0.0000           55.4454
        3450.00          365.9792           64.3639          -15.9877            0.0000           48.3762
        3500.00          356.1929           62.6428          -15.7389            0.0000           46.9039
        3550.00          375.2500           65.9943          -17.5479            0.0000           48.4464
        3600.00          314.1255           55.2445          -15.4861            0.0000           39.7584
        3650.00          390.5974           68.6934          -16.8840            0.0000           51.8094
        3700.00          338.9021           59.6019          -17.9624            0.0000           41.6395
        3750.00          336.1375           59.1157          -13.2140            0.0000           45.9017
