#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 3                 0                 0                 0                 0                 0                 3
         100.00                 4                 0                 0                 0                 0                 0                 4
         150.00                 3                 0                 0                 0                 0                 1                 4
         200.00                 3                 0                 0                 0                 0                 1                 4
         250.00                 3                 0                 0                 0                 0                 1                 4
         300.00                 3                 0                 0                 1                 0                 0                 4
         350.00                 3                 0                 0                 1                 0                 0                 4
         400.00                 3                 0                 0                 0                 0                 1                 4
         450.00                 4                 0                 0                 0                 0                 0                 4
         500.00                 3                 0                 0                 0                 0                 1                 4
         550.00                 4                 0                 0                 0                 0                 0                 4
         600.00                 4                 0                 0                 0                 0                 0                 4
         650.00                 4                 0                 0                 0                 0                 0                 4
         700.00                 4                 0                 0                 0                 0                 0                 4
         750.00                 3                 0                 0                 1                 0                 0                 4
         800.00                 3                 0                 0                 0                 0                 1                 4
         850.00                 3                 0                 0                 1                 0                 0                 4
         900.00                 3                 0                 0                 0                 0                 1                 4
         950.00                 3                 0                 0                 1                 0                 0                 4
        1000.00                 3                 0                 0                 1                 0                 0                 4
        1050.00                 3                 0                 0                 0                 0                 1                 4
        1100.00                 3                 0                 0                 0                 0                 1                 4
        1150.00                 4                 0                 0                 0                 0                 0                 4
        1200.00                 3                 0                 0                 0                 0                 1                 4
        1250.00                 3                 0                 0                 1                 0                 0                 4
        1300.00                 2                 0                 0                 0                 0                 2                 4
        1350.00                 3                 0                 0                 1                 0                 0                 4
        1400.00                 2                 0                 0                 1                 0                 0                 3
        1450.00                 3                 0                 0                 0                 0                 0                 3
        1500.00                 2                 0                 0                 0                 0                 1                 3
        1550.00                 4                 0                 0                 0                 0                 0                 4
        1600.00                 3                 0                 0                 1                 0                 0                 4
        1650.00                 4                 0                 0                 0                 0                 0                 4
        1700.00                 3                 0                 0                 0                 0                 1                 4
        1750.00                 3                 0                 0                 0                 0                 1                 4
        1800.00                 3                 0                 0                 1                 0                 0                 4
        1850.00                 3                 0                 0                 1                 0                 0                 4
        1900.00                 4                 0                 0                 0                 0                 0                 4
        1950.00                 3                 0                 0                 0                 0                 1                 4
        2000.00                 3                 0                 0                 0                 0                 1                 4
        2050.00                 3                 0                 0                 0                 0                 1                 4
        2100.00                 3                 0                 0                 0                 0                 1                 4
        2150.00                 5                 0                 0                 0                 0                 0                 5
        2200.00                 4                 0                 0                 1                 0                 0                 5
        2250.00                 4                 0                 0                 1                 0                 0                 5
        2300.00                 4                 0                 0                 1                 0                 0                 5
        2350.00                 4                 0                 0                 1                 0                 0                 5
        2400.00                 4                 0                 0                 0                 0                 0                 4
        2450.00                 3                 0                 0                 0                 0                 1                 4
        2500.00                 4                 0                 0                 1                 0                 0                 5
        2550.00                 4                 0                 0                 0                 0                 1                 5
        2600.00                 5                 0                 0                 0                 0                 0                 5
        2650.00                 5                 0                 0                 0                 0                 0                 5
        2700.00                 5                 0                 0                 0                 0                 0                 5
        2750.00                 4                 0                 0                 1                 0                 0                 5
        2800.00                 5                 0                 0                 0                 0                 0                 5
        2850.00                 3                 0                 0                 0                 0                 1                 4
        2900.00                 4                 0                 0                 0                 0                 0                 4
        2950.00                 3                 0                 0                 0                 0                 1                 4
        3000.00                 4                 0                 0                 0                 0                 0                 4
        3050.00                 4                 0                 0                 0                 0                 0                 4
        3100.00                 3                 0                 0                 0                 0                 1                 4
        3150.00                 3                 0                 0                 0                 0                 1                 4
        3200.00                 4                 0                 0                 0                 0                 0                 4
        3250.00                 2                 0                 0                 0                 0                 2                 4
        3300.00                 2                 0                 0                 0                 0                 2                 4
        3350.00                 3                 0                 0                 0                 0                 1                 4
        3400.00                 3                 0                 0                 0                 0                 1                 4
        3450.00                 4                 0                 0                 0                 0                 0                 4
        3500.00                 4                 0                 0                 0                 0                 0                 4
        3550.00                 3                 0                 0                 1                 0                 0                 4
        3600.00                 3                 0                 0                 0                 0                 1                 4
        3650.00                 3                 0                 0                 1                 0                 0                 4
        3700.00                 4                 0                 0                 0                 0                 0                 4
        3750.00                 4                 0                 0                 0                 0                 0                 4
        3800.00                 4                 0                 0                 0                 0                 0                 4
        3850.00                 3                 0                 0                 1                 0                 0                 4
        3900.00                 3                 0                 0                 0                 0                 1                 4
        3950.00                 4                 0                 0                 0                 0                 0                 4
        4000.00                 3                 0                 0                 1                 0                 0                 4
        4050.00                 3                 0                 0                 1                 0                 0                 4
        4100.00                 4                 0                 0                 0                 0                 0                 4
        4150.00                 3                 0                 0                 1                 0                 0                 4
        4200.00                 3                 0                 0                 0                 0                 1                 4
        4250.00                 4                 0                 0                 0                 0                 0                 4
        4300.00                 4                 0                 0                 0                 0                 0                 4
        4350.00                 3                 0                 0                 0                 0                 1                 4
        4400.00                 3                 0                 0                 0                 0                 1                 4
        4450.00                 3                 0                 0                 0                 0                 1                 4
        4500.00                 3                 0                 0                 0                 0                 1                 4
        4550.00                 3                 0                 0                 1                 0                 0                 4
        4600.00                 3                 0                 0                 0                 0                 1                 4
        4650.00                 2                 0                 0                 0                 0                 1                 3
        4700.00                 3                 0                 0                 0                 0                 0                 3
        4750.00                 3                 0                 0                 0                 0                 0                 3
        4800.00                 2                 0                 0                 1                 0                 0                 3
        4850.00                 2                 0                 0                 0                 0                 1                 3
        4900.00                 1                 0                 0                 0                 0                 1                 2
        4950.00                 3                 0                 0                 0                 0                 0                 3
        5000.00                 2                 0                 0                 0                 0                 1                 3
        5050.00                 3                 0                 0                 0                 0                 0                 3
        5100.00                 2                 0                 0                 1                 0                 0                 3
        5150.00                 3                 0                 0                 0                 0                 0                 3
        5200.00                 1                 0                 0                 0                 0                 1                 2
        5250.00                 1                 0                 0                 1                 0                 0                 2
        5300.00                 2                 0                 0                 0                 0                 0                 2
        5350.00                 1                 0                 0                 1                 0                 0                 2
        5400.00                 1                 0                 0                 1                 0                 0                 2
        5450.00                 1                 0                 0                 1                 0                 0                 2
        5500.00                 1                 0                 0                 0                 0                 1                 2
        5550.00                 1                 0                 0                 0                 0                 1                 2
        5600.00                 1                 0                 0                 1                 0                 0                 2
        5650.00                 1                 0                 0                 0                 0                 1                 2
        5700.00                 1                 0                 0                 0                 0                 1                 2
        5750.00                 1                 0                 0                 1                 0                 0                 2
        5800.00                 1                 0                 0                 0                 0                 0                 1
        5850.00                 1                 0                 0                 0                 0                 0                 1
        5900.00                 2                 0                 0                 0                 0                 0                 2
        5950.00                 3                 0                 0                 0                 0                 0                 3
        6000.00                 3                 0                 0                 0                 0                 0                 3
        6050.00                 3                 0                 0                 0                 0                 0                 3
        6100.00                 3                 0                 0                 0                 0                 1                 4
        6150.00                 3                 0                 0                 0                 0                 1                 4
        6200.00                 3                 0                 0                 1                 0                 0                 4
        6250.00                 3                 0                 0                 1                 0                 0                 4
        6300.00                 4                 0                 0                 0                 0                 0                 4
        6350.00                 3                 0                 0                 0                 0                 1                 4
        6400.00                 3                 0                 0                 0                 0                 1                 4
        6450.00                 3                 0                 0                 0                 0                 1                 4
        6500.00                 3                 0                 0                 0                 0                 1                 4
        6550.00                 3                 0                 0                 1                 0                 0                 4
        6600.00                 4                 0                 0                 0                 0                 0                 4
        6650.00                 4                 0                 0                 0                 0                 0                 4
        6700.00                 3                 0                 0                 0                 0                 1                 4
        6750.00                 3                 0                 0                 0                 0                 1                 4
        6800.00                 4                 0                 0                 0                 0                 0                 4
        6850.00                 4                 0                 0                 0                 0                 0                 4
        6900.00                 3                 0                 0                 1                 0                 0                 4
        6950.00                 3                 0                 0                 1                 0                 0                 4
        7000.00                 4                 0                 0                 0                 0                 0                 4
        7050.00                 3                 0                 0                 1                 0                 0                 4
        7100.00                 3                 0                 0                 0                 0                 1                 4
        7150.00                 4                 0                 0                 0                 0                 0                 4
        7200.00                 3                 0                 0                 1                 0                 0                 4
        7250.00                 3                 0                 0                 0                 0                 1                 4
        7300.00                 3                 0                 0                 0                 0                 1                 4
        7350.00                 3                 0                 0                 1                 0                 0                 4
        7400.00                 4                 0                 0                 0                 0                 0                 4
        7450.00                 4                 0                 0                 0                 0                 0                 4
        7500.00                 4                 0                 0                 0                 0                 0                 4
        7550.00                 3                 0                 0                 0                 0                 1                 4
        7600.00                 3                 0                 0                 0                 0                 1                 4
        7650.00                 4                 0                 0                 0                 0                 0                 4
        7700.00                 4                 0                 0                 0                 0                 0                 4
        7750.00                 3                 0                 0                 1                 0                 0                 4
        7800.00                 4                 0                 0                 0                 0                 0                 4
        7850.00                 4                 0                 0                 0                 0                 0                 4
        7900.00                 3                 0                 0                 0                 0                 1                 4
        7950.00                 4                 0                 0                 0                 0                 1                 5
        8000.00                 4                 0                 0                 1                 0                 0                 5
        8050.00                 3                 0                 0                 0                 0                 1                 4
        8100.00                 4                 0                 0                 0                 0                 0                 4
        8150.00                 5                 0                 0                 0                 0                 0                 5
        8200.00                 4                 0                 0                 0                 0                 1                 5
        8250.00                 4                 0                 0                 1                 0                 0                 5
        8300.00                 4                 0                 0                 0                 0                 1                 5
        8350.00                 4                 0                 0                 0                 0                 1                 5
        8400.00                 4                 0                 0                 0                 0                 1                 5
        8450.00                 5                 0                 0                 0                 0                 0                 5
        8500.00                 5                 0                 0                 0                 0                 0                 5
        8550.00                 4                 0                 0                 0                 0                 1                 5
        8600.00                 5                 0                 0                 0                 0                 0                 5
        8650.00                 4                 0                 0                 0                 0                 1                 5
        8700.00                 4                 0                 0                 0                 0                 1                 5
        8750.00                 4                 0                 0                 0                 0                 1                 5
        8800.00                 4                 0                 0                 1                 0                 0                 5
        8850.00                 5                 0                 0                 0                 0                 0                 5
        8900.00                 4                 0                 0                 1                 0                 0                 5
        8950.00                 4                 0                 0                 1                 0                 0                 5
        9000.00                 5                 0                 0                 0                 0                 0                 5
        9050.00                 4                 0                 0                 1                 0                 0                 5
        9100.00                 4                 0                 0                 0                 0                 1                 5
        9150.00                 4                 0                 0                 0                 0                 1                 5
        9200.00                 4                 0                 0                 1                 0                 0                 5
        9250.00                 4                 0                 0                 0                 0                 1                 5
        9300.00                 5                 0                 0                 0                 0                 1                 6
        9350.00                 6                 0                 0                 0                 0                 0                 6
        9400.00                 5                 0                 0                 0                 0                 1                 6
        9450.00                 5                 0                 0                 0                 0                 1                 6
        9500.00                 5                 0                 0                 1                 0                 0                 6
        9550.00                 6                 0                 0                 0                 0                 0                 6
        9600.00                 6                 0                 0                 0                 0                 0                 6
        9650.00                 5                 0                 0                 0                 0                 1                 6
        9700.00                 5                 0                 0                 0                 0                 1                 6
        9750.00                 6                 0                 0                 0                 0                 0                 6
        9800.00                 5                 0                 0                 0                 0                 1                 6
        9850.00                 5                 0                 0                 0                 0                 1                 6
        9900.00                 6                 0                 0                 0                 0                 0                 6
        9950.00                 5                 0                 0                 0                 0                 1                 6
       10000.00                 6                 0                 0                 0                 0                 0                 6
       10050.00                 6                 0                 0                 0                 0                 0                 6
       10100.00                 5                 0                 0                 0                 0                 1                 6
       10150.00                 5                 0                 0                 1                 0                 0                 6
       10200.00                 5                 0                 0                 0                 0                 1                 6
       10250.00                 5                 0                 0                 1                 0                 0                 6
       10300.00                 5                 0                 0                 1                 0                 0                 6
       10350.00                 5                 0                 0                 1                 0                 0                 6
       10400.00                 6                 0                 0                 0                 0                 0                 6
       10450.00                 6                 0                 0                 0                 0                 0                 6
       10500.00                 5                 0                 0                 0                 0                 1                 6
       10550.00                 5                 0                 0                 1                 0                 0                 6
       10600.00                 6                 0                 0                 0                 0                 0                 6
       10650.00                 5                 0                 0                 1                 0                 0                 6
       10700.00                 6                 0                 0                 0                 0                 0                 6
       10750.00                 5                 0                 0                 0                 0                 0                 5
       10800.00                 6                 0                 0                 0                 0                 0                 6
       10850.00                 6                 0                 0                 0                 0                 0                 6
       10900.00                 5                 0                 0                 0                 0                 1                 6
       10950.00                 5                 0                 0                 1                 0                 0                 6
       11000.00                 6                 0                 0                 0                 0                 0                 6
       11050.00                 5                 0                 0                 0                 0                 1                 6
       11100.00                 5                 0                 0                 0                 0                 1                 6
       11150.00                 5                 0                 0                 0                 0                 1                 6
       11200.00                 5                 0                 0                 1                 0                 0                 6
       11250.00                 5                 0                 0                 1                 0                 0                 6
       11300.00                 5                 0                 0                 1                 0                 0                 6
       11350.00                 6                 0                 0                 0                 0                 0                 6
       11400.00                 6                 0                 0                 0                 0                 0                 6
       11450.00                 6                 0                 0                 0                 0                 0                 6
       11500.00                 5                 0                 0                 0                 0                 1                 6
       11550.00                 6                 0                 0                 0                 0                 0                 6
       11600.00                 5                 0                 0                 0                 0                 1                 6
       11650.00                 6                 0                 0                 0                 0                 0                 6
       11700.00                 5                 0                 0                 1                 0                 0                 6
       11750.00                 5                 0                 0                 0                 0                 1                 6
       11800.00                 6                 0                 0                 0                 0                 0                 6
       11850.00                 5                 0                 0                 1                 0                 0                 6
       11900.00                 5                 0                 0                 1                 0                 0                 6
       11950.00                 6                 0                 0                 0                 0                 0                 6
       12000.00                 5                 0                 0                 1                 0                 0                 6
       12050.00                 6                 0                 0                 0                 0                 0                 6
       12100.00                 5                 0                 0                 1                 0                 0                 6
       12150.00                 6                 0                 0                 0                 0                 0                 6
       12200.00                 5                 0                 0                 0                 0                 1                 6
       12250.00                 5                 0                 0                 0                 0                 1                 6
       12300.00                 5                 0                 0                 0                 0                 1                 6
       12350.00                 5                 0                 0                 1                 0                 0                 6
