#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            2.9655            0.5215           -6.5300            0.0000           -6.0084
          50.00          314.2644           55.2689          -18.2452            0.0000           37.0237
         100.00          247.7739           43.5754          -20.3304            0.0000           23.2450
         150.00          218.7050           38.4631          -25.1071            0.0000           13.3560
         200.00          218.9678           38.5093          -22.3467            0.0000           16.1626
         250.00          270.3953           47.5538          -27.3370            0.0000           20.2168
         300.00          195.5672           34.3939          -25.5594            0.0000            8.8345
         350.00          236.5260           41.5973          -24.2418            0.0000           17.3555
         400.00          254.4928           44.7570          -25.0873            0.0000           19.6697
         450.00          326.8846           57.4884          -23.8395            0.0000           33.6489
         500.00          237.0758           41.6940          -27.2426            0.0000           14.4513
         550.00          240.4321           42.2842          -28.0364            0.0000           14.2478
         600.00          277.0659           48.7269          -25.5402            0.0000           23.1867
         650.00          225.9022           39.7289          -26.8199            0.0000           12.9090
         700.00          253.4520           44.5740          -25.9370            0.0000           18.6370
         750.00          345.0075           60.6756          -24.2295            0.0000           36.4461
         800.00          283.0139           49.7730          -25.3283            0.0000           24.4447
         850.00          223.8212           39.3629          -23.8084            0.0000           15.5545
         900.00          271.2121           47.6974          -24.8844            0.0000           22.8130
         950.00          251.0525           44.1520          -26.8105            0.0000           17.3415
        1000.00          214.6404           37.7483          -26.6602            0.0000           11.0881
        1050.00          224.0790           39.4082          -27.7617            0.0000           11.6465
        1100.00          246.4658           43.3453          -24.6966            0.0000           18.6487
        1150.00          242.9469           42.7265          -26.2009            0.0000           16.5256
        1200.00          228.0420           40.1052          -26.7023            0.0000           13.4029
        1250.00          218.2890           38.3900          -26.0666            0.0000           12.3234
        1300.00          316.6538           55.6891          -27.8887            0.0000           27.8004
        1350.00          240.7609           42.3420          -26.0480            0.0000           16.2941
        1400.00          269.9737           47.4796          -24.4135            0.0000           23.0662
        1450.00          232.6202           40.9103          -27.0970            0.0000           13.8134
        1500.00          273.9041           48.1708          -26.9217            0.0000           21.2492
        1550.00          215.9239           37.9740          -26.9782            0.0000           10.9958
        1600.00          283.8316           49.9168          -25.8310            0.0000           24.0857
        1650.00          266.8836           46.9362          -28.0320            0.0000           18.9041
        1700.00          310.1792           54.5505          -26.7684            0.0000           27.7820
        1750.00          298.2899           52.4595          -29.4602            0.0000           22.9993
        1800.00          273.8595           48.1630          -30.9854            0.0000           17.1776
        1850.00          332.1105           58.4075          -27.3373            0.0000           31.0702
        1900.00          259.5338           45.6436          -27.2353            0.0000           18.4082
        1950.00          308.5464           54.2633          -29.1253            0.0000           25.1380
        2000.00          308.9888           54.3411          -31.2564            0.0000           23.0847
        2050.00          278.3233           48.9480          -29.8537            0.0000           19.0943
