@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.0565          0.4485 
         100.00          0.1076          0.4534 
         150.00          0.1618          0.4547 
         200.00          0.1956          0.4362 
         250.00          0.1452          0.4459 
         300.00          0.1108          0.4423 
         350.00          0.1487          0.4377 
         400.00          0.1405          0.4267 
         450.00          0.1457          0.4281 
         500.00          0.2258          0.4140 
         550.00          0.1848          0.4370 
         600.00          0.1876          0.4431 
         650.00          0.1974          0.4483 
         700.00          0.2043          0.4387 
         750.00          0.2627          0.3915 
         800.00          0.2472          0.3947 
         850.00          0.2558          0.3964 
         900.00          0.2787          0.3768 
         950.00          0.2798          0.3872 
        1000.00          0.2474          0.3979 
        1050.00          0.2846          0.3944 
        1100.00          0.2672          0.3836 
        1150.00          0.2419          0.4059 
        1200.00          0.2578          0.3963 
        1250.00          0.2691          0.3987 
        1300.00          0.3031          0.3722 
        1350.00          0.2371          0.4040 
        1400.00          0.3134          0.3807 
        1450.00          0.2982          0.3723 
        1500.00          0.3140          0.3748 
        1550.00          0.2611          0.3940 
        1600.00          0.2622          0.3916 
        1650.00          0.2766          0.4009 
        1700.00          0.3017          0.3665 
        1750.00          0.2350          0.4101 
        1800.00          0.2327          0.4177 
        1850.00          0.2406          0.3961 
        1900.00          0.2356          0.4226 
        1950.00          0.1953          0.4319 
        2000.00          0.1560          0.4762 
        2050.00          0.1667          0.4345 
        2100.00          0.1687          0.4324 
        2150.00          0.1795          0.4315 
        2200.00          0.2133          0.4105 
        2250.00          0.1873          0.4325 
        2300.00          0.1766          0.4382 
        2350.00          0.1573          0.4465 
        2400.00          0.2007          0.4236 
        2450.00          0.1895          0.4259 
        2500.00          0.1686          0.4287 
        2550.00          0.1907          0.4153 
        2600.00          0.2011          0.4069 
        2650.00          0.2003          0.4231 
        2700.00          0.1657          0.4391 
        2750.00          0.2053          0.4154 
        2800.00          0.1975          0.4213 
        2850.00          0.1617          0.4365 
        2900.00          0.1869          0.4402 
        2950.00          0.1943          0.4474 
        3000.00          0.2389          0.4306 
        3050.00          0.2408          0.4282 
        3100.00          0.2123          0.4381 
        3150.00          0.2513          0.3995 
        3200.00          0.2465          0.4145 
        3250.00          0.2245          0.4286 
        3300.00          0.2325          0.4240 
        3350.00          0.1972          0.4404 
        3400.00          0.2197          0.4278 
        3450.00          0.2216          0.4266 
        3500.00          0.2928          0.3824 
        3550.00          0.2861          0.3756 
        3600.00          0.2707          0.3894 
        3650.00          0.2687          0.3909 
        3700.00          0.2890          0.3661 
        3750.00          0.2585          0.3898 
        3800.00          0.2654          0.3942 
        3850.00          0.2976          0.3728 
        3900.00          0.2579          0.4005 
        3950.00          0.2913          0.3773 
        4000.00          0.2672          0.3862 
        4050.00          0.2963          0.3774 
        4100.00          0.2802          0.3901 
        4150.00          0.2589          0.3972 
        4200.00          0.2602          0.3997 
        4250.00          0.2745          0.3795 
        4300.00          0.2911          0.3840 
        4350.00          0.2678          0.4000 
        4400.00          0.2517          0.4000 
        4450.00          0.2845          0.3867 
        4500.00          0.2371          0.4115 
        4550.00          0.1721          0.4713 
        4600.00          0.2413          0.4301 
        4650.00          0.2430          0.4052 
        4700.00          0.2969          0.3893 
        4750.00          0.2355          0.4165 
        4800.00          0.1937          0.4307 
        4850.00          0.1883          0.4339 
        4900.00          0.1975          0.4658 
        4950.00          0.1635          0.4677 
        5000.00          0.1655          0.4778 
        5050.00          0.1498          0.4334 
        5100.00          0.2069          0.4646 
        5150.00          0.1418          0.4667 
        5200.00          0.2266          0.4527 
        5250.00          0.2325          0.4118 
        5300.00          0.2787          0.4623 
        5350.00          0.2727          0.4859 
        5400.00          0.2686          0.4373 
        5450.00          0.2535          0.4753 
        5500.00          0.2430          0.4702 
        5550.00          0.2447          0.4887 
        5600.00          0.2367          0.4660 
        5650.00          0.2575          0.4752 
        5700.00          0.2554          0.4033 
        5750.00          0.2615          0.4534 
        5800.00          0.2783          0.4345 
        5850.00          0.3252          0.3915 
        5900.00          0.3027          0.4216 
        5950.00          0.2791          0.3989 
        6000.00          0.2294          0.4133 
        6050.00          0.2326          0.4051 
        6100.00          0.2572          0.3959 
        6150.00          0.2433          0.3945 
        6200.00          0.2663          0.3976 
        6250.00          0.2970          0.3725 
        6300.00          0.2709          0.3942 
        6350.00          0.2895          0.3753 
        6400.00          0.3138          0.3784 
        6450.00          0.2737          0.3954 
        6500.00          0.2596          0.3859 
        6550.00          0.2684          0.3907 
        6600.00          0.2931          0.3960 
        6650.00          0.2912          0.3800 
        6700.00          0.2783          0.3868 
        6750.00          0.2666          0.3930 
        6800.00          0.2859          0.3853 
        6850.00          0.2651          0.4003 
        6900.00          0.2450          0.3912 
        6950.00          0.2471          0.4036 
        7000.00          0.2530          0.4142 
        7050.00          0.2610          0.3994 
        7100.00          0.2600          0.3929 
        7150.00          0.2443          0.4032 
        7200.00          0.2735          0.3934 
        7250.00          0.2432          0.4242 
        7300.00          0.2748          0.3935 
        7350.00          0.2843          0.3811 
        7400.00          0.2623          0.3806 
        7450.00          0.2837          0.3857 
        7500.00          0.2894          0.3809 
        7550.00          0.2780          0.3918 
        7600.00          0.2362          0.3977 
        7650.00          0.2555          0.4080 
        7700.00          0.2094          0.4248 
        7750.00          0.2566          0.3927 
        7800.00          0.2835          0.3902 
        7850.00          0.2430          0.3862 
        7900.00          0.1943          0.4335 
        7950.00          0.0674          0.4417 
        8000.00          0.1553          0.4354 
        8050.00          0.1692          0.4507 
        8100.00          0.2274          0.3953 
        8150.00          0.1690          0.4352 
        8200.00          0.2189          0.4008 
        8250.00          0.1889          0.4233 
        8300.00          0.2226          0.4131 
        8350.00          0.2113          0.4079 
        8400.00          0.1999          0.4193 
        8450.00          0.2058          0.4186 
        8500.00          0.2408          0.4003 
        8550.00          0.1776          0.4268 
        8600.00          0.1602          0.4426 
        8650.00          0.1203          0.4674 
        8700.00          0.1112          0.4491 
        8750.00          0.1079          0.4563 
        8800.00          0.0644          0.4381 
        8850.00          0.1571          0.4516 
        8900.00          0.0976          0.4696 
        8950.00          0.1238          0.4634 
        9000.00          0.0751          0.4508 
        9050.00          0.1109          0.4448 
        9100.00          0.0820          0.4509 
        9150.00          0.0559          0.4498 
        9200.00          0.0541          0.4524 
        9250.00          0.0522          0.4488 
        9300.00          0.0612          0.4386 
        9350.00          0.0955          0.4486 
        9400.00          0.0848          0.4346 
        9450.00          0.0967          0.4297 
        9500.00          0.0564          0.4471 
        9550.00          0.0541          0.4456 
        9600.00          0.0411          0.4459 
        9650.00          0.0529          0.4377 
        9700.00          0.0442          0.4517 
        9750.00          0.0740          0.4343 
        9800.00          0.0626          0.4375 
        9850.00          0.1225          0.4326 
        9900.00          0.0954          0.4360 
        9950.00          0.0900          0.4325 
       10000.00          0.0642          0.4470 
       10050.00          0.0388          0.4452 
       10100.00          0.0236          0.4501 
       10150.00          0.0814          0.4421 
       10200.00          0.0860          0.4359 
       10250.00          0.0739          0.4427 
       10300.00          0.0586          0.4437 
       10350.00          0.0604          0.4438 
       10400.00          0.0691          0.4515 
       10450.00          0.0680          0.4384 
       10500.00          0.0745          0.4414 
       10550.00          0.0524          0.4529 
       10600.00          0.0273          0.4484 
       10650.00          0.0215          0.4562 
       10700.00          0.0820          0.4539 
       10750.00          0.0658          0.4488 
       10800.00          0.0583          0.4363 
       10850.00          0.0476          0.4460 
       10900.00          0.0806          0.4439 
       10950.00          0.0565          0.4504 
       11000.00          0.0738          0.4377 
       11050.00          0.0932          0.4438 
       11100.00          0.0776          0.4422 
       11150.00          0.0536          0.4354 
       11200.00          0.0884          0.4502 
       11250.00          0.0877          0.4309 
       11300.00          0.0735          0.4318 
       11350.00          0.0918          0.4361 
       11400.00          0.0476          0.4414 
       11450.00          0.0735          0.4420 
       11500.00          0.0856          0.4482 
       11550.00          0.0710          0.4389 
       11600.00          0.0683          0.4455 
       11650.00          0.0503          0.4367 
       11700.00          0.0625          0.4451 
       11750.00          0.0921          0.4346 
       11800.00          0.0686          0.4327 
       11850.00          0.0893          0.4476 
       11900.00          0.0982          0.4311 
       11950.00          0.1266          0.4243 
       12000.00          0.1011          0.4354 
       12050.00          0.0541          0.4436 
       12100.00          0.0693          0.4362 
       12150.00          0.0244          0.4471 
       12200.00          0.0253          0.4511 
       12250.00          0.0742          0.4506 
       12300.00          0.0957          0.4370 
       12350.00          0.0696          0.4444 
       12400.00          0.1016          0.4315 
       12450.00          0.1132          0.4292 
       12500.00          0.0553          0.4376 
       12550.00          0.0743          0.4389 
       12600.00          0.0593          0.4427 
       12650.00          0.0478          0.4409 
       12700.00          0.0502          0.4562 
       12750.00          0.0369          0.4422 
       12800.00          0.0640          0.4474 
       12850.00          0.0711          0.4550 
       12900.00          0.0589          0.4439 
       12950.00          0.0906          0.4410 
       13000.00          0.0825          0.4280 
       13050.00          0.0836          0.4394 
       13100.00          0.0408          0.4557 
       13150.00          0.0540          0.4522 
       13200.00          0.0381          0.4448 
       13250.00          0.0609          0.4321 
       13300.00          0.0302          0.4448 
       13350.00          0.0548          0.4461 
       13400.00          0.0545          0.4397 
       13450.00          0.0592          0.4438 
       13500.00          0.0432          0.4454 
       13550.00          0.0492          0.4421 
       13600.00          0.0459          0.4541 
       13650.00          0.0333          0.4549 
       13700.00          0.0797          0.4318 
       13750.00          0.0412          0.4473 
       13800.00          0.0415          0.4523 
       13850.00          0.0392          0.4477 
       13900.00          0.0680          0.4401 
       13950.00          0.0448          0.4492 
       14000.00          0.0450          0.4475 
       14050.00          0.0578          0.4473 
       14100.00          0.0872          0.4413 
       14150.00          0.0562          0.4513 
       14200.00          0.0781          0.4361 
       14250.00          0.0820          0.4376 
       14300.00          0.0417          0.4358 
       14350.00          0.0659          0.4428 
       14400.00          0.0746          0.4384 
       14450.00          0.0636          0.4413 
       14500.00          0.0454          0.4496 
       14550.00          0.0975          0.4388 
       14600.00          0.1090          0.4413 
       14650.00          0.0909          0.4472 
       14700.00          0.0648          0.4512 
       14750.00          0.0417          0.4498 
       14800.00          0.0464          0.4569 
       14850.00          0.0686          0.4437 
       14900.00          0.1033          0.4360 
       14950.00          0.0788          0.4415 
       15000.00          0.0644          0.4501 
       15050.00          0.0794          0.4414 
       15100.00          0.1015          0.4373 
       15150.00          0.0931          0.4423 
       15200.00          0.0880          0.4459 
       15250.00          0.0754          0.4349 
       15300.00          0.0691          0.4427 
       15350.00          0.0535          0.4448 
       15400.00          0.0605          0.4542 
       15450.00          0.0562          0.4528 
       15500.00          0.0585          0.4419 
       15550.00          0.0589          0.4410 
       15600.00          0.0819          0.4412 
       15650.00          0.0570          0.4473 
       15700.00          0.0460          0.4505 
       15750.00          0.0336          0.4647 
       15800.00          0.0671          0.4426 
       15850.00          0.0990          0.4523 
       15900.00          0.1013          0.4448 
       15950.00          0.0583          0.4443 
       16000.00          0.0250          0.4497 
       16050.00          0.0733          0.4372 
       16100.00          0.0532          0.4426 
       16150.00          0.0769          0.4510 
       16200.00          0.1114          0.4424 
       16250.00          0.0573          0.4333 
       16300.00          0.0450          0.4431 
       16350.00          0.0437          0.4507 
       16400.00          0.0544          0.4451 
       16450.00          0.0667          0.4368 
       16500.00          0.0719          0.4517 
       16550.00          0.0655          0.4506 
       16600.00          0.0642          0.4434 
       16650.00          0.0743          0.4413 
       16700.00          0.0501          0.4497 
       16750.00          0.0678          0.4372 
       16800.00          0.0989          0.4402 
       16850.00          0.0925          0.4258 
       16900.00          0.0554          0.4394 
       16950.00          0.0750          0.4363 
       17000.00          0.0812          0.4376 
       17050.00          0.0558          0.4451 
       17100.00          0.0922          0.4370 
       17150.00          0.0430          0.4521 
       17200.00          0.0716          0.4456 
       17250.00          0.0340          0.4501 
       17300.00          0.0658          0.4522 
       17350.00          0.0757          0.4335 
       17400.00          0.0526          0.4379 
       17450.00          0.0723          0.4270 
       17500.00          0.0687          0.4481 
       17550.00          0.0341          0.4430 
       17600.00          0.0659          0.4394 
       17650.00          0.0610          0.4467 
       17700.00          0.0756          0.4349 
       17750.00          0.0653          0.4407 
       17800.00          0.0588          0.4475 
       17850.00          0.0623          0.4371 
       17900.00          0.0686          0.4408 
       17950.00          0.0663          0.4391 
       18000.00          0.0575          0.4455 
       18050.00          0.0400          0.4553 
       18100.00          0.0747          0.4403 
       18150.00          0.0609          0.4522 
       18200.00          0.0473          0.4491 
       18250.00          0.0280          0.4475 
       18300.00          0.0545          0.4493 
       18350.00          0.0675          0.4389 
       18400.00          0.0695          0.4539 
       18450.00          0.1320          0.4285 
       18500.00          0.0586          0.4418 
       18550.00          0.0398          0.4522 
       18600.00          0.0711          0.4440 
       18650.00          0.0596          0.4423 
       18700.00          0.0568          0.4511 
       18750.00          0.0638          0.4341 
       18800.00          0.1024          0.4439 
       18850.00          0.1001          0.4362 
       18900.00          0.0735          0.4396 
       18950.00          0.0820          0.4413 
       19000.00          0.0469          0.4521 
       19050.00          0.0760          0.4420 
       19100.00          0.0573          0.4344 
       19150.00          0.0701          0.4363 
       19200.00          0.0603          0.4439 
       19250.00          0.1023          0.4362 
       19300.00          0.0758          0.4498 
       19350.00          0.0821          0.4313 
       19400.00          0.0674          0.4384 
       19450.00          0.0606          0.4430 
