#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00            4.3218            0.7601           -6.5911            0.0000           -5.8310
          50.00          412.4354           72.5340          -11.8564            0.0000           60.6776
         100.00          279.5549           49.1646          -10.9667            0.0000           38.1980
         150.00          302.9499           53.2791          -12.9094            0.0000           40.3697
         200.00          355.7672           62.5679          -10.1664            0.0000           52.4016
         250.00          292.6827           51.4734          -13.6726            0.0000           37.8008
         300.00          423.9258           74.5548           -7.8634            0.0000           66.6914
         350.00          365.6485           64.3057           -7.2305            0.0000           57.0752
         400.00          443.0608           77.9200           -7.7121            0.0000           70.2079
         450.00          400.4147           70.4200           -3.9778            0.0000           66.4422
         500.00          358.6322           63.0718           -4.5102            0.0000           58.5616
         550.00          389.5359           68.5067           -7.4030            0.0000           61.1037
         600.00          335.4949           59.0027           -4.4645            0.0000           54.5382
         650.00          418.0036           73.5133           -5.7259            0.0000           67.7873
         700.00          437.0527           76.8634           -7.2528            0.0000           69.6106
         750.00          350.3476           61.6148           -7.7265            0.0000           53.8883
         800.00          248.8351           43.7620           -8.6628            0.0000           35.0992
         850.00          369.0891           64.9108          -11.3778            0.0000           53.5330
         900.00          315.7022           55.5218          -13.2342            0.0000           42.2876
         950.00          401.2524           70.5673          -11.4499            0.0000           59.1174
        1000.00          380.2930           66.8812           -9.1570            0.0000           57.7242
        1050.00          370.7232           65.1982          -12.2245            0.0000           52.9737
        1100.00          353.7399           62.2114          -16.1495            0.0000           46.0619
        1150.00          379.0421           66.6612          -15.6986            0.0000           50.9626
        1200.00          331.2213           58.2511          -14.7533            0.0000           43.4978
        1250.00          355.6131           62.5408          -13.9683            0.0000           48.5725
        1300.00          357.1363           62.8087          -11.5225            0.0000           51.2862
        1350.00          379.6810           66.7736           -8.7583            0.0000           58.0153
        1400.00          425.1181           74.7645           -6.7328            0.0000           68.0317
        1450.00          384.6829           67.6532           -8.4682            0.0000           59.1850
        1500.00          423.5773           74.4935           -9.8098            0.0000           64.6837
        1550.00          368.2026           64.7549          -10.7317            0.0000           54.0232
        1600.00          372.8171           65.5664          -17.9890            0.0000           47.5774
        1650.00          371.6930           65.3687          -11.0322            0.0000           54.3365
        1700.00          429.3648           75.5113          -17.1332            0.0000           58.3782
        1750.00          299.4449           52.6626          -17.6551            0.0000           35.0076
        1800.00          287.3928           50.5431          -16.3611            0.0000           34.1819
        1850.00          418.1594           73.5407          -16.8825            0.0000           56.6582
        1900.00          297.5421           52.3280          -15.1769            0.0000           37.1511
        1950.00          330.3524           58.0983          -15.9966            0.0000           42.1016
        2000.00          303.4927           53.3745          -17.0310            0.0000           36.3436
        2050.00          330.2872           58.0868          -16.9474            0.0000           41.1395
        2100.00          337.4668           59.3495          -15.3401            0.0000           44.0093
        2150.00          287.7821           50.6115          -16.5334            0.0000           34.0781
        2200.00          313.3525           55.1085          -13.8932            0.0000           41.2154
        2250.00          338.6066           59.5499          -16.3692            0.0000           43.1807
        2300.00          331.7207           58.3389          -16.0400            0.0000           42.2989
        2350.00          282.5040           49.6833          -17.4219            0.0000           32.2614
        2400.00          320.6171           56.3861          -17.4652            0.0000           38.9209
        2450.00          457.8159           80.5150          -16.6528            0.0000           63.8622
        2500.00          306.0152           53.8181          -15.7709            0.0000           38.0473
        2550.00          284.8866           50.1023          -17.5344            0.0000           32.5679
        2600.00          292.9854           51.5266          -15.6213            0.0000           35.9054
        2650.00          324.3367           57.0403          -17.9616            0.0000           39.0787
        2700.00          360.3578           63.3753          -12.6575            0.0000           50.7177
        2750.00          317.3207           55.8064          -17.2547            0.0000           38.5517
        2800.00          348.0817           61.2163          -18.4216            0.0000           42.7947
        2850.00          335.4603           58.9966          -14.3773            0.0000           44.6193
        2900.00          335.2874           58.9662          -17.1006            0.0000           41.8655
        2950.00          308.6558           54.2825          -17.3796            0.0000           36.9029
        3000.00          327.2136           57.5463          -16.1954            0.0000           41.3508
        3050.00          361.3016           63.5412          -14.4415            0.0000           49.0997
        3100.00          346.8871           61.0062          -17.9169            0.0000           43.0893
        3150.00          310.6678           54.6364          -16.1022            0.0000           38.5342
        3200.00          361.1443           63.5136          -14.9274            0.0000           48.5862
        3250.00          384.6905           67.6546          -12.1415            0.0000           55.5130
        3300.00          366.5534           64.4649          -16.7962            0.0000           47.6687
        3350.00          327.6711           57.6267          -17.2594            0.0000           40.3673
        3400.00          384.3376           67.5925          -16.5888            0.0000           51.0037
        3450.00          385.3102           67.7636          -16.9377            0.0000           50.8259
        3500.00          369.3842           64.9627          -16.4136            0.0000           48.5491
        3550.00          320.7730           56.4136          -14.6943            0.0000           41.7192
        3600.00          275.2581           48.4090          -17.4558            0.0000           30.9532
        3650.00          275.0411           48.3708          -17.7618            0.0000           30.6090
        3700.00          285.8651           50.2744          -17.6767            0.0000           32.5977
        3750.00          395.1034           69.4859          -17.4851            0.0000           52.0008
        3800.00          329.9652           58.0302          -15.9110            0.0000           42.1192
        3850.00          370.9383           65.2360          -18.4139            0.0000           46.8221
        3900.00          283.0013           49.7707          -15.9924            0.0000           33.7784
        3950.00          288.7461           50.7811          -17.1904            0.0000           33.5907
        4000.00          321.8148           56.5968          -16.4500            0.0000           40.1468
        4050.00          358.9616           63.1297          -17.5327            0.0000           45.5970
        4100.00          321.2003           56.4887          -16.1327            0.0000           40.3560
        4150.00          366.1385           64.3919           -3.7661            0.0000           60.6258
        4200.00          344.5219           60.5902           -2.2916            0.0000           58.2987
        4250.00          337.9715           59.4382           -3.9030            0.0000           55.5352
        4300.00          427.0340           75.1014           -1.8302            0.0000           73.2713
        4350.00          459.1538           80.7503           -2.7895            0.0000           77.9608
        4400.00          379.4093           66.7258           -2.2017            0.0000           64.5241
        4450.00          408.3318           71.8123           -2.9611            0.0000           68.8512
        4500.00          357.9445           62.9508           -3.0096            0.0000           59.9413
        4550.00          442.3640           77.7975           -1.4754            0.0000           76.3221
        4600.00          507.6568           89.2804           -2.3351            0.0000           86.9453
        4650.00          287.8657           50.6262           -2.9003            0.0000           47.7260
        4700.00          328.6281           57.7950           -2.6521            0.0000           55.1429
        4750.00          277.2622           48.7614           -3.2077            0.0000           45.5538
        4800.00          398.6790           70.1147           -3.5175            0.0000           66.5972
        4850.00          341.4916           60.0573           -2.1149            0.0000           57.9424
        4900.00          491.6837           86.4712           -2.7616            0.0000           83.7096
        4950.00          403.5717           70.9752           -3.6314            0.0000           67.3438
        5000.00          442.3065           77.7874           -2.9093            0.0000           74.8780
        5050.00          365.3293           64.2496           -2.1862            0.0000           62.0634
        5100.00          357.9683           62.9550           -3.2990            0.0000           59.6560
        5150.00          320.7062           56.4018           -2.9245            0.0000           53.4774
        5200.00          316.9029           55.7329           -3.7237            0.0000           52.0093
        5250.00          361.5233           63.5802           -2.6721            0.0000           60.9082
        5300.00          386.3713           67.9502           -2.8583            0.0000           65.0919
        5350.00          382.8363           67.3285           -0.9460            0.0000           66.3825
        5400.00          397.0133           69.8218           -3.4290            0.0000           66.3927
        5450.00          421.2454           74.0834           -2.0965            0.0000           71.9869
        5500.00          517.0348           90.9296           -3.4252            0.0000           87.5044
        5550.00          387.5579           68.1589           -2.9501            0.0000           65.2088
        5600.00          287.9795           50.6463           -0.1252            0.0000           50.5211
        5650.00          462.3521           81.3127           -3.0972            0.0000           78.2156
        5700.00          325.5108           57.2468           -2.9351            0.0000           54.3117
        5750.00          355.6710           62.5510           -3.1085            0.0000           59.4425
        5800.00          441.1021           77.5755           -2.8872            0.0000           74.6883
        5850.00          334.4864           58.8253           -3.9465            0.0000           54.8788
        5900.00          414.2952           72.8611           -2.9756            0.0000           69.8855
        5950.00          432.6453           76.0883           -2.2735            0.0000           73.8148
        6000.00          344.5907           60.6023           -2.7954            0.0000           57.8069
        6050.00          396.4518           69.7230           -2.0935            0.0000           67.6295
        6100.00          351.2334           61.7706           -1.9627            0.0000           59.8079
        6150.00          382.3496           67.2429           -3.2972            0.0000           63.9457
        6200.00          366.9493           64.5345           -2.9475            0.0000           61.5870
        6250.00          375.6144           66.0584           -2.1218            0.0000           63.9366
        6300.00          356.5431           62.7044           -1.8893            0.0000           60.8150
        6350.00          444.0842           78.1000           -1.5813            0.0000           76.5187
        6400.00          443.7851           78.0474           -2.3057            0.0000           75.7417
        6450.00          403.1985           70.9095           -2.9756            0.0000           67.9339
        6500.00          386.5563           67.9827           -3.1552            0.0000           64.8275
        6550.00          313.0546           55.0561           -3.1340            0.0000           51.9221
        6600.00          343.5465           60.4187           -3.4256            0.0000           56.9930
        6650.00          460.1552           80.9264           -2.4989            0.0000           78.4275
        6700.00          372.8883           65.5790           -3.6025            0.0000           61.9764
        6750.00          381.5333           67.0993           -4.5565            0.0000           62.5429
        6800.00          365.7022           64.3152           -3.0644            0.0000           61.2508
        6850.00          325.5380           57.2516           -1.3960            0.0000           55.8556
        6900.00          346.7074           60.9746           -3.1577            0.0000           57.8169
        6950.00          380.8389           66.9772           -2.6347            0.0000           64.3425
        7000.00          388.2640           68.2830           -1.5146            0.0000           66.7684
        7050.00          288.8470           50.7988           -2.2695            0.0000           48.5293
        7100.00          368.4302           64.7949           -3.4589            0.0000           61.3360
        7150.00          483.9398           85.1093           -2.2335            0.0000           82.8758
        7200.00          403.2372           70.9164           -1.0088            0.0000           69.9075
        7250.00          393.7415           69.2464           -2.0939            0.0000           67.1525
        7300.00          392.4449           69.0183           -3.6168            0.0000           65.4015
        7350.00          426.3197           74.9758           -3.1505            0.0000           71.8253
        7400.00          403.5715           70.9751           -1.7829            0.0000           69.1922
        7450.00          374.3900           65.8431           -3.9186            0.0000           61.9245
        7500.00          364.9836           64.1888           -3.0416            0.0000           61.1472
        7550.00          408.5364           71.8483           -0.7827            0.0000           71.0656
        7600.00          427.5568           75.1934           -3.2189            0.0000           71.9745
        7650.00          345.0434           60.6819           -4.1534            0.0000           56.5285
        7700.00          408.2260           71.7937           -2.2096            0.0000           69.5841
        7750.00          333.0446           58.5717           -2.2458            0.0000           56.3259
        7800.00          427.8757           75.2495           -2.9930            0.0000           72.2564
        7850.00          432.5669           76.0745           -2.3056            0.0000           73.7688
        7900.00          347.4541           61.1059           -2.3448            0.0000           58.7611
        7950.00          379.5898           66.7575           -3.9513            0.0000           62.8063
        8000.00          338.6103           59.5506           -4.6537            0.0000           54.8969
        8050.00          347.1121           61.0458           -3.0941            0.0000           57.9517
        8100.00          396.4173           69.7169           -1.7167            0.0000           68.0002
        8150.00          363.1155           63.8602           -1.7440            0.0000           62.1162
        8200.00          361.5865           63.5913           -2.8491            0.0000           60.7423
        8250.00          410.7099           72.2305           -4.0181            0.0000           68.2125
        8300.00          399.5427           70.2666           -2.2021            0.0000           68.0645
        8350.00          453.3105           79.7226           -3.2706            0.0000           76.4520
        8400.00          349.2250           61.4174           -3.1001            0.0000           58.3172
        8450.00          328.0400           57.6916           -4.2466            0.0000           53.4450
        8500.00          379.5734           66.7547           -2.4538            0.0000           64.3008
        8550.00          355.3794           62.4997           -2.8262            0.0000           59.6735
        8600.00          384.8359           67.6801           -2.4868            0.0000           65.1934
        8650.00          506.4312           89.0648           -3.1069            0.0000           85.9579
        8700.00          400.5678           70.4469           -3.3528            0.0000           67.0940
        8750.00          330.9692           58.2068           -2.9950            0.0000           55.2118
        8800.00          310.2969           54.5712           -3.4852            0.0000           51.0860
        8850.00          386.0142           67.8874           -2.4351            0.0000           65.4523
        8900.00          458.1661           80.5766           -3.5589            0.0000           77.0177
        8950.00          337.8038           59.4087           -2.6223            0.0000           56.7864
        9000.00          422.8325           74.3625           -2.9779            0.0000           71.3847
        9050.00          410.2957           72.1577           -3.2162            0.0000           68.9415
        9100.00          426.4657           75.0015           -3.1246            0.0000           71.8769
        9150.00          362.4387           63.7412           -3.2078            0.0000           60.5334
        9200.00          386.9751           68.0564           -1.9543            0.0000           66.1021
        9250.00          370.4174           65.1444           -2.9641            0.0000           62.1803
        9300.00          341.1521           59.9976           -2.9059            0.0000           57.0917
        9350.00          312.4498           54.9498           -3.8382            0.0000           51.1116
        9400.00          403.5527           70.9718           -2.1172            0.0000           68.8546
        9450.00          370.3043           65.1245           -2.0424            0.0000           63.0821
        9500.00          347.0373           61.0326           -3.3259            0.0000           57.7067
        9550.00          322.3442           56.6899           -2.1122            0.0000           54.5777
        9600.00          346.4464           60.9287           -2.6906            0.0000           58.2380
        9650.00          353.6728           62.1996           -2.7031            0.0000           59.4965
        9700.00          372.7547           65.5555           -2.7555            0.0000           62.8000
        9750.00          423.7604           74.5257           -3.8300            0.0000           70.6957
        9800.00          331.8831           58.3675           -3.3983            0.0000           54.9692
        9850.00          409.4676           72.0121           -2.2053            0.0000           69.8067
        9900.00          343.3685           60.3874           -3.8836            0.0000           56.5037
        9950.00          457.2516           80.4157           -0.7773            0.0000           79.6384
       10000.00          413.1219           72.6547           -3.3687            0.0000           69.2860
       10050.00          427.8621           75.2471           -2.4207            0.0000           72.8264
       10100.00          369.4543           64.9750           -3.1123            0.0000           61.8628
       10150.00          351.7995           61.8701           -2.7580            0.0000           59.1122
       10200.00          468.2884           82.3567           -3.3708            0.0000           78.9859
       10250.00          390.1508           68.6149           -3.2197            0.0000           65.3952
       10300.00          351.3981           61.7995           -2.6038            0.0000           59.1957
       10350.00          402.1377           70.7230           -2.0132            0.0000           68.7098
       10400.00          374.1214           65.7958           -3.6911            0.0000           62.1047
       10450.00          401.4723           70.6060           -2.6180            0.0000           67.9879
       10500.00          356.6775           62.7280           -4.0619            0.0000           58.6661
       10550.00          339.6612           59.7354           -3.6133            0.0000           56.1221
       10600.00          469.8230           82.6266           -2.4561            0.0000           80.1705
       10650.00          445.4681           78.3434           -2.8220            0.0000           75.5214
       10700.00          478.4755           84.1483           -3.7809            0.0000           80.3675
       10750.00          376.8046           66.2677           -1.4575            0.0000           64.8102
       10800.00          363.3414           63.9000           -2.3829            0.0000           61.5170
       10850.00          366.0222           64.3714           -2.8501            0.0000           61.5213
       10900.00          405.8867           71.3823           -2.7690            0.0000           68.6133
       10950.00          418.9429           73.6785           -2.3957            0.0000           71.2828
       11000.00          503.3222           88.5180           -2.8262            0.0000           85.6918
       11050.00          438.8804           77.1848           -2.3079            0.0000           74.8769
       11100.00          473.2744           83.2336           -2.0398            0.0000           81.1938
       11150.00          370.5947           65.1756           -2.6416            0.0000           62.5339
       11200.00          412.0018           72.4578           -0.6900            0.0000           71.7678
       11250.00          442.0011           77.7337           -1.4187            0.0000           76.3150
       11300.00          444.9139           78.2459           -1.5343            0.0000           76.7116
       11350.00          357.7745           62.9209           -1.6985            0.0000           61.2224
       11400.00          410.4460           72.1841           -3.2943            0.0000           68.8898
       11450.00          375.9113           66.1106           -2.0520            0.0000           64.0586
       11500.00          386.7931           68.0244           -2.1846            0.0000           65.8398
       11550.00          423.3961           74.4616           -2.2217            0.0000           72.2400
       11600.00          407.0838           71.5928           -1.6809            0.0000           69.9120
       11650.00          402.2513           70.7430           -4.0255            0.0000           66.7174
       11700.00          369.7322           65.0239           -2.1793            0.0000           62.8446
       11750.00          357.6774           62.9039           -2.7331            0.0000           60.1707
       11800.00          402.8580           70.8496           -1.9111            0.0000           68.9385
       11850.00          326.6089           57.4399           -1.7575            0.0000           55.6824
       11900.00          370.5439           65.1667           -1.5319            0.0000           63.6348
       11950.00          391.5174           68.8552           -2.9037            0.0000           65.9516
       12000.00          371.5722           65.3475           -2.9717            0.0000           62.3757
       12050.00          370.0677           65.0829           -3.0025            0.0000           62.0804
       12100.00          324.5932           57.0854           -3.3230            0.0000           53.7624
       12150.00          298.3777           52.4750           -3.0985            0.0000           49.3765
       12200.00          314.1126           55.2422           -2.8494            0.0000           52.3928
       12250.00          393.0205           69.1196           -1.4341            0.0000           67.6854
       12300.00          363.6531           63.9548           -1.1950            0.0000           62.7598
       12350.00          337.3307           59.3255           -3.0663            0.0000           56.2592
       12400.00          362.0078           63.6654           -2.9398            0.0000           60.7256
       12450.00          365.8270           64.3371           -3.5882            0.0000           60.7489
       12500.00          403.8979           71.0325           -3.5421            0.0000           67.4904
       12550.00          339.0462           59.6272           -2.9600            0.0000           56.6672
       12600.00          349.7485           61.5094           -3.4005            0.0000           58.1089
       12650.00          362.8355           63.8110           -2.3709            0.0000           61.4400
       12700.00          391.4898           68.8503           -2.7384            0.0000           66.1119
       12750.00          402.7784           70.8357           -3.4879            0.0000           67.3478
       12800.00          391.6141           68.8722           -3.0017            0.0000           65.8705
       12850.00          406.9608           71.5712           -3.7066            0.0000           67.8646
       12900.00          373.9003           65.7569           -3.4253            0.0000           62.3317
       12950.00          364.6947           64.1380           -3.5637            0.0000           60.5743
       13000.00          403.6088           70.9817           -3.5304            0.0000           67.4513
       13050.00          370.9263           65.2339           -2.3760            0.0000           62.8579
       13100.00          474.5954           83.4659           -2.4768            0.0000           80.9891
       13150.00          399.4592           70.2519           -1.5217            0.0000           68.7302
       13200.00          391.3883           68.8325           -1.5899            0.0000           67.2426
       13250.00          306.5217           53.9072           -2.8030            0.0000           51.1043
       13300.00          427.0747           75.1086           -3.6584            0.0000           71.4502
       13350.00          277.8926           48.8723           -2.3891            0.0000           46.4832
       13400.00          407.2653           71.6247           -3.4388            0.0000           68.1860
       13450.00          427.9295           75.2589           -2.6660            0.0000           72.5929
       13500.00          387.8912           68.2175           -2.1598            0.0000           66.0577
       13550.00          336.7566           59.2246           -3.3410            0.0000           55.8835
       13600.00          333.2170           58.6021           -3.7004            0.0000           54.9016
       13650.00          369.7703           65.0306           -2.2866            0.0000           62.7441
       13700.00          318.7160           56.0518           -1.9107            0.0000           54.1411
       13750.00          385.0884           67.7246           -3.3890            0.0000           64.3355
       13800.00          363.4456           63.9183           -2.4167            0.0000           61.5016
       13850.00          340.1322           59.8182           -1.1833            0.0000           58.6349
       13900.00          363.8033           63.9812           -2.1154            0.0000           61.8658
       13950.00          414.7305           72.9376           -2.8940            0.0000           70.0437
       14000.00          303.1054           53.3064           -2.1870            0.0000           51.1194
       14050.00          351.1745           61.7602           -3.6997            0.0000           58.0605
       14100.00          444.8594           78.2363           -3.6821            0.0000           74.5543
       14150.00          363.8453           63.9886           -2.9929            0.0000           60.9957
       14200.00          383.4707           67.4401           -2.4904            0.0000           64.9497
       14250.00          392.7384           69.0699           -3.4201            0.0000           65.6498
       14300.00          343.6656           60.4396           -3.5121            0.0000           56.9275
       14350.00          449.0042           78.9653           -4.0062            0.0000           74.9591
       14400.00          453.9644           79.8376           -2.7106            0.0000           77.1270
       14450.00          424.2788           74.6169           -2.6723            0.0000           71.9446
       14500.00          332.0138           58.3905           -2.9879            0.0000           55.4025
       14550.00          414.6085           72.9162           -2.5938            0.0000           70.3224
       14600.00          384.6493           67.6473           -3.6473            0.0000           64.0001
       14650.00          317.6498           55.8643           -3.0760            0.0000           52.7883
       14700.00          375.5862           66.0534           -1.7489            0.0000           64.3045
       14750.00          368.3525           64.7813           -4.0635            0.0000           60.7178
       14800.00          323.0317           56.8108           -3.1495            0.0000           53.6613
       14850.00          441.3351           77.6165           -2.5285            0.0000           75.0881
       14900.00          368.2293           64.7596           -1.5967            0.0000           63.1629
       14950.00          331.2043           58.2481           -2.5522            0.0000           55.6959
