#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 1                 0                 0                 0                 0                 0                 1
         100.00                 2                 0                 0                 0                 0                 0                 2
         150.00                 3                 0                 0                 0                 0                 0                 3
         200.00                 3                 0                 0                 0                 0                 0                 3
         250.00                 2                 0                 0                 0                 0                 1                 3
         300.00                 3                 0                 0                 0                 0                 1                 4
         350.00                 4                 0                 0                 0                 0                 0                 4
         400.00                 4                 0                 0                 0                 0                 0                 4
         450.00                 4                 0                 0                 1                 0                 0                 5
         500.00                 5                 0                 0                 0                 0                 0                 5
         550.00                 5                 0                 0                 0                 0                 0                 5
         600.00                 5                 0                 0                 1                 0                 0                 6
         650.00                 5                 0                 0                 0                 0                 1                 6
         700.00                 6                 0                 0                 0                 0                 0                 6
         750.00                 5                 0                 0                 1                 0                 0                 6
         800.00                 5                 0                 0                 0                 0                 1                 6
         850.00                 5                 0                 0                 0                 0                 1                 6
         900.00                 5                 0                 0                 0                 0                 1                 6
         950.00                 5                 0                 0                 0                 0                 1                 6
        1000.00                 6                 0                 0                 0                 0                 0                 6
        1050.00                 5                 0                 0                 0                 0                 1                 6
        1100.00                 6                 0                 0                 0                 0                 0                 6
        1150.00                 6                 0                 0                 0                 0                 0                 6
        1200.00                 5                 0                 0                 0                 0                 1                 6
        1250.00                 5                 0                 0                 1                 0                 0                 6
        1300.00                 5                 0                 0                 0                 0                 1                 6
        1350.00                 5                 0                 0                 0                 0                 1                 6
        1400.00                 5                 0                 0                 0                 0                 1                 6
        1450.00                 6                 0                 0                 0                 0                 0                 6
        1500.00                 5                 0                 0                 0                 0                 1                 6
        1550.00                 6                 0                 0                 0                 0                 0                 6
        1600.00                 5                 0                 0                 0                 0                 1                 6
        1650.00                 6                 0                 0                 0                 0                 0                 6
        1700.00                 5                 0                 0                 0                 0                 1                 6
        1750.00                 5                 0                 0                 0                 0                 1                 6
        1800.00                 5                 0                 0                 1                 0                 0                 6
        1850.00                 6                 0                 0                 0                 0                 0                 6
        1900.00                 5                 0                 0                 0                 0                 1                 6
        1950.00                 6                 0                 0                 0                 0                 0                 6
        2000.00                 5                 0                 0                 0                 0                 1                 6
        2050.00                 6                 0                 0                 0                 0                 0                 6
        2100.00                 6                 0                 0                 0                 0                 0                 6
        2150.00                 5                 0                 0                 0                 0                 1                 6
        2200.00                 5                 0                 0                 0                 0                 1                 6
        2250.00                 5                 0                 0                 0                 0                 1                 6
        2300.00                 5                 0                 0                 0                 0                 1                 6
        2350.00                 5                 0                 0                 0                 0                 1                 6
        2400.00                 6                 0                 0                 0                 0                 0                 6
        2450.00                 5                 0                 0                 1                 0                 0                 6
        2500.00                 5                 0                 0                 0                 0                 1                 6
        2550.00                 5                 0                 0                 1                 0                 0                 6
        2600.00                 5                 0                 0                 1                 0                 0                 6
        2650.00                 6                 0                 0                 0                 0                 0                 6
        2700.00                 5                 0                 0                 1                 0                 0                 6
        2750.00                 5                 0                 0                 1                 0                 0                 6
        2800.00                 6                 0                 0                 0                 0                 0                 6
        2850.00                 5                 0                 0                 0                 0                 1                 6
        2900.00                 5                 0                 0                 1                 0                 0                 6
        2950.00                 5                 0                 0                 0                 0                 1                 6
