@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0000          0.4517 
          50.00          0.1369          0.4063 
         100.00          0.1876          0.3842 
         150.00          0.2393          0.3974 
         200.00          0.2560          0.4202 
         250.00          0.3072          0.4099 
         300.00          0.2917          0.4139 
         350.00          0.3061          0.4132 
         400.00          0.2390          0.4044 
         450.00          0.2571          0.4533 
         500.00          0.2757          0.4246 
         550.00          0.2766          0.4539 
         600.00          0.2832          0.4939 
         650.00          0.3023          0.5258 
         700.00          0.3151          0.5264 
         750.00          0.2522          0.5135 
         800.00          0.2638          0.4857 
         850.00          0.2477          0.4586 
         900.00          0.2599          0.4522 
         950.00          0.2574          0.4600 
        1000.00          0.2026          0.4470 
        1050.00          0.2556          0.4876 
        1100.00          0.2571          0.4640 
        1150.00          0.2799          0.4595 
        1200.00          0.2535          0.4703 
        1250.00          0.2552          0.4752 
        1300.00          0.2655          0.4556 
        1350.00          0.2901          0.4482 
        1400.00          0.2767          0.4926 
        1450.00          0.2526          0.4883 
        1500.00          0.2367          0.4700 
        1550.00          0.2578          0.4669 
        1600.00          0.2388          0.4510 
        1650.00          0.2329          0.4762 
        1700.00          0.2654          0.4264 
        1750.00          0.2712          0.4289 
        1800.00          0.2834          0.4092 
        1850.00          0.2743          0.4093 
        1900.00          0.2909          0.4275 
        1950.00          0.2533          0.4469 
        2000.00          0.2710          0.4361 
        2050.00          0.2328          0.4681 
        2100.00          0.2550          0.4436 
        2150.00          0.2685          0.4150 
        2200.00          0.2474          0.4497 
        2250.00          0.2442          0.4464 
        2300.00          0.2427          0.4901 
        2350.00          0.2280          0.4721 
        2400.00          0.2672          0.4656 
        2450.00          0.2492          0.4693 
        2500.00          0.2433          0.4593 
        2550.00          0.2821          0.4253 
        2600.00          0.2954          0.3912 
        2650.00          0.2575          0.4325 
        2700.00          0.2472          0.4231 
        2750.00          0.2574          0.4642 
        2800.00          0.2111          0.4783 
        2850.00          0.2652          0.4423 
        2900.00          0.2417          0.4650 
        2950.00          0.2740          0.4461 
        3000.00          0.2919          0.3930 
        3050.00          0.2790          0.3691 
        3100.00          0.2872          0.3696 
        3150.00          0.3068          0.4073 
        3200.00          0.2710          0.4149 
        3250.00          0.3000          0.3831 
        3300.00          0.2786          0.3588 
        3350.00          0.3090          0.3781 
        3400.00          0.3094          0.3587 
        3450.00          0.2951          0.4170 
        3500.00          0.3057          0.4024 
        3550.00          0.2887          0.4019 
        3600.00          0.2680          0.4234 
        3650.00          0.2610          0.4487 
        3700.00          0.2347          0.4698 
        3750.00          0.2472          0.4379 
        3800.00          0.2496          0.4624 
        3850.00          0.2454          0.4382 
        3900.00          0.2756          0.4448 
        3950.00          0.2575          0.4421 
        4000.00          0.2546          0.4374 
        4050.00          0.2426          0.4266 
        4100.00          0.2579          0.4305 
        4150.00          0.3138          0.3989 
        4200.00          0.3631          0.4036 
        4250.00          0.4017          0.3813 
        4300.00          0.3843          0.4592 
        4350.00          0.4273          0.4248 
        4400.00          0.4069          0.4595 
        4450.00          0.3963          0.4982 
        4500.00          0.4043          0.4830 
        4550.00          0.4005          0.4873 
        4600.00          0.3648          0.5201 
        4650.00          0.4258          0.5994 
        4700.00          0.4319          0.6022 
        4750.00          0.4089          0.5358 
        4800.00          0.4122          0.5624 
        4850.00          0.4770          0.5550 
        4900.00          0.4398          0.5245 
        4950.00          0.4392          0.4779 
        5000.00          0.4153          0.4445 
        5050.00          0.4091          0.4211 
        5100.00          0.4002          0.4182 
        5150.00          0.4185          0.4067 
        5200.00          0.3811          0.4783 
        5250.00          0.4290          0.4774 
        5300.00          0.4009          0.4356 
        5350.00          0.4105          0.3438 
        5400.00          0.4343          0.3390 
        5450.00          0.4053          0.3178 
        5500.00          0.4162          0.3995 
        5550.00          0.3886          0.4493 
        5600.00          0.3712          0.4382 
        5650.00          0.3785          0.4218 
        5700.00          0.3681          0.4427 
        5750.00          0.3085          0.4785 
        5800.00          0.3387          0.5483 
        5850.00          0.3709          0.6073 
        5900.00          0.3620          0.4940 
        5950.00          0.3594          0.5825 
        6000.00          0.4032          0.6114 
        6050.00          0.4004          0.6390 
        6100.00          0.3016          0.5519 
        6150.00          0.4019          0.5240 
        6200.00          0.4078          0.3626 
        6250.00          0.3801          0.3855 
        6300.00          0.4145          0.4472 
        6350.00          0.4102          0.5305 
        6400.00          0.4561          0.5438 
        6450.00          0.4328          0.5550 
        6500.00          0.4191          0.5686 
        6550.00          0.4005          0.4284 
        6600.00          0.4134          0.2909 
        6650.00          0.4293          0.2377 
        6700.00          0.4310          0.2601 
        6750.00          0.4159          0.2355 
        6800.00          0.4021          0.4037 
        6850.00          0.3738          0.3748 
        6900.00          0.4022          0.4385 
        6950.00          0.4297          0.5684 
        7000.00          0.4210          0.5201 
        7050.00          0.4076          0.5577 
        7100.00          0.4109          0.5401 
        7150.00          0.3791          0.5509 
        7200.00          0.3220          0.5669 
        7250.00          0.3330          0.5311 
        7300.00          0.3560          0.4891 
        7350.00          0.3477          0.4926 
        7400.00          0.3839          0.4939 
        7450.00          0.4439          0.3267 
        7500.00          0.4449          0.3071 
        7550.00          0.3817          0.3959 
        7600.00          0.3929          0.4561 
        7650.00          0.4054          0.4472 
        7700.00          0.3989          0.3991 
        7750.00          0.4033          0.3633 
        7800.00          0.3905          0.4077 
        7850.00          0.3832          0.3940 
        7900.00          0.4210          0.3449 
        7950.00          0.3694          0.4041 
        8000.00          0.3567          0.3848 
        8050.00          0.3548          0.3992 
        8100.00          0.4091          0.3259 
        8150.00          0.3445          0.3764 
        8200.00          0.4142          0.3018 
        8250.00          0.3971          0.3114 
        8300.00          0.3992          0.3297 
        8350.00          0.3908          0.3283 
        8400.00          0.3747          0.3907 
        8450.00          0.3460          0.4194 
        8500.00          0.3796          0.4411 
        8550.00          0.3397          0.4726 
        8600.00          0.3212          0.5106 
        8650.00          0.3779          0.5332 
        8700.00          0.4478          0.6336 
        8750.00          0.4088          0.6130 
        8800.00          0.4348          0.6237 
        8850.00          0.3882          0.5352 
        8900.00          0.3703          0.5180 
        8950.00          0.3878          0.5369 
        9000.00          0.3828          0.5480 
        9050.00          0.4770          0.6930 
        9100.00          0.4452          0.6703 
        9150.00          0.4061          0.5975 
        9200.00          0.4473          0.5761 
        9250.00          0.3973          0.5716 
        9300.00          0.4095          0.5681 
        9350.00          0.4034          0.4390 
        9400.00          0.3987          0.3499 
        9450.00          0.4425          0.1941 
        9500.00          0.3923          0.2030 
        9550.00          0.4374          0.2490 
        9600.00          0.4299          0.3179 
        9650.00          0.4276          0.3272 
        9700.00          0.4185          0.3844 
        9750.00          0.3922          0.4308 
        9800.00          0.4405          0.4020 
        9850.00          0.4314          0.4429 
        9900.00          0.4235          0.4418 
        9950.00          0.4349          0.3910 
       10000.00          0.3950          0.3703 
       10050.00          0.3998          0.4657 
       10100.00          0.3676          0.5653 
       10150.00          0.3474          0.5223 
       10200.00          0.3797          0.5438 
       10250.00          0.3949          0.4500 
       10300.00          0.3738          0.4404 
       10350.00          0.4479          0.4861 
       10400.00          0.4085          0.4705 
       10450.00          0.4302          0.4966 
       10500.00          0.4214          0.4070 
       10550.00          0.4022          0.4659 
       10600.00          0.4259          0.5335 
       10650.00          0.4387          0.5785 
       10700.00          0.4059          0.5083 
       10750.00          0.4409          0.5193 
       10800.00          0.4645          0.4988 
       10850.00          0.4493          0.5284 
       10900.00          0.4198          0.4424 
       10950.00          0.3788          0.4997 
       11000.00          0.3790          0.4635 
       11050.00          0.4557          0.5592 
       11100.00          0.4282          0.5137 
       11150.00          0.3994          0.4897 
       11200.00          0.4220          0.4720 
       11250.00          0.4139          0.4434 
       11300.00          0.4132          0.3935 
       11350.00          0.4063          0.5358 
       11400.00          0.4340          0.5083 
       11450.00          0.3723          0.5005 
       11500.00          0.4106          0.5259 
       11550.00          0.4377          0.5843 
       11600.00          0.4296          0.5577 
       11650.00          0.4542          0.5165 
       11700.00          0.4207          0.4786 
       11750.00          0.4102          0.5294 
       11800.00          0.3767          0.5198 
       11850.00          0.3964          0.4820 
       11900.00          0.4279          0.4839 
       11950.00          0.3872          0.4996 
       12000.00          0.3642          0.5068 
       12050.00          0.3824          0.4259 
       12100.00          0.4188          0.5312 
       12150.00          0.4117          0.5188 
       12200.00          0.4355          0.5276 
       12250.00          0.3862          0.4912 
       12300.00          0.3920          0.5262 
       12350.00          0.3426          0.5041 
       12400.00          0.3603          0.4675 
       12450.00          0.3815          0.5337 
       12500.00          0.3745          0.5659 
       12550.00          0.3652          0.6131 
       12600.00          0.4352          0.6179 
       12650.00          0.3798          0.5474 
       12700.00          0.4016          0.5695 
       12750.00          0.4246          0.5911 
       12800.00          0.4399          0.5248 
       12850.00          0.4376          0.5163 
       12900.00          0.4732          0.5410 
       12950.00          0.4851          0.5851 
       13000.00          0.4683          0.6504 
       13050.00          0.4248          0.5863 
       13100.00          0.3862          0.4864 
       13150.00          0.3662          0.5119 
       13200.00          0.3906          0.5509 
       13250.00          0.3833          0.5910 
       13300.00          0.3878          0.5467 
       13350.00          0.3551          0.4896 
       13400.00          0.4089          0.4478 
       13450.00          0.4076          0.5501 
       13500.00          0.4137          0.4834 
       13550.00          0.3492          0.5005 
       13600.00          0.3624          0.5501 
       13650.00          0.3969          0.5524 
       13700.00          0.4188          0.4778 
       13750.00          0.3688          0.4200 
       13800.00          0.3981          0.4507 
       13850.00          0.3906          0.4888 
       13900.00          0.4170          0.5042 
       13950.00          0.4291          0.5022 
       14000.00          0.4492          0.5633 
       14050.00          0.3908          0.5691 
       14100.00          0.4733          0.6397 
       14150.00          0.4598          0.6292 
       14200.00          0.4864          0.6827 
       14250.00          0.4597          0.6418 
       14300.00          0.5125          0.7480 
       14350.00          0.4699          0.6868 
       14400.00          0.3990          0.6424 
       14450.00          0.4610          0.6420 
       14500.00          0.4470          0.6521 
       14550.00          0.4613          0.5131 
       14600.00          0.4237          0.5794 
       14650.00          0.4264          0.4278 
       14700.00          0.3984          0.4440 
       14750.00          0.4212          0.4272 
       14800.00          0.4302          0.3463 
       14850.00          0.4444          0.3331 
       14900.00          0.4382          0.3481 
       14950.00          0.3925          0.4011 
       15000.00          0.4307          0.4482 
       15050.00          0.4094          0.3688 
       15100.00          0.4186          0.3651 
       15150.00          0.4495          0.4955 
       15200.00          0.4230          0.5274 
       15250.00          0.4217          0.5416 
       15300.00          0.4522          0.6120 
       15350.00          0.4325          0.5534 
       15400.00          0.4061          0.5253 
       15450.00          0.4541          0.5416 
       15500.00          0.4590          0.5199 
       15550.00          0.4471          0.5507 
       15600.00          0.4183          0.5691 
       15650.00          0.4215          0.5763 
       15700.00          0.4013          0.6286 
       15750.00          0.4024          0.6470 
       15800.00          0.3960          0.5880 
       15850.00          0.4021          0.5618 
       15900.00          0.4296          0.6319 
       15950.00          0.4461          0.6120 
       16000.00          0.4719          0.6174 
       16050.00          0.4537          0.5919 
       16100.00          0.4253          0.6071 
       16150.00          0.3811          0.5913 
       16200.00          0.4183          0.6238 
       16250.00          0.3882          0.6438 
       16300.00          0.3990          0.6174 
       16350.00          0.3740          0.6110 
       16400.00          0.3973          0.6058 
       16450.00          0.3562          0.5992 
       16500.00          0.4213          0.6934 
       16550.00          0.3422          0.6247 
       16600.00          0.3769          0.5772 
       16650.00          0.3466          0.5543 
       16700.00          0.3261          0.5459 
       16750.00          0.3074          0.5323 
       16800.00          0.3379          0.5168 
       16850.00          0.3575          0.5095 
       16900.00          0.3442          0.4865 
       16950.00          0.4159          0.4823 
       17000.00          0.3552          0.4804 
       17050.00          0.3283          0.5025 
       17100.00          0.2577          0.5498 
       17150.00          0.2663          0.5051 
       17200.00          0.2687          0.5256 
       17250.00          0.2734          0.5026 
       17300.00          0.2726          0.4584 
       17350.00          0.1943          0.5372 
       17400.00          0.2629          0.5192 
       17450.00          0.2392          0.5344 
       17500.00          0.2202          0.5290 
       17550.00          0.2543          0.5004 
       17600.00          0.2760          0.4962 
       17650.00          0.2555          0.5056 
       17700.00          0.2413          0.5025 
       17750.00          0.2415          0.5097 
       17800.00          0.2342          0.5033 
       17850.00          0.2552          0.5039 
       17900.00          0.2216          0.5771 
       17950.00          0.2788          0.5180 
       18000.00          0.2924          0.5692 
       18050.00          0.2527          0.5336 
       18100.00          0.2816          0.5843 
       18150.00          0.3099          0.5571 
       18200.00          0.2887          0.5767 
       18250.00          0.3069          0.5899 
       18300.00          0.2920          0.5360 
       18350.00          0.3237          0.5211 
       18400.00          0.3451          0.5470 
       18450.00          0.3410          0.5406 
       18500.00          0.3750          0.5316 
       18550.00          0.3333          0.5734 
       18600.00          0.3284          0.5486 
       18650.00          0.3498          0.5397 
       18700.00          0.3238          0.5226 
       18750.00          0.3460          0.4923 
       18800.00          0.3200          0.5441 
       18850.00          0.3243          0.5011 
       18900.00          0.3462          0.4813 
       18950.00          0.3675          0.4456 
       19000.00          0.3286          0.5296 
       19050.00          0.3121          0.5172 
       19100.00          0.3201          0.5479 
       19150.00          0.2903          0.5177 
       19200.00          0.2695          0.5111 
       19250.00          0.3017          0.5405 
       19300.00          0.3261          0.5154 
       19350.00          0.3150          0.5693 
       19400.00          0.2981          0.5648 
       19450.00          0.2989          0.5364 
