@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0002          0.4517 
          50.00          0.0911          0.4613 
         100.00          0.2061          0.4278 
         150.00          0.1557          0.4582 
         200.00          0.1402          0.4456 
         250.00          0.0937          0.4424 
         300.00          0.0828          0.4604 
         350.00          0.0747          0.4451 
         400.00          0.1093          0.4465 
         450.00          0.1136          0.4449 
         500.00          0.1151          0.4693 
         550.00          0.1342          0.4548 
         600.00          0.1717          0.4441 
         650.00          0.1305          0.4477 
         700.00          0.1259          0.4501 
         750.00          0.1725          0.4299 
         800.00          0.1688          0.4135 
         850.00          0.1148          0.4393 
         900.00          0.0561          0.4554 
         950.00          0.0596          0.4774 
        1000.00          0.0874          0.4661 
        1050.00          0.0755          0.4796 
        1100.00          0.0571          0.4555 
        1150.00          0.0936          0.4455 
        1200.00          0.0924          0.4461 
        1250.00          0.1721          0.4124 
        1300.00          0.1551          0.4224 
        1350.00          0.1060          0.4415 
        1400.00          0.1628          0.4168 
        1450.00          0.1151          0.4237 
        1500.00          0.0659          0.4512 
        1550.00          0.0513          0.4381 
        1600.00          0.1040          0.4333 
        1650.00          0.0934          0.4271 
        1700.00          0.1642          0.4064 
        1750.00          0.0986          0.4379 
        1800.00          0.0430          0.4556 
        1850.00          0.0733          0.4478 
        1900.00          0.0465          0.4446 
        1950.00          0.0616          0.4369 
        2000.00          0.0743          0.4411 
        2050.00          0.1255          0.4298 
        2100.00          0.0883          0.4309 
        2150.00          0.0743          0.4277 
        2200.00          0.1077          0.4349 
        2250.00          0.0652          0.4444 
        2300.00          0.0766          0.4415 
        2350.00          0.0767          0.4493 
        2400.00          0.0617          0.4400 
        2450.00          0.0661          0.4374 
        2500.00          0.0371          0.4509 
        2550.00          0.0458          0.4526 
        2600.00          0.0553          0.4443 
        2650.00          0.0522          0.4517 
        2700.00          0.0497          0.4406 
        2750.00          0.0338          0.4523 
        2800.00          0.0516          0.4448 
        2850.00          0.0580          0.4510 
        2900.00          0.0739          0.4463 
        2950.00          0.0701          0.4357 
        3000.00          0.0424          0.4438 
        3050.00          0.0677          0.4332 
        3100.00          0.0563          0.4353 
        3150.00          0.0454          0.4436 
        3200.00          0.0416          0.4463 
        3250.00          0.0656          0.4463 
        3300.00          0.0670          0.4410 
        3350.00          0.0692          0.4433 
        3400.00          0.0919          0.4323 
        3450.00          0.1283          0.4241 
        3500.00          0.1364          0.4201 
        3550.00          0.0780          0.4418 
        3600.00          0.0589          0.4367 
        3650.00          0.0659          0.4490 
        3700.00          0.0458          0.4452 
        3750.00          0.1162          0.4145 
        3800.00          0.0798          0.4378 
        3850.00          0.0970          0.4307 
        3900.00          0.0665          0.4384 
        3950.00          0.0731          0.4411 
        4000.00          0.0654          0.4417 
        4050.00          0.0793          0.4504 
        4100.00          0.0701          0.4386 
        4150.00          0.0772          0.4373 
        4200.00          0.0999          0.4347 
        4250.00          0.0916          0.4491 
        4300.00          0.0584          0.4455 
        4350.00          0.0693          0.4480 
        4400.00          0.0648          0.4379 
        4450.00          0.0347          0.4465 
        4500.00          0.0504          0.4359 
        4550.00          0.0676          0.4453 
        4600.00          0.0860          0.4519 
        4650.00          0.0826          0.4262 
        4700.00          0.0618          0.4504 
        4750.00          0.0411          0.4575 
        4800.00          0.0613          0.4493 
        4850.00          0.0391          0.4551 
        4900.00          0.0842          0.4386 
        4950.00          0.0728          0.4475 
        5000.00          0.0922          0.4295 
        5050.00          0.0807          0.4378 
        5100.00          0.0791          0.4503 
        5150.00          0.0592          0.4372 
        5200.00          0.0588          0.4393 
        5250.00          0.0661          0.4544 
        5300.00          0.0538          0.4424 
        5350.00          0.1013          0.4284 
        5400.00          0.0792          0.4358 
        5450.00          0.0647          0.4591 
        5500.00          0.0632          0.4478 
        5550.00          0.0492          0.4462 
        5600.00          0.0694          0.4435 
        5650.00          0.0642          0.4298 
        5700.00          0.0662          0.4417 
        5750.00          0.0873          0.4437 
        5800.00          0.0841          0.4300 
        5850.00          0.0749          0.4396 
        5900.00          0.0557          0.4477 
        5950.00          0.0368          0.4378 
        6000.00          0.0657          0.4504 
        6050.00          0.0661          0.4445 
        6100.00          0.0486          0.4507 
        6150.00          0.0946          0.4324 
        6200.00          0.0489          0.4432 
        6250.00          0.0473          0.4332 
        6300.00          0.0298          0.4558 
        6350.00          0.0691          0.4432 
        6400.00          0.0562          0.4495 
        6450.00          0.0660          0.4462 
        6500.00          0.0734          0.4443 
        6550.00          0.0638          0.4306 
        6600.00          0.0665          0.4425 
        6650.00          0.0580          0.4502 
        6700.00          0.0812          0.4366 
        6750.00          0.0659          0.4390 
        6800.00          0.0595          0.4468 
        6850.00          0.0319          0.4509 
        6900.00          0.0762          0.4433 
        6950.00          0.0663          0.4503 
        7000.00          0.0573          0.4358 
        7050.00          0.0569          0.4449 
        7100.00          0.0608          0.4537 
        7150.00          0.0686          0.4475 
        7200.00          0.0861          0.4361 
        7250.00          0.1453          0.4175 
        7300.00          0.1050          0.4325 
        7350.00          0.0756          0.4392 
        7400.00          0.0268          0.4544 
        7450.00          0.0672          0.4348 
        7500.00          0.0657          0.4383 
