@    xaxis  label "t"
@    yaxis  label "RMSD (nm)"
           0.00          0.0002          0.4517 
          50.00          0.1663          0.4777 
         100.00          0.2646          0.5252 
         150.00          0.3110          0.5460 
         200.00          0.3684          0.4671 
         250.00          0.3298          0.4209 
         300.00          0.2861          0.4271 
         350.00          0.2997          0.4888 
         400.00          0.3159          0.4366 
         450.00          0.3696          0.4188 
         500.00          0.3044          0.4334 
         550.00          0.2800          0.4132 
         600.00          0.2900          0.5128 
         650.00          0.3634          0.4986 
         700.00          0.3978          0.4424 
         750.00          0.4059          0.4624 
         800.00          0.4533          0.4227 
         850.00          0.4352          0.4771 
         900.00          0.4253          0.5151 
         950.00          0.4428          0.5283 
        1000.00          0.4442          0.5562 
        1050.00          0.4769          0.4920 
        1100.00          0.4589          0.5478 
        1150.00          0.4980          0.5942 
        1200.00          0.4468          0.5882 
        1250.00          0.4472          0.5958 
        1300.00          0.4339          0.5121 
        1350.00          0.4206          0.4730 
        1400.00          0.4272          0.4481 
        1450.00          0.4243          0.4195 
        1500.00          0.4469          0.4367 
        1550.00          0.4224          0.5016 
        1600.00          0.4469          0.5868 
        1650.00          0.4038          0.5617 
        1700.00          0.4572          0.5586 
        1750.00          0.4205          0.4999 
        1800.00          0.4193          0.4733 
        1850.00          0.4329          0.3596 
        1900.00          0.4071          0.4211 
        1950.00          0.4284          0.3362 
        2000.00          0.4409          0.3924 
        2050.00          0.4287          0.4486 
        2100.00          0.4567          0.4584 
        2150.00          0.3909          0.4612 
        2200.00          0.4089          0.4732 
        2250.00          0.4225          0.4974 
        2300.00          0.4487          0.6039 
        2350.00          0.4125          0.5749 
        2400.00          0.4405          0.4989 
        2450.00          0.4164          0.4976 
        2500.00          0.3874          0.4145 
        2550.00          0.4563          0.3520 
        2600.00          0.3974          0.4351 
        2650.00          0.3690          0.4156 
        2700.00          0.3847          0.4214 
        2750.00          0.3755          0.4121 
        2800.00          0.4124          0.4258 
        2850.00          0.3869          0.4210 
        2900.00          0.3799          0.4342 
        2950.00          0.3621          0.4087 
        3000.00          0.3634          0.4855 
        3050.00          0.3207          0.4424 
        3100.00          0.3537          0.4894 
        3150.00          0.3487          0.4956 
        3200.00          0.4055          0.4821 
        3250.00          0.3592          0.4465 
        3300.00          0.4202          0.5228 
        3350.00          0.4018          0.6064 
        3400.00          0.4228          0.5498 
        3450.00          0.4203          0.5565 
        3500.00          0.4050          0.5553 
        3550.00          0.4464          0.6384 
        3600.00          0.4264          0.4809 
        3650.00          0.3677          0.4573 
        3700.00          0.3992          0.4688 
        3750.00          0.4189          0.4715 
        3800.00          0.3949          0.5075 
        3850.00          0.4423          0.6532 
        3900.00          0.4576          0.6213 
        3950.00          0.4416          0.6644 
        4000.00          0.5036          0.7128 
        4050.00          0.4302          0.6400 
        4100.00          0.4607          0.5699 
        4150.00          0.4816          0.6013 
        4200.00          0.4257          0.6308 
        4250.00          0.4379          0.6588 
        4300.00          0.4520          0.6451 
        4350.00          0.4537          0.6191 
        4400.00          0.4681          0.7097 
        4450.00          0.5140          0.7278 
        4500.00          0.5221          0.7438 
        4550.00          0.4740          0.7182 
        4600.00          0.4792          0.7197 
        4650.00          0.4725          0.6889 
        4700.00          0.5159          0.7320 
        4750.00          0.5052          0.7055 
        4800.00          0.4715          0.6335 
        4850.00          0.4054          0.6539 
        4900.00          0.4315          0.5711 
        4950.00          0.4045          0.5715 
        5000.00          0.4479          0.5714 
        5050.00          0.4148          0.5653 
        5100.00          0.4459          0.5887 
        5150.00          0.4313          0.6496 
        5200.00          0.4165          0.6259 
        5250.00          0.4429          0.5282 
        5300.00          0.3634          0.4875 
        5350.00          0.3919          0.3843 
        5400.00          0.4159          0.4701 
        5450.00          0.3920          0.4950 
        5500.00          0.4404          0.5577 
        5550.00          0.4073          0.4861 
        5600.00          0.3926          0.4460 
        5650.00          0.3767          0.4883 
        5700.00          0.3904          0.4605 
        5750.00          0.4117          0.4925 
        5800.00          0.3423          0.5891 
        5850.00          0.3829          0.5873 
        5900.00          0.4089          0.6291 
        5950.00          0.3850          0.6222 
        6000.00          0.4310          0.6799 
        6050.00          0.4103          0.6459 
        6100.00          0.4481          0.6849 
        6150.00          0.3651          0.6400 
        6200.00          0.3955          0.6194 
        6250.00          0.3820          0.5465 
        6300.00          0.3984          0.5578 
        6350.00          0.3476          0.5035 
        6400.00          0.3886          0.5121 
        6450.00          0.4424          0.5369 
        6500.00          0.4403          0.5854 
        6550.00          0.4363          0.4412 
        6600.00          0.4365          0.4679 
        6650.00          0.4581          0.3711 
        6700.00          0.4572          0.3161 
        6750.00          0.4218          0.4090 
        6800.00          0.3726          0.4238 
        6850.00          0.4029          0.4060 
        6900.00          0.4342          0.4874 
        6950.00          0.4537          0.5601 
        7000.00          0.3862          0.5236 
        7050.00          0.3448          0.5305 
        7100.00          0.3864          0.4416 
        7150.00          0.4138          0.4339 
        7200.00          0.4024          0.4075 
        7250.00          0.3684          0.4875 
        7300.00          0.3764          0.4559 
        7350.00          0.3527          0.4705 
        7400.00          0.3689          0.4926 
        7450.00          0.3434          0.4826 
        7500.00          0.3733          0.4538 
