#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00           10.2983            1.8111           -6.5911            0.0000           -4.7800
          50.00          302.8176           53.2558          -15.8556            0.0000           37.4002
         100.00          259.1192           45.5707          -21.1250            0.0000           24.4456
         150.00          250.8971           44.1247          -19.1454            0.0000           24.9792
         200.00          237.3379           41.7400          -21.3339            0.0000           20.4062
         250.00          236.4932           41.5915          -22.5398            0.0000           19.0517
         300.00          324.6647           57.0980          -20.0329            0.0000           37.0651
         350.00          275.6926           48.4854          -22.2720            0.0000           26.2134
         400.00          241.4219           42.4583          -22.7267            0.0000           19.7316
         450.00          292.0037           51.3540          -22.1882            0.0000           29.1658
         500.00          252.6932           44.4405          -22.0739            0.0000           22.3666
         550.00          249.5054           43.8799          -21.3230            0.0000           22.5569
         600.00          327.3055           57.5624          -21.0526            0.0000           36.5099
         650.00          327.0266           57.5134          -22.6899            0.0000           34.8235
         700.00          193.3333           34.0011          -21.4040            0.0000           12.5971
         750.00          264.7019           46.5525          -21.6201            0.0000           24.9324
         800.00          214.9861           37.8091          -22.4873            0.0000           15.3218
         850.00          296.7045           52.1807          -22.4433            0.0000           29.7374
         900.00          305.7504           53.7716          -22.0955            0.0000           31.6761
         950.00          272.2191           47.8745          -22.3955            0.0000           25.4791
        1000.00          383.5948           67.4619          -18.4813            0.0000           48.9806
        1050.00          294.0802           51.7192          -17.3596            0.0000           34.3596
        1100.00          267.0032           46.9572          -23.3951            0.0000           23.5621
        1150.00          306.1607           53.8437          -22.0834            0.0000           31.7604
        1200.00          283.0031           49.7711          -20.7338            0.0000           29.0373
        1250.00          309.4662           54.4251          -19.4209            0.0000           35.0042
        1300.00          237.8054           41.8223          -22.4058            0.0000           19.4165
        1350.00          379.3231           66.7106          -20.5386            0.0000           46.1720
        1400.00          346.6338           60.9616          -18.2564            0.0000           42.7052
        1450.00          347.6145           61.1341          -17.1361            0.0000           43.9980
        1500.00          340.9172           59.9563          -17.1053            0.0000           42.8509
        1550.00          224.4720           39.4773          -21.1427            0.0000           18.3347
        1600.00          300.6412           52.8730          -20.0792            0.0000           32.7938
        1650.00          324.4793           57.0654          -21.1273            0.0000           35.9381
        1700.00          296.9276           52.2199          -22.5666            0.0000           29.6533
        1750.00          271.2480           47.7037          -21.9100            0.0000           25.7937
        1800.00          357.2941           62.8365          -20.1258            0.0000           42.7106
        1850.00          348.6900           61.3233          -20.3584            0.0000           40.9649
        1900.00          248.5065           43.7042          -21.6296            0.0000           22.0746
        1950.00          268.4092           47.2045          -22.5814            0.0000           24.6231
        2000.00          342.3363           60.2059          -21.7252            0.0000           38.4806
        2050.00          257.2781           45.2469          -21.0380            0.0000           24.2089
        2100.00          320.0603           56.2882          -22.1690            0.0000           34.1192
        2150.00          347.4359           61.1027          -27.7177            0.0000           33.3850
        2200.00          277.6303           48.8262          -27.9111            0.0000           20.9151
        2250.00          246.9078           43.4231          -26.1016            0.0000           17.3215
        2300.00          260.4785           45.8097          -25.3650            0.0000           20.4447
        2350.00          362.6235           63.7737          -25.8426            0.0000           37.9312
        2400.00          290.6083           51.1086          -22.3751            0.0000           28.7334
        2450.00          263.9499           46.4202          -21.2790            0.0000           25.1413
        2500.00          361.3214           63.5447          -25.6912            0.0000           37.8535
        2550.00          283.1406           49.7953          -26.9199            0.0000           22.8754
        2600.00          203.0352           35.7073          -24.6100            0.0000           11.0973
        2650.00          276.7969           48.6796          -27.7239            0.0000           20.9557
        2700.00          260.4438           45.8036          -25.2403            0.0000           20.5633
        2750.00          232.3561           40.8639          -24.1163            0.0000           16.7476
        2800.00          301.1656           52.9653          -26.2577            0.0000           26.7076
        2850.00          315.1502           55.4247          -21.1254            0.0000           34.2993
        2900.00          339.9239           59.7816          -21.7260            0.0000           38.0556
        2950.00          257.6604           45.3141          -20.2553            0.0000           25.0588
        3000.00          310.6163           54.6273          -22.5156            0.0000           32.1117
        3050.00          309.7269           54.4709          -19.8307            0.0000           34.6402
        3100.00          272.8408           47.9838          -22.3816            0.0000           25.6023
        3150.00          300.2613           52.8062          -21.4229            0.0000           31.3833
        3200.00          270.3601           47.5476          -23.4196            0.0000           24.1279
        3250.00          304.3352           53.5227          -18.9729            0.0000           34.5498
        3300.00          254.9472           44.8369          -21.3055            0.0000           23.5315
        3350.00          367.4022           64.6141          -20.9758            0.0000           43.6384
        3400.00          379.8749           66.8077          -19.1607            0.0000           47.6470
        3450.00          341.1837           60.0032          -20.7619            0.0000           39.2413
        3500.00          291.0923           51.1937          -20.3158            0.0000           30.8779
        3550.00          274.6318           48.2988          -21.1480            0.0000           27.1509
        3600.00          271.4188           47.7338          -18.0421            0.0000           29.6917
        3650.00          296.5888           52.1603          -22.3907            0.0000           29.7697
        3700.00          334.0019           58.7401          -19.0724            0.0000           39.6677
        3750.00          308.9789           54.3394          -22.4783            0.0000           31.8611
        3800.00          371.1373           65.2710          -22.0011            0.0000           43.2699
        3850.00          289.8819           50.9808          -24.4155            0.0000           26.5653
        3900.00          332.2139           58.4256          -22.6978            0.0000           35.7278
        3950.00          292.2172           51.3915          -20.8265            0.0000           30.5651
        4000.00          304.1608           53.4920          -21.1928            0.0000           32.2992
        4050.00          286.7333           50.4271          -21.7864            0.0000           28.6407
        4100.00          286.5277           50.3909          -22.4666            0.0000           27.9243
        4150.00          244.9362           43.0763          -20.8440            0.0000           22.2323
        4200.00          213.6948           37.5820          -21.5628            0.0000           16.0192
        4250.00          216.5929           38.0917          -23.1958            0.0000           14.8958
        4300.00          295.3919           51.9499          -21.9799            0.0000           29.9700
        4350.00          309.0791           54.3570          -19.4628            0.0000           34.8942
        4400.00          220.1157           38.7112          -21.0286            0.0000           17.6826
        4450.00          290.0203           51.0052          -19.5009            0.0000           31.5043
        4500.00          269.3804           47.3753          -21.7325            0.0000           25.6428
        4550.00          331.9937           58.3869          -21.4522            0.0000           36.9347
        4600.00          316.5713           55.6746          -23.1200            0.0000           32.5546
        4650.00          424.9839           74.7409          -17.3286            0.0000           57.4122
        4700.00          325.9651           57.3267          -17.4784            0.0000           39.8483
