#          Step          Temp (K)   KinE (kCal/mol)   PotE (kCal/mol)   WalE (kCal/mol)   TotE (kCal/mol)
           0.00           16.3753            2.8799           -6.5300            0.0000           -3.6501
          50.00          411.5678           72.3814          -12.4528            0.0000           59.9286
         100.00          268.1732           47.1630          -12.9044            0.0000           34.2585
         150.00          215.8362           37.9586          -15.2059            0.0000           22.7527
         200.00          332.9446           58.5542          -16.8129            0.0000           41.7412
         250.00          265.4048           46.6761          -19.7369            0.0000           26.9392
         300.00          243.0636           42.7470          -21.1832            0.0000           21.5638
         350.00          265.4631           46.6864          -21.2657            0.0000           25.4206
         400.00          257.9694           45.3685          -18.6099            0.0000           26.7586
         450.00          266.3769           46.8471          -21.9171            0.0000           24.9300
         500.00          256.1819           45.0541          -26.6463            0.0000           18.4078
         550.00          282.3953           49.6642          -24.9929            0.0000           24.6712
         600.00          282.5269           49.6873          -26.8528            0.0000           22.8346
         650.00          261.5612           46.0001          -25.5358            0.0000           20.4643
         700.00          245.8337           43.2342          -25.8892            0.0000           17.3449
         750.00          235.1559           41.3563          -27.0009            0.0000           14.3554
         800.00          297.3461           52.2935          -27.9597            0.0000           24.3339
         850.00          211.7819           37.2456          -25.8042            0.0000           11.4413
         900.00          214.1321           37.6589          -24.9290            0.0000           12.7299
         950.00          321.7950           56.5933          -26.3927            0.0000           30.2006
        1000.00          306.3462           53.8764          -24.7639            0.0000           29.1125
        1050.00          284.8539           50.0966          -23.8235            0.0000           26.2730
        1100.00          331.0203           58.2157          -25.5281            0.0000           32.6877
        1150.00          318.5511           56.0228          -26.8764            0.0000           29.1464
        1200.00          267.3765           47.0228          -26.3391            0.0000           20.6837
        1250.00          337.0779           59.2811          -23.9125            0.0000           35.3686
        1300.00          225.5200           39.6617          -27.8077            0.0000           11.8539
        1350.00          276.9776           48.7114          -25.4543            0.0000           23.2571
        1400.00          236.7036           41.6285          -24.1530            0.0000           17.4755
        1450.00          304.1142           53.4838          -27.2778            0.0000           26.2060
        1500.00          255.9152           45.0072          -25.7999            0.0000           19.2073
        1550.00          294.0430           51.7126          -24.8946            0.0000           26.8180
        1600.00          317.2212           55.7889          -26.4267            0.0000           29.3623
        1650.00          347.9508           61.1933          -25.0715            0.0000           36.1217
        1700.00          268.5104           47.2223          -25.8171            0.0000           21.4052
        1750.00          264.8269           46.5745          -27.4671            0.0000           19.1073
        1800.00          219.3131           38.5701          -24.2362            0.0000           14.3339
        1850.00          263.5614           46.3519          -26.1284            0.0000           20.2235
        1900.00          302.2097           53.1489          -26.9623            0.0000           26.1866
        1950.00          217.6654           38.2803          -25.3715            0.0000           12.9087
        2000.00          325.0670           57.1687          -25.7605            0.0000           31.4082
        2050.00          338.7637           59.5775          -27.3256            0.0000           32.2519
        2100.00          263.7435           46.3839          -26.8505            0.0000           19.5334
        2150.00          325.2637           57.2033          -26.7521            0.0000           30.4512
        2200.00          244.7630           43.0459          -23.8214            0.0000           19.2245
        2250.00          376.4741           66.2096          -25.1446            0.0000           41.0650
        2300.00          295.6149           51.9891          -26.2318            0.0000           25.7573
        2350.00          302.3847           53.1797          -24.1884            0.0000           28.9913
        2400.00          274.8209           48.3321          -26.6036            0.0000           21.7285
        2450.00          240.0107           42.2101          -32.3557            0.0000            9.8544
        2500.00          289.1485           50.8518          -31.6197            0.0000           19.2322
        2550.00          308.6396           54.2797          -32.4961            0.0000           21.7836
        2600.00          347.9196           61.1878          -30.5344            0.0000           30.6534
        2650.00          258.5212           45.4655          -31.1172            0.0000           14.3482
        2700.00          299.2713           52.6321          -31.0911            0.0000           21.5410
        2750.00          304.1928           53.4976          -30.6446            0.0000           22.8531
        2800.00          212.1405           37.3086          -31.9953            0.0000            5.3134
        2850.00          371.6571           65.3624          -30.1931            0.0000           35.1693
        2900.00          234.3090           41.2074          -27.9362            0.0000           13.2712
        2950.00          238.3409           41.9164          -30.1520            0.0000           11.7644
