#          Step             alpha              3_10                pi              beta                SS             other             total
           0.00                 0                 0                 0                 0                 0                 0                 0
          50.00                 1                 0                 0                 0                 0                 0                 1
         100.00                 1                 0                 0                 0                 0                 0                 1
         150.00                 1                 0                 0                 0                 0                 0                 1
         200.00                 1                 0                 0                 1                 0                 0                 2
         250.00                 1                 0                 0                 1                 0                 0                 2
         300.00                 1                 0                 0                 0                 0                 1                 2
         350.00                 1                 0                 0                 0                 0                 1                 2
         400.00                 2                 0                 0                 0                 0                 0                 2
         450.00                 2                 0                 0                 0                 0                 0                 2
         500.00                 1                 0                 0                 0                 0                 1                 2
         550.00                 1                 0                 0                 1                 0                 0                 2
         600.00                 1                 0                 0                 0                 0                 1                 2
         650.00                 1                 0                 0                 0                 0                 1                 2
         700.00                 1                 0                 0                 0                 0                 1                 2
         750.00                 3                 0                 0                 0                 0                 0                 3
         800.00                 2                 0                 0                 1                 0                 0                 3
         850.00                 3                 0                 0                 0                 0                 1                 4
         900.00                 3                 0                 0                 0                 0                 1                 4
         950.00                 3                 0                 0                 0                 0                 1                 4
        1000.00                 4                 0                 0                 0                 0                 0                 4
        1050.00                 3                 0                 0                 0                 0                 1                 4
        1100.00                 4                 0                 0                 0                 0                 1                 5
        1150.00                 4                 0                 0                 1                 0                 0                 5
        1200.00                 5                 0                 0                 0                 0                 0                 5
        1250.00                 4                 0                 0                 1                 0                 0                 5
        1300.00                 5                 0                 0                 0                 0                 0                 5
        1350.00                 5                 0                 0                 0                 0                 0                 5
        1400.00                 4                 0                 0                 1                 0                 0                 5
        1450.00                 4                 0                 0                 1                 0                 0                 5
        1500.00                 4                 0                 0                 0                 0                 1                 5
        1550.00                 4                 0                 0                 1                 0                 0                 5
        1600.00                 4                 0                 0                 0                 0                 1                 5
        1650.00                 4                 0                 0                 0                 0                 1                 5
        1700.00                 4                 0                 0                 0                 0                 1                 5
        1750.00                 5                 0                 0                 0                 0                 0                 5
        1800.00                 4                 0                 0                 0                 0                 0                 4
        1850.00                 4                 0                 0                 0                 0                 1                 5
        1900.00                 5                 0                 0                 0                 0                 0                 5
        1950.00                 4                 0                 0                 0                 0                 1                 5
        2000.00                 4                 0                 0                 0                 0                 1                 5
        2050.00                 4                 0                 0                 0                 0                 1                 5
        2100.00                 4                 0                 0                 0                 0                 1                 5
        2150.00                 4                 0                 0                 0                 0                 1                 5
        2200.00                 4                 0                 0                 1                 0                 0                 5
        2250.00                 5                 0                 0                 0                 0                 0                 5
        2300.00                 4                 0                 0                 1                 0                 0                 5
        2350.00                 4                 0                 0                 0                 0                 1                 5
        2400.00                 5                 0                 0                 0                 0                 0                 5
        2450.00                 4                 0                 0                 1                 0                 0                 5
        2500.00                 5                 0                 0                 0                 0                 0                 5
        2550.00                 5                 0                 0                 0                 0                 0                 5
        2600.00                 4                 0                 0                 0                 0                 1                 5
        2650.00                 4                 0                 0                 1                 0                 0                 5
        2700.00                 4                 0                 0                 0                 0                 1                 5
        2750.00                 4                 0                 0                 0                 0                 1                 5
        2800.00                 4                 0                 0                 0                 0                 0                 4
        2850.00                 4                 0                 0                 0                 0                 1                 5
        2900.00                 5                 0                 0                 0                 0                 0                 5
        2950.00                 4                 0                 0                 1                 0                 0                 5
